company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Folarinmaintains,,Aerial Installation,United Kingdom,,5,870,07877099631,https://www.ratedpeople.com/profile/folarinmaintains,ratedpeople,1,
Cn Construction&Gardening Ltd,,Aerial Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
L Pickard Roofing,,Aerial Installation,Enfield,,5,299,07738596941,https://www.ratedpeople.com/profile/l-pickard-roofing,ratedpeople,1,
ElectricFix Science Ltd,,Aerial Installation,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Aerial Installation,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
RJ Mullan,,Aerial Installation,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Aerial Installation,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Aerial Installation,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Aerial Installation,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Jack Henry,,Aerial Installation,Glasgow,,4.5,192,,https://www.ratedpeople.com/profile/jack-henry,ratedpeople,1,
Allan Charles,,Aerial Installation,Ascot,,5,190,07947805529,https://www.ratedpeople.com/profile/arcconsultinguk,ratedpeople,1,
HomeSafe Electrical,,Aerial Installation,Birmingham,,5,188,07838273398,https://www.ratedpeople.com/profile/homesafe-electrical,ratedpeople,1,
Aaron Construction,,Aerial Installation,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
arkadiusz debski,,Aerial Installation,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
AGC Electrical,,Aerial Installation,Blackpool,,5,146,,https://www.ratedpeople.com/profile/agc-electrical,ratedpeople,1,
The Ruby Team,,Aerial Installation,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Electrix twenty 4,,Aerial Installation,Sutton,,5,129,,https://www.ratedpeople.com/profile/electrix-twenty-4,ratedpeople,1,
Four Seasons Garden Care Services,,Aerial Installation,,,9,123,,https://www.ratedpeople.com/profile/four-seasons-garden-care-services,ratedpeople,1,
Hambridge Electricals LTD,,Aerial Installation,,,10,116,07590324894,https://www.ratedpeople.com/profile/shelectrical-services,ratedpeople,1,
MH Electrical & Property Services,,Aerial Installation,Clacton-on-sea,,5,95,,https://www.ratedpeople.com/profile/mh-electrical-property-services,ratedpeople,1,
Underwood home improvements an maintenance,,Aerial Installation,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Neil Corcoran Electrical Contractor,,Aerial Installation,Ferndale,,5,90,,https://www.ratedpeople.com/profile/neil-corcoran-electrical-contractor,ratedpeople,1,
axis property services,,Aerial Installation,Mitcheldean,,5,76,,https://www.ratedpeople.com/profile/axis-property-services-mitcheldean,ratedpeople,1,
SERGIU NASALEAN,,Aerial Installation,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
R&M Electrical LTD,,Aerial Installation,Cardiff,,5,56,,https://www.ratedpeople.com/profile/relectrical,ratedpeople,1,
A.T.E ELECTRICAL ENGINEERING LTD,,Aerial Installation,Shrewsbury,,5,41,07775300214,https://www.ratedpeople.com/profile/ate-electrical-engineering,ratedpeople,1,
