company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Air Conditioning Refrigeration,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Air Conditioning Refrigeration,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
ElectricFix Science Ltd,,Air Conditioning Refrigeration,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Air Conditioning Refrigeration,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Modern Bathrooms LT,,Air Conditioning Refrigeration,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
RJ Mullan,,Air Conditioning Refrigeration,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Air Conditioning Refrigeration,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Air Conditioning Refrigeration,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Air Conditioning Refrigeration,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Air Conditioning Refrigeration,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Jack Henry,,Air Conditioning Refrigeration,Glasgow,,4.5,192,,https://www.ratedpeople.com/profile/jack-henry,ratedpeople,1,
HomeSafe Electrical,,Air Conditioning Refrigeration,Birmingham,,5,188,07838273398,https://www.ratedpeople.com/profile/homesafe-electrical,ratedpeople,1,
Aaron Construction,,Air Conditioning Refrigeration,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
AGC Electrical,,Air Conditioning Refrigeration,Blackpool,,5,146,,https://www.ratedpeople.com/profile/agc-electrical,ratedpeople,1,
The Ruby Team,,Air Conditioning Refrigeration,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Top Freeze,,Air Conditioning Refrigeration,London,,4.5,142,07359523575,https://www.ratedpeople.com/profile/junaid-talib,ratedpeople,1,
Hambridge Electricals LTD,,Air Conditioning Refrigeration,,,10,116,07590324894,https://www.ratedpeople.com/profile/shelectrical-services,ratedpeople,1,
eliw,,Air Conditioning Refrigeration,London,,5,111,,https://www.ratedpeople.com/profile/eliw,ratedpeople,1,
Badur Electrical & CCTV,,Air Conditioning Refrigeration,,,10,110,07465976236,https://www.ratedpeople.com/profile/badur-electrical-and-cctv,ratedpeople,1,
Cris,,Air Conditioning Refrigeration,CROYDON,,5,109,07703759915,https://www.ratedpeople.com/profile/cris-saffron-walden,ratedpeople,1,
Spensley Electrical Services,,Air Conditioning Refrigeration,Bristol,,5,180,,https://www.ratedpeople.com/profile/speneley-electrical-services,ratedpeople,1,
Rowland Heating,,Air Conditioning Refrigeration,Wolverhampton,,4.5,96,,https://www.ratedpeople.com/profile/rowland-heating,ratedpeople,1,
Roof & Electrical Technicians,,Air Conditioning Refrigeration,Bridgend,,4.5,84,,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Air Conditioning Refrigeration,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
Young Gas And Oil LTD,,Air Conditioning Refrigeration,Nantwich,,4.5,64,,https://www.ratedpeople.com/profile/young-gas-and-oil,ratedpeople,1,
Wise E.P.R LTD,,Air Conditioning Refrigeration,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
ROME ELECTRICAL LTD,,Air Conditioning Refrigeration,Bristol,,5,56,,https://www.ratedpeople.com/profile/rome-electrical,ratedpeople,1,
STEVE PARKER ELECTRICAL SERVICES LIMITED,,Air Conditioning Refrigeration,BRISTOL,,5,54,07710025365,https://www.ratedpeople.com/profile/steve-parker-electrical-services-limited,ratedpeople,1,
G L AIR,,Air Conditioning Refrigeration,London,,4.5,50,,https://www.ratedpeople.com/profile/g-l-air,ratedpeople,1,
