company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Bathroom Design,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Bathroom Design,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Bc Plumbing Services,,Bathroom Design,Oxted,,5,627,07821194571,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople,1,
A & K Contractor Services,,Bathroom Design,London,,4.5,593,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Electro Flame LTD,,Bathroom Design,Croydon,,5,323,07864393584,https://www.ratedpeople.com/profile/electro-flame,ratedpeople,1,
S&A Plumbing Services,,Bathroom Design,LONDON,,5,311,07960660506,https://www.ratedpeople.com/profile/s-and-a,ratedpeople,1,
Ziyad Construction,,Bathroom Design,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Bathroom Design,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Bathroom Design,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Modern Bathrooms LT,,Bathroom Design,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
Darren Davies Plumbing & Heating,,Bathroom Design,Letchworth,,5,208,,https://www.ratedpeople.com/profile/darren-davies-plumbing-and-heating,ratedpeople,1,
SDL PKB,,Bathroom Design,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Bathroom Design,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Sir Ramik Tiler,,Bathroom Design,Carlton Colville,,5,198,,https://www.ratedpeople.com/profile/sir-ramik-tiler,ratedpeople,1,
MM Smooth Constructions,,Bathroom Design,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
All Time Heating and Plumbing,,Bathroom Design,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Bathroom Design,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Bathroom Design,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
DPS Gas Works Plumbing & Heating,,Bathroom Design,Bedford,,4.5,168,,https://www.ratedpeople.com/profile/dps-gas-works-plumbing-and-heating,ratedpeople,1,
SMALL STONE MAINTENANCE SERVICES,,Bathroom Design,London,,5,168,07956840625,https://www.ratedpeople.com/profile/abdul-mumit,ratedpeople,1,
Hayes plumbing and Property services,,Bathroom Design,Bridgend,,5,144,,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople,1,
Plumbing Company South West UK,,Bathroom Design,Street,,4.5,106,07359713971,https://www.ratedpeople.com/profile/jones-engineering-services,ratedpeople,1,
Webb Heating services,,Bathroom Design,Pontypool,,4.5,91,,https://www.ratedpeople.com/profile/webb-heating-services,ratedpeople,1,
Underwood home improvements an maintenance,,Bathroom Design,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Bathroom Design,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,Bathroom Design,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Bathroom Design,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
HFM Services,,Bathroom Design,Llanelli,,5,72,,https://www.ratedpeople.com/profile/hfmservices,ratedpeople,1,
RightFit Redevelopments,,Bathroom Design,Hengoed,,5,68,,https://www.ratedpeople.com/profile/jp-plumbing-solutions,ratedpeople,1,
Newman Plastering,,Bathroom Design,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
Oliver Kent,,Bathroom Design,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
SERGIU NASALEAN,,Bathroom Design,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
Wise E.P.R LTD,,Bathroom Design,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
DW HOME IMPROVEMENTS,,Bathroom Design,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
R and R services,,Bathroom Design,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Cymraeg Construction,,Bathroom Design,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
Edal Group Ltd,,Bathroom Design,Bristol,,4.5,47,,https://www.ratedpeople.com/profile/edalplumbing,ratedpeople,1,
Radek Kruk,,Bathroom Design,Shepton Mallet,,5,44,,https://www.ratedpeople.com/profile/radek-kruk,ratedpeople,1,
LEANDRO SILVA PLUMBING LIMITED,,Bathroom Design,Wellington. Somerset,,5,43,,https://www.ratedpeople.com/profile/leandro-silva-plumbing-limited,ratedpeople,1,
M POLLARD PLUMBING AND HEATING,,Bathroom Design,Close,,5,836,,https://www.ratedpeople.com/profile/m-pollard-plumbing-and-heating,ratedpeople,1,
TC Property Renovations,,Bathroom Design,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Bathroom Design,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
ACB PLUMBING SERVICES,,Bathroom Design,High Spen,,5,101,,https://www.ratedpeople.com/profile/acb-plumbing-services-rowlands-gill,ratedpeople,1,
Bathrooms by Paul,,Bathroom Design,Middlesbrough,,4.5,84,,https://www.ratedpeople.com/profile/north-east-building-specialists,ratedpeople,1,
DMH Contracts,,Bathroom Design,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
midland builders,,Bathroom Design,Notts,,5,76,,https://www.ratedpeople.com/profile/midland-builders-mansfield,ratedpeople,1,
Weardale Construction,,Bathroom Design,Tyne&wear,,4.5,74,07968966369,https://www.ratedpeople.com/profile/weardale-construction,ratedpeople,1,
