company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Plumb GP,,Bathroom Installation,2 Union Road,,4.5,1484,07788597250,https://www.ratedpeople.com/profile/plumb-gp,ratedpeople,1,
D&S Plumbing and Heating Services,,Bathroom Installation,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Bathroom Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Bc Plumbing Services,,Bathroom Installation,Oxted,,5,627,07821194571,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople,1,
A & K Contractor Services,,Bathroom Installation,London,,4.5,593,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Bathroom Installation,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
Resolve Plumbing Services Ltd,,Bathroom Installation,London/kent,,5,428,07878178205,https://www.ratedpeople.com/profile/resolve-plumbing-and-heating,ratedpeople,1,
Conor Lynch Plumbing & Heating,,Bathroom Installation,Hornchurch,,5,417,07767523580,https://www.ratedpeople.com/profile/conor-lynch-plumbing-and-heating,ratedpeople,1,
S&A Plumbing Services,,Bathroom Installation,LONDON,,5,311,07960660506,https://www.ratedpeople.com/profile/s-and-a,ratedpeople,1,
Ziyad Construction,,Bathroom Installation,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
NEE BUILDERS,,Bathroom Installation,Billericay,,5,288,07958997132,https://www.ratedpeople.com/profile/nee-builders,ratedpeople,1,
RM Drainage & Plumbing,,Bathroom Installation,Rainham,,5,275,,https://www.ratedpeople.com/profile/rmdrainageandplumbing,ratedpeople,1,
ES Electrical & Building Services,,Bathroom Installation,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Bathroom Installation,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
R&D Construction,,Bathroom Installation,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
Modern Bathrooms LT,,Bathroom Installation,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
Darren Davies Plumbing & Heating,,Bathroom Installation,Letchworth,,5,208,,https://www.ratedpeople.com/profile/darren-davies-plumbing-and-heating,ratedpeople,1,
SDL PKB,,Bathroom Installation,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
RJ Mullan,,Bathroom Installation,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Bathroom Installation,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Fastfix drainage and plumbing Ltd,,Bathroom Installation,Bristol,,4.5,153,,https://www.ratedpeople.com/profile/jaf-services,ratedpeople,1,
MD Maintenance solutions,,Bathroom Installation,Bristol,,5,151,07533136592,https://www.ratedpeople.com/profile/md-maintenance-solutions,ratedpeople,1,
Hayes plumbing and Property services,,Bathroom Installation,Bridgend,,5,144,,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople,1,
Integrity Plumbing Heating and Gas,,Bathroom Installation,Swindon,,4.5,128,07944471799,https://www.ratedpeople.com/profile/trc-plumbing-heating-and-gas,ratedpeople,1,
Plumbing Company South West UK,,Bathroom Installation,Street,,4.5,106,07359713971,https://www.ratedpeople.com/profile/jones-engineering-services,ratedpeople,1,
Rowland Heating,,Bathroom Installation,Wolverhampton,,4.5,96,,https://www.ratedpeople.com/profile/rowland-heating,ratedpeople,1,
Webb Heating services,,Bathroom Installation,Pontypool,,4.5,91,,https://www.ratedpeople.com/profile/webb-heating-services,ratedpeople,1,
Underwood home improvements an maintenance,,Bathroom Installation,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Ayres Plumbing Solutions,,Bathroom Installation,Bristol,,5,85,07701060390,https://www.ratedpeople.com/profile/ayresplumbingsolutions,ratedpeople,1,
Third Generation Electrical,,Bathroom Installation,Bristol,,5,80,,https://www.ratedpeople.com/profile/third-generation-electrical,ratedpeople,1,
Property Renovation&Decorating Services,,Bathroom Installation,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,Bathroom Installation,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
