company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Mario Furniture Ltd,Mr Mario,Bedrooms,and much,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.73,74,,https://www.checkatrade.com/trades/mariofurnitureltd,checkatrade,1,
Homely Wardrobes,Mr Adrian,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.76,75,,https://www.checkatrade.com/trades/homelywardrobes,checkatrade,1,
Relm Bespoke Ltd,Mrs Emma,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,8.63,54,,https://www.checkatrade.com/trades/relmbespoke,checkatrade,1,
My Fitted Bedroom,Barry Rouke,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.96,146,,https://www.checkatrade.com/trades/myfittedbedroommanchester,checkatrade,1,
Furnis London Ltd,Mr. Tiberiu Chirita,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.75,32,,https://www.checkatrade.com/trades/furnislondonltd,checkatrade,1,
Bear Bro Furniture Ltd,Mr Ion,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.67,79,,https://www.checkatrade.com/trades/bearbrocarpentry,checkatrade,1,
A2Z kitchen and bedrooms Ltd,Mr Kuldip,Bedrooms,London,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.64,30,,https://www.checkatrade.com/trades/a2zkitchenandbedroomsltd,checkatrade,1,
Endego LTD,Mr Tautvydas,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,10,12,,https://www.checkatrade.com/trades/endegoltd860521,checkatrade,1,
Uk Furniture & Upholstery Maker Ltd,Mr Rohit,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,8.9,32,,https://www.checkatrade.com/trades/ukfurnitureandupholsterymaker,checkatrade,1,
Nain Kitchens And Bedrooms Ltd,Mr Pradeep,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,10,7,,https://www.checkatrade.com/trades/nainkitchensandbedroomsltd,checkatrade,1,
Edge Carpentry & Joinery,Mr Sean,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,10,76,,https://www.checkatrade.com/trades/edgecarpentryandjoinery,checkatrade,1,
HS Bespoke Carpentry & Joinery Limited,Mr. Dan Steele,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,10,149,,https://www.checkatrade.com/trades/handscarpentryandbuilding,checkatrade,1,
TB Carpentry & Joinery Services,Mr Terry,Bedrooms,all aspects,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.79,291,,https://www.checkatrade.com/trades/tbcarpentryandjoineryservices,checkatrade,1,
Aman kitchen and bedroom ltd,Mr Amardeep,Bedrooms,Dagenham and,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,8,1,,https://www.checkatrade.com/trades/amankitchenandbedroomltd,checkatrade,1,
LJS Designs,Mr Lawrence,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,10,67,,https://www.checkatrade.com/trades/ljsdesigns,checkatrade,1,
Right Price Fitted Bedrooms,Mr Stephen,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,10,125,,https://www.checkatrade.com/trades/rightpricefittedbedrooms,checkatrade,1,
AM Builder London,Mr Alireza,Bedrooms,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header,9.88,25,,https://www.checkatrade.com/trades/ambuilderlondon,checkatrade,1,
