company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Bespoke Furniture,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
J B CARPENTRY,,Bespoke Furniture,Chislehurst,,5,495,07904988509,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople,1,
wood doctor,,Bespoke Furniture,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Bespoke Furniture,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
RJ Mullan,,Bespoke Furniture,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Bespoke Furniture,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Bespoke Furniture,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Aaron Construction,,Bespoke Furniture,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
CMS Carpentry,,Bespoke Furniture,Olney,,5,149,,https://www.ratedpeople.com/profile/cms-carpentry,ratedpeople,1,
The Ruby Team,,Bespoke Furniture,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Aureliu-TopArtCraft.,,Bespoke Furniture,London,,5,128,07779783333,https://www.ratedpeople.com/profile/aureliu-peche,ratedpeople,1,
ge carpentry services,,Bespoke Furniture,Worcester Park,,5,123,07818325397,https://www.ratedpeople.com/profile/ge-carpentry-services,ratedpeople,1,
Antis Laipaks,,Bespoke Furniture,London,,5,117,,https://www.ratedpeople.com/profile/antis-laipaks,ratedpeople,1,
Strong Wood Carpentry,,Bespoke Furniture,Romsey,,5,115,,https://www.ratedpeople.com/profile/balint-bora-carpentry,ratedpeople,1,
Hollywood joinery an maintenance,,Bespoke Furniture,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Bespoke Furniture,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
J MCMAHON LIMITED,,Bespoke Furniture,Luton,,5,146,07340294129,https://www.ratedpeople.com/profile/am-carpentryjfkjkf,ratedpeople,1,
Property Maintenance,,Bespoke Furniture,London,,5,109,07306334177,https://www.ratedpeople.com/profile/filip-golisz,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Bespoke Furniture,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Miyard Ltd,,Bespoke Furniture,Bromley,,5,105,,https://www.ratedpeople.com/profile/miyard,ratedpeople,1,
Top Notch Joinery,,Bespoke Furniture,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
steve seymour carpentry,,Bespoke Furniture,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
RSM Building Services,,Bespoke Furniture,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Underwood home improvements an maintenance,,Bespoke Furniture,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Chris' Home Services,,Bespoke Furniture,Chippenham,,5,83,,https://www.ratedpeople.com/profile/chris-home-services,ratedpeople,1,
Property Renovation&Decorating Services,,Bespoke Furniture,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Bespoke Furniture,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Bespoke Furniture,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
TEEMIS,,Bespoke Furniture,Cardiff,,5,69,,https://www.ratedpeople.com/profile/teemis,ratedpeople,1,
B Shakespeare,,Bespoke Furniture,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
Oliver Kent,,Bespoke Furniture,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
DW HOME IMPROVEMENTS,,Bespoke Furniture,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
Cymraeg Construction,,Bespoke Furniture,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
HG Carpentry & Joinery,,Bespoke Furniture,Bath,,5,56,07890311848,https://www.ratedpeople.com/profile/hg-carpentry-and-joinery,ratedpeople,1,
Westridge Builders,,Bespoke Furniture,Bristol,,4.5,48,07715610034,https://www.ratedpeople.com/profile/westridge-builders,ratedpeople,1,
Right Fix Home developments,,Bespoke Furniture,Newport,,5,41,07871137930,https://www.ratedpeople.com/profile/d-and-g-carpentry,ratedpeople,1,
White Willow Furniture,,Bespoke Furniture,Barry,,5,39,,https://www.ratedpeople.com/profile/s-g-white,ratedpeople,1,
Weagan LTD,,Bespoke Furniture,Pontypool,,5,35,,https://www.ratedpeople.com/profile/weagan,ratedpeople,1,
JD Building and Refurbishment,,Bespoke Furniture,Bath,,4.5,35,,https://www.ratedpeople.com/profile/jd-building-and-refurbishment,ratedpeople,1,
Cutting Edge Carpentry,,Bespoke Furniture,Ilminster,,5,34,,https://www.ratedpeople.com/profile/cuttingedgecarpentry,ratedpeople,1,
TC Property Renovations,,Bespoke Furniture,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Bespoke Furniture,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
DC Joinery,,Bespoke Furniture,wallsend,,5,93,07986104373,https://www.ratedpeople.com/profile/dc-roofline-and-joinery,ratedpeople,1,
Rafal Siemiaszko,,Bespoke Furniture,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
T7 ELECTRICAL & BUILDING LTD,,Bespoke Furniture,Gateshead,,5,64,07492414410,https://www.ratedpeople.com/profile/t7-electrical-building,ratedpeople,1,
Buster Construction and Renovations,,Bespoke Furniture,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
Worktop Expert,,Bespoke Furniture,Gateshead,,5,53,,https://www.ratedpeople.com/profile/igor-stetsiuk,ratedpeople,1,
Main Builder,,Bespoke Furniture,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
TA joinery,,Bespoke Furniture,Middlesbrough,,5,45,,https://www.ratedpeople.com/profile/ta-joinery,ratedpeople,1,
