company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Bespoke Kitchens,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Bespoke Kitchens,London,,4.5,593,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
wood doctor,,Bespoke Kitchens,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Bespoke Kitchens,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
SDL PKB,,Bespoke Kitchens,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
RJ Mullan,,Bespoke Kitchens,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Bespoke Kitchens,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Bespoke Kitchens,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Bespoke Kitchens,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Bespoke Kitchens,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Cross Kitchens,,Bespoke Kitchens,Southampton,,5,157,,https://www.ratedpeople.com/profile/cross-kitchens,ratedpeople,1,
CMS Carpentry,,Bespoke Kitchens,Olney,,5,149,,https://www.ratedpeople.com/profile/cms-carpentry,ratedpeople,1,
The Ruby Team,,Bespoke Kitchens,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
T M SERVICES,,Bespoke Kitchens,Chatham,,5,135,07748767569,https://www.ratedpeople.com/profile/tony-mansford,ratedpeople,1,
Abigail Construction,,Bespoke Kitchens,London,,4.5,134,,https://www.ratedpeople.com/profile/abigail-construction,ratedpeople,1,
DDS DEVELOPMENT LTD,,Bespoke Kitchens,Hornchurch,,5,136,,https://www.ratedpeople.com/profile/dds-development,ratedpeople,1,
Aureliu-TopArtCraft.,,Bespoke Kitchens,London,,5,128,07779783333,https://www.ratedpeople.com/profile/aureliu-peche,ratedpeople,1,
JGWoodworking,,Bespoke Kitchens,,,10,123,,https://www.ratedpeople.com/profile/jgwoodworking,ratedpeople,1,
Antis Laipaks,,Bespoke Kitchens,London,,5,117,,https://www.ratedpeople.com/profile/antis-laipaks,ratedpeople,1,
Strong Wood Carpentry,,Bespoke Kitchens,Romsey,,5,115,,https://www.ratedpeople.com/profile/balint-bora-carpentry,ratedpeople,1,
Top Notch Joinery,,Bespoke Kitchens,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
steve seymour carpentry,,Bespoke Kitchens,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Viktor,,Bespoke Kitchens,bristol,,5,106,,https://www.ratedpeople.com/profile/viktor,ratedpeople,1,
RSM Building Services,,Bespoke Kitchens,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Underwood home improvements an maintenance,,Bespoke Kitchens,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Bespoke Kitchens,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Bespoke Kitchens,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Bespoke Kitchens,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
Wayne Parker,,Bespoke Kitchens,Midsomer Norton,,5,69,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople,1,
TEEMIS,,Bespoke Kitchens,Cardiff,,5,69,,https://www.ratedpeople.com/profile/teemis,ratedpeople,1,
B Shakespeare,,Bespoke Kitchens,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
Oliver Kent,,Bespoke Kitchens,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
SERGIU NASALEAN,,Bespoke Kitchens,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
Wise E.P.R LTD,,Bespoke Kitchens,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
DW HOME IMPROVEMENTS,,Bespoke Kitchens,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
R and R services,,Bespoke Kitchens,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Cymraeg Construction,,Bespoke Kitchens,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
HG Carpentry & Joinery,,Bespoke Kitchens,Bath,,5,56,07890311848,https://www.ratedpeople.com/profile/hg-carpentry-and-joinery,ratedpeople,1,
Krzysztof Kruk,,Bespoke Kitchens,Frome,,5,42,07739096681,https://www.ratedpeople.com/profile/krzysztof-kruk-frome,ratedpeople,1,
TC Property Renovations,,Bespoke Kitchens,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Bespoke Kitchens,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
SJ Building and Plastering Services,,Bespoke Kitchens,Jarrow,,5,105,07794146812,https://www.ratedpeople.com/profile/sj-plastering-serives,ratedpeople,1,
DC Joinery,,Bespoke Kitchens,wallsend,,5,93,07986104373,https://www.ratedpeople.com/profile/dc-roofline-and-joinery,ratedpeople,1,
