company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Blind Curtain Shutter Installation,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Blind Curtain Shutter Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Blind Curtain Shutter Installation,London,,4.5,593,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
J B CARPENTRY,,Blind Curtain Shutter Installation,Chislehurst,,5,495,07904988509,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople,1,
wood doctor,,Blind Curtain Shutter Installation,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
WH Services,,Blind Curtain Shutter Installation,Horsham,,5,351,,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople,1,
Electro Flame LTD,,Blind Curtain Shutter Installation,Croydon,,5,323,07864393584,https://www.ratedpeople.com/profile/electro-flame,ratedpeople,1,
Rushymead General Maintenance,,Blind Curtain Shutter Installation,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
ES Electrical & Building Services,,Blind Curtain Shutter Installation,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
CFC Ltd.,,Blind Curtain Shutter Installation,Bushey,,5,250,,https://www.ratedpeople.com/profile/cfc,ratedpeople,1,
EPRLocksmith,,Blind Curtain Shutter Installation,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
RJ Mullan,,Blind Curtain Shutter Installation,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Blind Curtain Shutter Installation,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Blind Curtain Shutter Installation,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
All Time Heating and Plumbing,,Blind Curtain Shutter Installation,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Blind Curtain Shutter Installation,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Blind Curtain Shutter Installation,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
SMALL STONE MAINTENANCE SERVICES,,Blind Curtain Shutter Installation,London,,5,168,07956840625,https://www.ratedpeople.com/profile/abdul-mumit,ratedpeople,1,
Princes Paving and building,,Blind Curtain Shutter Installation,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
W & M Home Renovations,,Blind Curtain Shutter Installation,Stafford,,5,156,,https://www.ratedpeople.com/profile/wm-homerenovation,ratedpeople,1,
Top Notch Joinery,,Blind Curtain Shutter Installation,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
LB plastering,,Blind Curtain Shutter Installation,Aberdare,,5,322,,https://www.ratedpeople.com/profile/lb-plastering-1,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Blind Curtain Shutter Installation,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
DB Home Improvements,,Blind Curtain Shutter Installation,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
steve seymour carpentry,,Blind Curtain Shutter Installation,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Integrity Plumbing Heating and Gas,,Blind Curtain Shutter Installation,Swindon,,4.5,128,07944471799,https://www.ratedpeople.com/profile/trc-plumbing-heating-and-gas,ratedpeople,1,
Jay's Property Maintainance,,Blind Curtain Shutter Installation,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Blind Curtain Shutter Installation,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
DRAGON construction and maintenance servises,,Blind Curtain Shutter Installation,Bristol,,5,117,,https://www.ratedpeople.com/profile/dragon-construction-and-maintenance-servises,ratedpeople,1,
RSM Building Services,,Blind Curtain Shutter Installation,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Underwood home improvements an maintenance,,Blind Curtain Shutter Installation,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Chris' Home Services,,Blind Curtain Shutter Installation,Chippenham,,5,83,,https://www.ratedpeople.com/profile/chris-home-services,ratedpeople,1,
d lee & sons property maintenance,,Blind Curtain Shutter Installation,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
axis property services,,Blind Curtain Shutter Installation,Mitcheldean,,5,76,,https://www.ratedpeople.com/profile/axis-property-services-mitcheldean,ratedpeople,1,
Apex Plastering & Building Services,,Blind Curtain Shutter Installation,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Blind Curtain Shutter Installation,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Blind Curtain Shutter Installation,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
MB bricklaying services,,Blind Curtain Shutter Installation,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
TEEMIS,,Blind Curtain Shutter Installation,Cardiff,,5,69,,https://www.ratedpeople.com/profile/teemis,ratedpeople,1,
B Shakespeare,,Blind Curtain Shutter Installation,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
KA Roofing,,Blind Curtain Shutter Installation,Auchinleck,,5,386,,https://www.ratedpeople.com/profile/ka-roofing,ratedpeople,1,
TJ Electrical & Property Services,,Blind Curtain Shutter Installation,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
ACM Renewable Solutions,,Blind Curtain Shutter Installation,Houghton Le Spring,,5,158,,https://www.ratedpeople.com/profile/tm-electrics,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Blind Curtain Shutter Installation,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
DC Joinery,,Blind Curtain Shutter Installation,wallsend,,5,93,07986104373,https://www.ratedpeople.com/profile/dc-roofline-and-joinery,ratedpeople,1,
DMH Contracts,,Blind Curtain Shutter Installation,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
Roofguard,,Blind Curtain Shutter Installation,Harrogate,,5,74,,https://www.ratedpeople.com/profile/roofguard-harrogate,ratedpeople,1,
JLT Building and Landscapes,,Blind Curtain Shutter Installation,Durham,,5,68,,https://www.ratedpeople.com/profile/jlt-builders,ratedpeople,1,
Rafal Siemiaszko,,Blind Curtain Shutter Installation,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
Buster Construction and Renovations,,Blind Curtain Shutter Installation,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
luxury spaces,,Blind Curtain Shutter Installation,Dunfermline,,5,136,07763510006,https://www.ratedpeople.com/profile/aaron-montgomery,ratedpeople,1,
Main Builder,,Blind Curtain Shutter Installation,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
TA joinery,,Blind Curtain Shutter Installation,Middlesbrough,,5,45,,https://www.ratedpeople.com/profile/ta-joinery,ratedpeople,1,
Phil Beveridge,,Blind Curtain Shutter Installation,York,,5,44,,https://www.ratedpeople.com/profile/phil-beveridge,ratedpeople,1,
M&T Garden cleaners,,Blind Curtain Shutter Installation,Newcastle upon Tyne,,5,40,,https://www.ratedpeople.com/profile/m-and-t-garden-cleaners,ratedpeople,1,
mc property maintenance,,Blind Curtain Shutter Installation,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
R J Park Building Services Ltd,,Blind Curtain Shutter Installation,Lancaster,,5,35,,https://www.ratedpeople.com/profile/r-j-park-building-and-roofing-contractor,ratedpeople,1,
R DANIEL BUILDING & JOINERY,,Blind Curtain Shutter Installation,Darlington,,5,32,,https://www.ratedpeople.com/profile/r-daniel-building-and-joinery,ratedpeople,1,
CLAD K SHEETING SERVICES LTD,,Blind Curtain Shutter Installation,Shildon,,4.5,32,,https://www.ratedpeople.com/profile/clad-k-sheeting-services,ratedpeople,1,
StapleCarpets,,Blind Curtain Shutter Installation,City,,5,29,07543538404,https://www.ratedpeople.com/profile/staplecarpets,ratedpeople,1,
Atlas Property Care,,Blind Curtain Shutter Installation,Larkhall,,5,125,07818653443,https://www.ratedpeople.com/profile/atlas-property-care-1,ratedpeople,1,
Budex Developments,,Blind Curtain Shutter Installation,Perth,,4.5,47,,https://www.ratedpeople.com/profile/budex-developments,ratedpeople,1,
keith duncan decorating services,,Blind Curtain Shutter Installation,Stonehaven,,5,38,,https://www.ratedpeople.com/profile/keith-duncan-decorating-services,ratedpeople,1,
