company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Brick Stone Cleaning,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Lockhart Roofing and Brickwork Services,,Brick Stone Cleaning,Bracknell,,5,571,,https://www.ratedpeople.com/profile/lockhart-roofing,ratedpeople,1,
ES Electrical & Building Services,,Brick Stone Cleaning,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Brick Stone Cleaning,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Brick Stone Cleaning,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
olliver hanrahan,,Brick Stone Cleaning,,,10,194,07861192239,https://www.ratedpeople.com/profile/olliehanrahan,ratedpeople,1,
MM Smooth Constructions,,Brick Stone Cleaning,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Brick Stone Cleaning,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Brick Stone Cleaning,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
C Jenkins & Sons limited,,Brick Stone Cleaning,,,9,165,07799589521,https://www.ratedpeople.com/profile/c-jenkins-and-sons-limited,ratedpeople,1,
Morley Gardens,,Brick Stone Cleaning,Westerham,,5,174,07415754167,https://www.ratedpeople.com/profile/morleys-lawns,ratedpeople,1,
The Ruby Team,,Brick Stone Cleaning,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Jay's Property Maintainance,,Brick Stone Cleaning,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Newman & Sons,,Brick Stone Cleaning,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
Four Seasons Garden Care Services,,Brick Stone Cleaning,,,9,123,,https://www.ratedpeople.com/profile/four-seasons-garden-care-services,ratedpeople,1,
Cristian Improvements,,Brick Stone Cleaning,Watford,,5,121,07721734005,https://www.ratedpeople.com/profile/cris-handyman,ratedpeople,1,
BZ Gardens,,Brick Stone Cleaning,Ash,,5,119,,https://www.ratedpeople.com/profile/bz-gardens,ratedpeople,1,
Executive Paving,,Brick Stone Cleaning,London,,5,113,,https://www.ratedpeople.com/profile/executivepaving,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Brick Stone Cleaning,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Brick Stone Cleaning,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
FlowTeck Roofing,,Brick Stone Cleaning,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Brick Stone Cleaning,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Brick Stone Cleaning,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
Derek Comer,,Brick Stone Cleaning,Bridgwater,,5,114,07976831501,https://www.ratedpeople.com/profile/derek-comer,ratedpeople,1,
Smiths & Sons,,Brick Stone Cleaning,Taunton,,5,102,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
Underwood home improvements an maintenance,,Brick Stone Cleaning,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
d lee & sons property maintenance,,Brick Stone Cleaning,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Brick Stone Cleaning,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
axis property services,,Brick Stone Cleaning,Mitcheldean,,5,76,,https://www.ratedpeople.com/profile/axis-property-services-mitcheldean,ratedpeople,1,
MB bricklaying services,,Brick Stone Cleaning,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
Newman Plastering,,Brick Stone Cleaning,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
SERGIU NASALEAN,,Brick Stone Cleaning,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
