company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
J B CARPENTRY,,Burglar Repairs,Chislehurst,,5,495,07904988509,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople,1,
wood doctor,,Burglar Repairs,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
EPRLocksmith,,Burglar Repairs,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
RJ Mullan,,Burglar Repairs,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Burglar Repairs,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Burglar Repairs,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Aaron Construction,,Burglar Repairs,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
JE LOCKSMITH,,Burglar Repairs,Horsham,,5,154,07850043801,https://www.ratedpeople.com/profile/je-locksmith,ratedpeople,1,
arkadiusz debski,,Burglar Repairs,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
Your Property Developers,,Burglar Repairs,Stanmore,,4.5,136,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Burglar Repairs,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Burglar Repairs,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
LOCKSMITH EMERGENCIES LTD,,Burglar Repairs,Harrow,,5,118,07950287429,https://www.ratedpeople.com/profile/lock-smith-emergencies,ratedpeople,1,
Hollywood joinery an maintenance,,Burglar Repairs,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Burglar Repairs,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
Oliver Deyoung,,Burglar Repairs,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
G Greaves Carpentry & Building Services,,Burglar Repairs,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
C&V Construction,,Burglar Repairs,Ilford,,5,96,07407058625,https://www.ratedpeople.com/profile/c-and-v-construction,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Burglar Repairs,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
