company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Burglar Security Intruder Alarm Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
ElectricFix Science Ltd,,Burglar Security Intruder Alarm Installation,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Burglar Security Intruder Alarm Installation,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
EPRLocksmith,,Burglar Security Intruder Alarm Installation,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
MM Smooth Constructions,,Burglar Security Intruder Alarm Installation,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Jack Henry,,Burglar Security Intruder Alarm Installation,Glasgow,,4.5,192,,https://www.ratedpeople.com/profile/jack-henry,ratedpeople,1,
Allan Charles,,Burglar Security Intruder Alarm Installation,Ascot,,5,190,07947805529,https://www.ratedpeople.com/profile/arcconsultinguk,ratedpeople,1,
Aaron Construction,,Burglar Security Intruder Alarm Installation,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Daniel Panfil,,Burglar Security Intruder Alarm Installation,Chadwell St. Mary,,5,158,07471946799,https://www.ratedpeople.com/profile/daniel-panfil,ratedpeople,1,
AGC Electrical,,Burglar Security Intruder Alarm Installation,Blackpool,,5,146,,https://www.ratedpeople.com/profile/agc-electrical,ratedpeople,1,
The Ruby Team,,Burglar Security Intruder Alarm Installation,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Four Seasons Garden Care Services,,Burglar Security Intruder Alarm Installation,,,9,123,,https://www.ratedpeople.com/profile/four-seasons-garden-care-services,ratedpeople,1,
Hambridge Electricals LTD,,Burglar Security Intruder Alarm Installation,,,10,116,07590324894,https://www.ratedpeople.com/profile/shelectrical-services,ratedpeople,1,
Badur Electrical & CCTV,,Burglar Security Intruder Alarm Installation,,,10,110,07465976236,https://www.ratedpeople.com/profile/badur-electrical-and-cctv,ratedpeople,1,
I.P.S ELECTRICAL INSTALLATIONS LTD,,Burglar Security Intruder Alarm Installation,Ruislip,,5,90,,https://www.ratedpeople.com/profile/ips-electrical-installations,ratedpeople,1,
First Place Electrical Services,,Burglar Security Intruder Alarm Installation,Dartford,,5,90,,https://www.ratedpeople.com/profile/first-place-electrical-services,ratedpeople,1,
