company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Folarinmaintains,,Carbon Monoxide Alarms Installation,United Kingdom,,5,870,07877099631,https://www.ratedpeople.com/profile/folarinmaintains,ratedpeople,1,
Cn Construction&Gardening Ltd,,Carbon Monoxide Alarms Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
WH Services,,Carbon Monoxide Alarms Installation,Horsham,,5,351,,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople,1,
Electro Flame LTD,,Carbon Monoxide Alarms Installation,Croydon,,5,323,07864393584,https://www.ratedpeople.com/profile/electro-flame,ratedpeople,1,
Ziyad Construction,,Carbon Monoxide Alarms Installation,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
Instalex,,Carbon Monoxide Alarms Installation,Maidstone,,5,293,07919311808,https://www.ratedpeople.com/profile/instalex-south-east,ratedpeople,1,
ElectricFix Science Ltd,,Carbon Monoxide Alarms Installation,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Carbon Monoxide Alarms Installation,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
AM Electrical,,Carbon Monoxide Alarms Installation,London,,5,255,07714188241,https://www.ratedpeople.com/profile/am-electrical-brent,ratedpeople,1,
Core Electrical South LTD,,Carbon Monoxide Alarms Installation,Crawley,,5,218,,https://www.ratedpeople.com/profile/core-electrical-south,ratedpeople,1,
Modern Bathrooms LT,,Carbon Monoxide Alarms Installation,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
RJ Mullan,,Carbon Monoxide Alarms Installation,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Carbon Monoxide Alarms Installation,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
