company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Complete Bathroom Refurbishment,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Complete Bathroom Refurbishment,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Bc Plumbing Services,,Complete Bathroom Refurbishment,Oxted,,5,627,07821194571,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople,1,
A & K Contractor Services,,Complete Bathroom Refurbishment,London,,4.5,594,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Complete Bathroom Refurbishment,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
S&A Plumbing Services,,Complete Bathroom Refurbishment,LONDON,,5,311,07960660506,https://www.ratedpeople.com/profile/s-and-a,ratedpeople,1,
Ziyad Construction,,Complete Bathroom Refurbishment,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
RM Drainage & Plumbing,,Complete Bathroom Refurbishment,Rainham,,5,275,,https://www.ratedpeople.com/profile/rmdrainageandplumbing,ratedpeople,1,
ES Electrical & Building Services,,Complete Bathroom Refurbishment,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Complete Bathroom Refurbishment,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
R&D Construction,,Complete Bathroom Refurbishment,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
Modern Bathrooms LT,,Complete Bathroom Refurbishment,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
Darren Davies Plumbing & Heating,,Complete Bathroom Refurbishment,Letchworth,,5,208,,https://www.ratedpeople.com/profile/darren-davies-plumbing-and-heating,ratedpeople,1,
SDL PKB,,Complete Bathroom Refurbishment,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Complete Bathroom Refurbishment,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Lewis Willoughby,,Complete Bathroom Refurbishment,Dunmow,,5,198,,https://www.ratedpeople.com/profile/lewis-willoughby,ratedpeople,1,
Sir Ramik Tiler,,Complete Bathroom Refurbishment,Carlton Colville,,5,198,,https://www.ratedpeople.com/profile/sir-ramik-tiler,ratedpeople,1,
MM Smooth Constructions,,Complete Bathroom Refurbishment,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
All Time Heating and Plumbing,,Complete Bathroom Refurbishment,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Complete Bathroom Refurbishment,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Hayes plumbing and Property services,,Complete Bathroom Refurbishment,Bridgend,,5,144,,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople,1,
Plumbing Company South West UK,,Complete Bathroom Refurbishment,Street,,4.5,106,07359713971,https://www.ratedpeople.com/profile/jones-engineering-services,ratedpeople,1,
Viktor,,Complete Bathroom Refurbishment,bristol,,5,106,,https://www.ratedpeople.com/profile/viktor,ratedpeople,1,
Southwest Plastering & Building Services,,Complete Bathroom Refurbishment,Exeter,,5,91,07426524789,https://www.ratedpeople.com/profile/capital-plastering,ratedpeople,1,
Webb Heating services,,Complete Bathroom Refurbishment,Pontypool,,4.5,91,,https://www.ratedpeople.com/profile/webb-heating-services,ratedpeople,1,
Underwood home improvements an maintenance,,Complete Bathroom Refurbishment,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Neil Corcoran Electrical Contractor,,Complete Bathroom Refurbishment,Ferndale,,5,90,,https://www.ratedpeople.com/profile/neil-corcoran-electrical-contractor,ratedpeople,1,
Third Generation Electrical,,Complete Bathroom Refurbishment,Bristol,,5,80,,https://www.ratedpeople.com/profile/third-generation-electrical,ratedpeople,1,
Property Renovation&Decorating Services,,Complete Bathroom Refurbishment,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,Complete Bathroom Refurbishment,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Complete Bathroom Refurbishment,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
HFM Services,,Complete Bathroom Refurbishment,Llanelli,,5,72,,https://www.ratedpeople.com/profile/hfmservices,ratedpeople,1,
Wayne Parker,,Complete Bathroom Refurbishment,Midsomer Norton,,5,69,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople,1,
RightFit Redevelopments,,Complete Bathroom Refurbishment,Hengoed,,5,68,,https://www.ratedpeople.com/profile/jp-plumbing-solutions,ratedpeople,1,
Newman Plastering,,Complete Bathroom Refurbishment,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
Oliver Kent,,Complete Bathroom Refurbishment,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
SERGIU NASALEAN,,Complete Bathroom Refurbishment,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
Wise E.P.R LTD,,Complete Bathroom Refurbishment,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
DW HOME IMPROVEMENTS,,Complete Bathroom Refurbishment,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
M POLLARD PLUMBING AND HEATING,,Complete Bathroom Refurbishment,Close,,5,836,,https://www.ratedpeople.com/profile/m-pollard-plumbing-and-heating,ratedpeople,1,
TC Property Renovations,,Complete Bathroom Refurbishment,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
TJ Electrical & Property Services,,Complete Bathroom Refurbishment,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Complete Bathroom Refurbishment,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
SJ Building and Plastering Services,,Complete Bathroom Refurbishment,Jarrow,,5,105,07794146812,https://www.ratedpeople.com/profile/sj-plastering-serives,ratedpeople,1,
ACB PLUMBING SERVICES,,Complete Bathroom Refurbishment,High Spen,,5,101,,https://www.ratedpeople.com/profile/acb-plumbing-services-rowlands-gill,ratedpeople,1,
Bathrooms by Paul,,Complete Bathroom Refurbishment,Middlesbrough,,4.5,84,,https://www.ratedpeople.com/profile/north-east-building-specialists,ratedpeople,1,
DMH Contracts,,Complete Bathroom Refurbishment,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
midland builders,,Complete Bathroom Refurbishment,Notts,,5,76,,https://www.ratedpeople.com/profile/midland-builders-mansfield,ratedpeople,1,
Weardale Construction,,Complete Bathroom Refurbishment,Tyne&wear,,4.5,74,07968966369,https://www.ratedpeople.com/profile/weardale-construction,ratedpeople,1,
Rafal Siemiaszko,,Complete Bathroom Refurbishment,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
LOOK AS PLUMBER,,Complete Bathroom Refurbishment,Jarrow,,5,67,,https://www.ratedpeople.com/profile/look-plumber,ratedpeople,1,
Drake and Sons,,Complete Bathroom Refurbishment,Queensbury,,5,63,,https://www.ratedpeople.com/profile/drake-and-sons,ratedpeople,1,
Buster Construction and Renovations,,Complete Bathroom Refurbishment,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
luxury spaces,,Complete Bathroom Refurbishment,Dunfermline,,5,136,07763510006,https://www.ratedpeople.com/profile/aaron-montgomery,ratedpeople,1,
Emanuel Spence Maintenance Services Ltd,,Complete Bathroom Refurbishment,N Yorks,,5,53,,https://www.ratedpeople.com/profile/emanuel-spence-maintenance-services,ratedpeople,1,
Bliss Home Interiors ltd,,Complete Bathroom Refurbishment,Hylton Castle,,4.5,47,,https://www.ratedpeople.com/profile/grahamsbathrooms,ratedpeople,1,
Main Builder,,Complete Bathroom Refurbishment,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
