company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Complete Kitchen Refurbishment,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Complete Kitchen Refurbishment,London,,4.5,594,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
wood doctor,,Complete Kitchen Refurbishment,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
Ziyad Construction,,Complete Kitchen Refurbishment,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ElectricFix Science Ltd,,Complete Kitchen Refurbishment,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Complete Kitchen Refurbishment,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
R&D Construction,,Complete Kitchen Refurbishment,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
Modern Bathrooms LT,,Complete Kitchen Refurbishment,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
SDL PKB,,Complete Kitchen Refurbishment,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
RJ Mullan,,Complete Kitchen Refurbishment,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Complete Kitchen Refurbishment,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Complete Kitchen Refurbishment,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Complete Kitchen Refurbishment,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Complete Kitchen Refurbishment,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Draiton Plumbing,,Complete Kitchen Refurbishment,,,9,190,,https://www.ratedpeople.com/profile/draiton-plumbing,ratedpeople,1,
Aaron Construction,,Complete Kitchen Refurbishment,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Cross Kitchens,,Complete Kitchen Refurbishment,Southampton,,5,157,,https://www.ratedpeople.com/profile/cross-kitchens,ratedpeople,1,
Your Property Developers,,Complete Kitchen Refurbishment,Stanmore,,4.5,136,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Complete Kitchen Refurbishment,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Gabriel-Construction,,Complete Kitchen Refurbishment,Harrow,,5,134,,https://www.ratedpeople.com/profile/gabriel-construction,ratedpeople,1,
Clive Adams,,Complete Kitchen Refurbishment,Bristol,,5,387,,https://www.ratedpeople.com/profile/clive-adams,ratedpeople,1,
Hayes plumbing and Property services,,Complete Kitchen Refurbishment,Bridgend,,5,144,,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople,1,
steve seymour carpentry,,Complete Kitchen Refurbishment,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
RSM Building Services,,Complete Kitchen Refurbishment,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Underwood home improvements an maintenance,,Complete Kitchen Refurbishment,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Complete Kitchen Refurbishment,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,Complete Kitchen Refurbishment,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Apex Plastering & Building Services,,Complete Kitchen Refurbishment,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Complete Kitchen Refurbishment,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
Wayne Parker,,Complete Kitchen Refurbishment,Midsomer Norton,,5,69,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople,1,
B Shakespeare,,Complete Kitchen Refurbishment,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
Oliver Kent,,Complete Kitchen Refurbishment,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
SERGIU NASALEAN,,Complete Kitchen Refurbishment,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
Wise E.P.R LTD,,Complete Kitchen Refurbishment,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
DW HOME IMPROVEMENTS,,Complete Kitchen Refurbishment,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
R and R services,,Complete Kitchen Refurbishment,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Cymraeg Construction,,Complete Kitchen Refurbishment,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
Radek Kruk,,Complete Kitchen Refurbishment,Shepton Mallet,,5,44,,https://www.ratedpeople.com/profile/radek-kruk,ratedpeople,1,
TC Property Renovations,,Complete Kitchen Refurbishment,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
TJ Electrical & Property Services,,Complete Kitchen Refurbishment,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Complete Kitchen Refurbishment,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
SJ Building and Plastering Services,,Complete Kitchen Refurbishment,Jarrow,,5,105,07794146812,https://www.ratedpeople.com/profile/sj-plastering-serives,ratedpeople,1,
DC Joinery,,Complete Kitchen Refurbishment,wallsend,,5,93,07986104373,https://www.ratedpeople.com/profile/dc-roofline-and-joinery,ratedpeople,1,
SB Construction,,Complete Kitchen Refurbishment,Sunderland,,5,85,,https://www.ratedpeople.com/profile/sb-construction-sunderland,ratedpeople,1,
midland builders,,Complete Kitchen Refurbishment,Notts,,5,76,,https://www.ratedpeople.com/profile/midland-builders-mansfield,ratedpeople,1,
Weardale Construction,,Complete Kitchen Refurbishment,Tyne&wear,,4.5,74,07968966369,https://www.ratedpeople.com/profile/weardale-construction,ratedpeople,1,
Rafal Siemiaszko,,Complete Kitchen Refurbishment,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
Drake and Sons,,Complete Kitchen Refurbishment,Queensbury,,5,63,,https://www.ratedpeople.com/profile/drake-and-sons,ratedpeople,1,
Buster Construction and Renovations,,Complete Kitchen Refurbishment,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
luxury spaces,,Complete Kitchen Refurbishment,Dunfermline,,5,136,07763510006,https://www.ratedpeople.com/profile/aaron-montgomery,ratedpeople,1,
Worktop Expert,,Complete Kitchen Refurbishment,Gateshead,,5,53,,https://www.ratedpeople.com/profile/igor-stetsiuk,ratedpeople,1,
Bliss Home Interiors ltd,,Complete Kitchen Refurbishment,Hylton Castle,,4.5,47,,https://www.ratedpeople.com/profile/grahamsbathrooms,ratedpeople,1,
Main Builder,,Complete Kitchen Refurbishment,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
mc property maintenance,,Complete Kitchen Refurbishment,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
Walsh Home Improvements,,Complete Kitchen Refurbishment,North Shields,,4.5,37,,https://www.ratedpeople.com/profile/walsh-home-improvements,ratedpeople,1,
