company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Lockhart Roofing and Brickwork Services,,Conservatory Cleaning Maintenance,Bracknell,,5,571,,https://www.ratedpeople.com/profile/lockhart-roofing,ratedpeople,1,
Bennbrook Windows,,Conservatory Cleaning Maintenance,Harlow,,4.5,217,07794343648,https://www.ratedpeople.com/profile/bennbrook-windows,ratedpeople,1,
EPRLocksmith,,Conservatory Cleaning Maintenance,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Conservatory Cleaning Maintenance,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Conservatory Cleaning Maintenance,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Conservatory Cleaning Maintenance,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
C Jenkins & Sons limited,,Conservatory Cleaning Maintenance,,,9,165,07799589521,https://www.ratedpeople.com/profile/c-jenkins-and-sons-limited,ratedpeople,1,
County Roofing & Building LLP,,Conservatory Cleaning Maintenance,Bracknell,,5,157,,https://www.ratedpeople.com/profile/county-roofing-and-building-llp,ratedpeople,1,
DP Roofing Services,,Conservatory Cleaning Maintenance,Beckenham,,5,133,,https://www.ratedpeople.com/profile/dp-roofing-services,ratedpeople,1,
Jay's Property Maintainance,,Conservatory Cleaning Maintenance,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Conservatory Cleaning Maintenance,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
Hollywood joinery an maintenance,,Conservatory Cleaning Maintenance,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Conservatory Cleaning Maintenance,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
All counties contractors,,Conservatory Cleaning Maintenance,Yateley,,5,111,,https://www.ratedpeople.com/profile/all-counties-contractors,ratedpeople,1,
Oliver Deyoung,,Conservatory Cleaning Maintenance,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
Andy Handyman,,Conservatory Cleaning Maintenance,Northolt,,5,106,07887757590,https://www.ratedpeople.com/profile/andy-handyman,ratedpeople,1,
Rushmoore Roofing,,Conservatory Cleaning Maintenance,London,,5,101,07939488956,https://www.ratedpeople.com/profile/rushmoore-roofing,ratedpeople,1,
G Greaves Carpentry & Building Services,,Conservatory Cleaning Maintenance,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Plum Building Services LTD,,Conservatory Cleaning Maintenance,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Conservatory Cleaning Maintenance,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
FlowTeck Roofing,,Conservatory Cleaning Maintenance,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
steve seymour carpentry,,Conservatory Cleaning Maintenance,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
A.M Roofing,,Conservatory Cleaning Maintenance,,,10,118,,https://www.ratedpeople.com/profile/am-roofing-ilminster,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Conservatory Cleaning Maintenance,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
RSM Building Services,,Conservatory Cleaning Maintenance,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Skyline roofers,,Conservatory Cleaning Maintenance,Street,,4,96,,https://www.ratedpeople.com/profile/skyline-roofers,ratedpeople,1,
Smiths & Sons,,Conservatory Cleaning Maintenance,Taunton,,5,102,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
Underwood home improvements an maintenance,,Conservatory Cleaning Maintenance,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Procell plastics and roofing,,Conservatory Cleaning Maintenance,Witney,,5,84,,https://www.ratedpeople.com/profile/procell-plastics-and-roofing,ratedpeople,1,
Roof & Electrical Technicians,,Conservatory Cleaning Maintenance,Bridgend,,4.5,84,,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople,1,
Chris' Home Services,,Conservatory Cleaning Maintenance,Chippenham,,5,83,,https://www.ratedpeople.com/profile/chris-home-services,ratedpeople,1,
Bristol House Extensions,,Conservatory Cleaning Maintenance,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Conservatory Cleaning Maintenance,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Conservatory Cleaning Maintenance,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
MB bricklaying services,,Conservatory Cleaning Maintenance,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
B Shakespeare,,Conservatory Cleaning Maintenance,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
DW HOME IMPROVEMENTS,,Conservatory Cleaning Maintenance,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
KA Roofing,,Conservatory Cleaning Maintenance,Auchinleck,,5,386,,https://www.ratedpeople.com/profile/ka-roofing,ratedpeople,1,
