company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Conservatory,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Conservatory,London,,4.5,594,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Lockhart Roofing and Brickwork Services,,Conservatory,Bracknell,,5,571,,https://www.ratedpeople.com/profile/lockhart-roofing,ratedpeople,1,
wood doctor,,Conservatory,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Conservatory,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Bennbrook Windows,,Conservatory,Harlow,,4.5,217,07794343648,https://www.ratedpeople.com/profile/bennbrook-windows,ratedpeople,1,
EPRLocksmith,,Conservatory,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
R&D Construction,,Conservatory,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Conservatory,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Conservatory,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Conservatory,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Cooper & Sons,,Conservatory,Staines-upon-thames,,5,175,,https://www.ratedpeople.com/profile/cooperandsons,ratedpeople,1,
Aaron Construction,,Conservatory,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Princes Paving and building,,Conservatory,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
AGC Electrical,,Conservatory,Blackpool,,5,146,,https://www.ratedpeople.com/profile/agc-electrical,ratedpeople,1,
JNM CONSTRUCTION SERVICES,,Conservatory,Ilford,,5,145,,https://www.ratedpeople.com/profile/jnm-construction-services,ratedpeople,1,
Your Property Developers,,Conservatory,Stanmore,,4.5,136,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Conservatory,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Abigail Construction,,Conservatory,London,,4.5,134,,https://www.ratedpeople.com/profile/abigail-construction,ratedpeople,1,
Newman & Sons,,Conservatory,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Conservatory,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
Riverside Property Services,,Conservatory,Morden,,5,118,,https://www.ratedpeople.com/profile/riverside-property-services-morden,ratedpeople,1,
Viktor,,Conservatory,bristol,,5,106,,https://www.ratedpeople.com/profile/viktor,ratedpeople,1,
RSM Building Services,,Conservatory,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Skyline roofers,,Conservatory,Street,,4,96,,https://www.ratedpeople.com/profile/skyline-roofers,ratedpeople,1,
Procell plastics and roofing,,Conservatory,Witney,,5,84,,https://www.ratedpeople.com/profile/procell-plastics-and-roofing,ratedpeople,1,
Roof & Electrical Technicians,,Conservatory,Bridgend,,4.5,84,,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople,1,
Property Renovation&Decorating Services,,Conservatory,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Conservatory,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
MB bricklaying services,,Conservatory,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
B Shakespeare,,Conservatory,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
P H Plasterers,,Conservatory,Cardiff,,5,67,07811966217,https://www.ratedpeople.com/profile/p-h-plasterers,ratedpeople,1,
Oliver Kent,,Conservatory,Cheltenham,,5,65,07557271029,https://www.ratedpeople.com/profile/oliver-kent,ratedpeople,1,
SERGIU NASALEAN,,Conservatory,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
Wise E.P.R LTD,,Conservatory,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
DW HOME IMPROVEMENTS,,Conservatory,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
Total Building & Maintenance,,Conservatory,Chippenham,,5,57,07506730349,https://www.ratedpeople.com/profile/total-building-and-maintenance,ratedpeople,1,
Pm builders&landscapers,,Conservatory,Caerphilly,,5,57,,https://www.ratedpeople.com/profile/pm-builders-and-landscapers,ratedpeople,1,
Cymraeg Construction,,Conservatory,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
TC Property Renovations,,Conservatory,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
Can Construction,,Conservatory,Bolton,,5,119,,https://www.ratedpeople.com/profile/can-construction,ratedpeople,1,
SJ Building and Plastering Services,,Conservatory,Jarrow,,5,105,07794146812,https://www.ratedpeople.com/profile/sj-plastering-serives,ratedpeople,1,
SB Construction,,Conservatory,Sunderland,,5,85,,https://www.ratedpeople.com/profile/sb-construction-sunderland,ratedpeople,1,
