company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Pink Hippo Tree Surgery,,Crown Thinning,Bracknell,,5,317,07854393617,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople,1,
Chameleon Refurbs,,Crown Thinning,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Smith & Sons,,Crown Thinning,Ka245jh,,5,231,07479071969,https://www.ratedpeople.com/profile/bill-smith-maintainance,ratedpeople,1,
Crystal Home Improvement & Gardening Services,,Crown Thinning,London,,5,207,07894249212,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople,1,
RJ Mullan,,Crown Thinning,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Crown Thinning,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Morley Gardens,,Crown Thinning,Westerham,,5,174,07415754167,https://www.ratedpeople.com/profile/morleys-lawns,ratedpeople,1,
aandptreeservices,,Crown Thinning,Hatfield,,5,153,,https://www.ratedpeople.com/profile/aandptreeservices,ratedpeople,1,
Four Seasons Garden Care Services,,Crown Thinning,,,9,123,,https://www.ratedpeople.com/profile/four-seasons-garden-care-services,ratedpeople,1,
BZ Gardens,,Crown Thinning,Ash,,5,119,,https://www.ratedpeople.com/profile/bz-gardens,ratedpeople,1,
Executive Paving,,Crown Thinning,London,,5,113,,https://www.ratedpeople.com/profile/executivepaving,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Crown Thinning,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Christopher,,Crown Thinning,South Ockendon,,5,107,07904781412,https://www.ratedpeople.com/profile/christopher-south-ockendon,ratedpeople,1,
Kingpin Groundworks & Gardens,,Crown Thinning,Nottinghamshire,,5,102,07480833868,https://www.ratedpeople.com/profile/home-improvements-swadlincote,ratedpeople,1,
Marcio & Jhonys,,Crown Thinning,Watford,,4.5,97,,https://www.ratedpeople.com/profile/marcio-and-joao,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Crown Thinning,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
N P TREE CARE,,Crown Thinning,Close,,5,89,07757864550,https://www.ratedpeople.com/profile/n-p-tree-care,ratedpeople,1,
j&p garden services,,Crown Thinning,Ashford,,5,80,,https://www.ratedpeople.com/profile/j-and-p-garden-services,ratedpeople,1,
