company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Decorative Glazing,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Bennbrook Windows,,Decorative Glazing,Harlow,,4.5,217,07794343648,https://www.ratedpeople.com/profile/bennbrook-windows,ratedpeople,1,
EPRLocksmith,,Decorative Glazing,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
MM Smooth Constructions,,Decorative Glazing,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Aaron Construction,,Decorative Glazing,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
The Ruby Team,,Decorative Glazing,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Decorative Glazing,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
G Greaves Carpentry & Building Services,,Decorative Glazing,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
All Jobs Essex,,Decorative Glazing,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
2M Construction,,Decorative Glazing,Barnet,,4.5,78,,https://www.ratedpeople.com/profile/2m-construction,ratedpeople,1,
Weathertite Constructions,,Decorative Glazing,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
GW Glass,,Decorative Glazing,Harlow,,5,71,,https://www.ratedpeople.com/profile/gwglass,ratedpeople,1,
Andrey's Roofing and Building Services,,Decorative Glazing,Harrow,,5,95,07404303656,https://www.ratedpeople.com/profile/andrey-roofing-services,ratedpeople,1,
Imd buildingservices Ltd,,Decorative Glazing,London,,5,65,,https://www.ratedpeople.com/profile/imd-buildingservices,ratedpeople,1,
