company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
SUNNY CLEAN,,Deep Cleaning Commercial,Romford,,4.5,222,,https://www.ratedpeople.com/profile/sunnyclean,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Deep Cleaning Commercial,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Deep Cleaning Commercial,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
arkadiusz debski,,Deep Cleaning Commercial,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
Jay's Property Maintainance,,Deep Cleaning Commercial,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Hollywood joinery an maintenance,,Deep Cleaning Commercial,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Deep Cleaning Commercial,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Deep Cleaning Commercial,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
G Greaves Carpentry & Building Services,,Deep Cleaning Commercial,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Plum Building Services LTD,,Deep Cleaning Commercial,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Deep Cleaning Commercial,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
R & J Quality and Decorating Ltd,,Deep Cleaning Commercial,Barking,,5,93,,https://www.ratedpeople.com/profile/r-and-j-quality-and-decorating,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,Deep Cleaning Commercial,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
Greenstone krzysztof Wlodarczyk,,Deep Cleaning Commercial,London,,5,86,,https://www.ratedpeople.com/profile/greenstone-1,ratedpeople,1,
Property Renovation&Decorating Services,,Deep Cleaning Commercial,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
All Jobs Essex,,Deep Cleaning Commercial,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
London BS LTD,,Deep Cleaning Commercial,Borehamwood,,5,75,,https://www.ratedpeople.com/profile/handyman-service-borehamwood,ratedpeople,1,
Weathertite Constructions,,Deep Cleaning Commercial,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
CGM Services,,Deep Cleaning Commercial,London,,5,74,,https://www.ratedpeople.com/profile/charlie-morris-services,ratedpeople,1,
Imd buildingservices Ltd,,Deep Cleaning Commercial,London,,5,65,,https://www.ratedpeople.com/profile/imd-buildingservices,ratedpeople,1,
FlowTeck Roofing,,Deep Cleaning Commercial,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
Underwood home improvements an maintenance,,Deep Cleaning Commercial,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Deep Cleaning Commercial,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
B Shakespeare,,Deep Cleaning Commercial,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
Gudfort fencing,,Deep Cleaning Commercial,Hengoed,,5,61,07912312992,https://www.ratedpeople.com/profile/gudfort-fencing,ratedpeople,1,
Davies’s Plastering,,Deep Cleaning Commercial,Newport,,4.5,43,,https://www.ratedpeople.com/profile/daviesplastering,ratedpeople,1,
365 Quality Services Limited,,Deep Cleaning Commercial,Cheltenham,,5,32,,https://www.ratedpeople.com/profile/365-quality-services-limited,ratedpeople,1,
Spick and Span Domestic Cleaning Services,,Deep Cleaning Commercial,Swindon,,5,29,,https://www.ratedpeople.com/profile/spick-and-span-domestic-cleaning-services,ratedpeople,1,
Ramona's Cleaning,,Deep Cleaning Commercial,London,,5,29,,https://www.ratedpeople.com/profile/r-and-j-tree-surgeons,ratedpeople,1,
pr home improvements roofing &building,,Deep Cleaning Commercial,Witney,,5,25,,https://www.ratedpeople.com/profile/pr-home-improvements-roofing-and-building,ratedpeople,1,
J Hughes Property Maintenance,,Deep Cleaning Commercial,Newport,,4,22,,https://www.ratedpeople.com/profile/fine-finish-decorator,ratedpeople,1,
Kathy Ayres,,Deep Cleaning Commercial,Bristol,,4,21,07956118343,https://www.ratedpeople.com/profile/kathy-ayres,ratedpeople,1,
sos.build,,Deep Cleaning Commercial,Caerphilly,,4.5,18,,https://www.ratedpeople.com/profile/sosbuild,ratedpeople,1,
LCM Property Services,,Deep Cleaning Commercial,Bristol,,5,17,,https://www.ratedpeople.com/profile/lcm-property-services,ratedpeople,1,
Cleaning Express,,Deep Cleaning Commercial,Glasgow,,3.5,12,,https://www.ratedpeople.com/profile/cleaning-express,ratedpeople,1,
Bespoke Plumbing and Bathrooms,,Deep Cleaning Commercial,Salisbury,,5,14,,https://www.ratedpeople.com/profile/bespoke-plumbing-and-bathrooms,ratedpeople,1,
TJ Electrical & Property Services,,Deep Cleaning Commercial,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
External walls LTD,,Deep Cleaning Commercial,Crook,,4.5,94,07485706841,https://www.ratedpeople.com/profile/paintrender,ratedpeople,1,
DMH Contracts,,Deep Cleaning Commercial,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
Buster Construction and Renovations,,Deep Cleaning Commercial,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
M&T Garden cleaners,,Deep Cleaning Commercial,Newcastle upon Tyne,,5,40,,https://www.ratedpeople.com/profile/m-and-t-garden-cleaners,ratedpeople,1,
Benwel Builders,,Deep Cleaning Commercial,Newcastle upon Tyne,,4,22,,https://www.ratedpeople.com/profile/benwel-builders,ratedpeople,1,
Home Repair UK,,Deep Cleaning Commercial,Motherwell,,5,17,,https://www.ratedpeople.com/profile/home-repair-uk,ratedpeople,1,
SCAN A DRAIN,,Deep Cleaning Commercial,Mexborough,,5,14,,https://www.ratedpeople.com/profile/scan-a-drain-mexborough,ratedpeople,1,
Intielectric Ltd,,Deep Cleaning Commercial,,,9,11,,https://www.ratedpeople.com/profile/intielectric-,ratedpeople,1,
Married to the mop,,Deep Cleaning Commercial,Wigan,,5,8,,https://www.ratedpeople.com/profile/married-to-the-mop,ratedpeople,1,
AW Roofing & Property Services,,Deep Cleaning Commercial,Ushaw Moor,,4.5,6,,https://www.ratedpeople.com/profile/jamie-west,ratedpeople,1,
M. Miller Surface Maintenance,,Deep Cleaning Commercial,Lauder,,5,2,,https://www.ratedpeople.com/profile/m-miller-surface-maintenance,ratedpeople,1,
J Upward Home & Garden Services,,Deep Cleaning Commercial,Northallerton,,5,2,,https://www.ratedpeople.com/profile/upward-home-maintenance,ratedpeople,1,
Aspire Professional Cleaning,,Deep Cleaning Commercial,Warrington,,5,2,07538390909,https://www.ratedpeople.com/profile/aspire-professional-cleaning,ratedpeople,1,
TW Driveway paving,,Deep Cleaning Commercial,County Durham,,4.5,2,,https://www.ratedpeople.com/profile/tw-driveway-paving,ratedpeople,1,
Duncan Keir,,Deep Cleaning Commercial,Alford,,3,2,,https://www.ratedpeople.com/profile/duncan-keir,ratedpeople,1,
