company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
SUNNY CLEAN,,Deep Cleaning Domestic,Romford,,4.5,222,,https://www.ratedpeople.com/profile/sunnyclean,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Deep Cleaning Domestic,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Deep Cleaning Domestic,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
arkadiusz debski,,Deep Cleaning Domestic,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
The Ruby Team,,Deep Cleaning Domestic,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Jay's Property Maintainance,,Deep Cleaning Domestic,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Hollywood joinery an maintenance,,Deep Cleaning Domestic,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Deep Cleaning Domestic,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Deep Cleaning Domestic,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
G Greaves Carpentry & Building Services,,Deep Cleaning Domestic,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Plum Building Services LTD,,Deep Cleaning Domestic,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
Marcio & Jhonys,,Deep Cleaning Domestic,Watford,,4.5,97,,https://www.ratedpeople.com/profile/marcio-and-joao,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Deep Cleaning Domestic,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
R & J Quality and Decorating Ltd,,Deep Cleaning Domestic,Barking,,5,93,,https://www.ratedpeople.com/profile/r-and-j-quality-and-decorating,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,Deep Cleaning Domestic,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
Greenstone krzysztof Wlodarczyk,,Deep Cleaning Domestic,London,,5,86,,https://www.ratedpeople.com/profile/greenstone-1,ratedpeople,1,
All Jobs Essex,,Deep Cleaning Domestic,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
London BS LTD,,Deep Cleaning Domestic,Borehamwood,,5,75,,https://www.ratedpeople.com/profile/handyman-service-borehamwood,ratedpeople,1,
Weathertite Constructions,,Deep Cleaning Domestic,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
CGM Services,,Deep Cleaning Domestic,London,,5,74,,https://www.ratedpeople.com/profile/charlie-morris-services,ratedpeople,1,
FlowTeck Roofing,,Deep Cleaning Domestic,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
