company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
CS Entertainment,,DJ,,,,,,https://www.bark.com/en/gb/company/cs-entertainment/1Yy9z/,bark,1,
DJ JP,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-jp/ly8nv/,bark,1,
DJ AJ,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-aj/bQdD1/,bark,1,
Illusions Roadshow,,DJ,,,,,,https://www.bark.com/en/gb/company/illusions-roadshow/1A3bR/,bark,1,
DJ NYLon,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-nylon/MLXYP/,bark,1,
Requedainious Entertainment,,DJ,,,,,,https://www.bark.com/en/gb/company/requedainious-entertainment/yOoZw/,bark,1,
Misha,,DJ,,,,,,https://www.bark.com/en/gb/company/misha/4ppyp/,bark,1,
DJ Bukky: Weddings - Birthdays - Brands,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-bukky-weddings---birthdays---brands/4ZDLk/,bark,1,
10x Entertainment,,DJ,,,,,,https://www.bark.com/en/gb/company/10x-entertainment/dwk7Y/,bark,1,
DJ Ryno,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-ryno/bJJZ/,bark,1,
SAKMUSIC LTD,,DJ,,,,,,https://www.bark.com/en/gb/company/sakmusic-ltd/030AL/,bark,1,
Harley Entertainment,,DJ,,,,,,https://www.bark.com/en/gb/company/harley-entertainment/3OM37/,bark,1,
Dj Antonn Black Event Management,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-antonn-black-event-management/gwwdl/,bark,1,
DJ ADAYZ,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-adayz/8qjLe/,bark,1,
DIAMOND DISCOS,,DJ,,,,,,https://www.bark.com/en/gb/company/diamond-discos/bvd8v/,bark,1,
Perfect Party DJs,,DJ,,,,,,https://www.bark.com/en/gb/company/perfect-party-djs/0nNa/,bark,1,
Enovo Sound,,DJ,,,,,,https://www.bark.com/en/gb/company/enovo-sound/abLwo/,bark,1,
Deejay T All Skools,,DJ,,,,,,https://www.bark.com/en/gb/company/deejay-t-all-skools/R7B1E/,bark,1,
InEventsLondon,,DJ,,,,,,https://www.bark.com/en/gb/company/ineventslondon/YzZjj/,bark,1,
Emperor Events,,DJ,,,,,,https://www.bark.com/en/gb/company/emperor-events/Z0nqQ/,bark,1,
DJ Solar B,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-solar-b/YnAeL/,bark,1,
DJ.LS,,DJ,,,,,,https://www.bark.com/en/gb/company/djls/8q6DZ/,bark,1,
DJ LUND,,DJ,,,5,,,https://www.bark.com/en/gb/company/dj-lund/EeY4R/,bark,1,
ENZi,,DJ,,,,,,https://www.bark.com/en/gb/company/enzi/zw1bd/,bark,1,
RBX DJ SERVICES,,DJ,,,,,,https://www.bark.com/en/gb/company/rbx-dj-services/P7MYb/,bark,1,
DJ Entertainment UK,,DJ,,,,,,https://www.bark.com/en/gb/company/dj-entertainment-uk/kNLwq/,bark,1,
K & J Entertainment,,DJ,,,5,,,https://www.bark.com/en/gb/company/k--j-entertainment-/GRDEG/,bark,1,
