company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
wood doctor,,Door Opening,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
Rushymead General Maintenance,,Door Opening,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
EPRLocksmith,,Door Opening,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Door Opening,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Door Opening,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Allan Charles,,Door Opening,Ascot,,5,190,07947805529,https://www.ratedpeople.com/profile/arcconsultinguk,ratedpeople,1,
Aaron Construction,,Door Opening,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
JE LOCKSMITH,,Door Opening,Horsham,,5,154,07850043801,https://www.ratedpeople.com/profile/je-locksmith,ratedpeople,1,
arkadiusz debski,,Door Opening,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
Your Property Developers,,Door Opening,Stanmore,,4.5,136,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Door Opening,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Door Opening,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
LOCKSMITH EMERGENCIES LTD,,Door Opening,Harrow,,5,118,07950287429,https://www.ratedpeople.com/profile/lock-smith-emergencies,ratedpeople,1,
Antis Laipaks,,Door Opening,London,,5,117,,https://www.ratedpeople.com/profile/antis-laipaks,ratedpeople,1,
Hollywood joinery an maintenance,,Door Opening,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Door Opening,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Door Opening,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Oliver Deyoung,,Door Opening,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
Miyard Ltd,,Door Opening,Bromley,,5,105,,https://www.ratedpeople.com/profile/miyard,ratedpeople,1,
MH Electrical & Property Services,,Door Opening,Clacton-on-sea,,5,95,,https://www.ratedpeople.com/profile/mh-electrical-property-services,ratedpeople,1,
Locksmith 247 LTD,,Door Opening,Hilda Vale,,4.5,83,,https://www.ratedpeople.com/profile/jjp-locks,ratedpeople,1,
lockstar locksmith ltd,,Door Opening,Birmingham,,4.5,65,,https://www.ratedpeople.com/profile/lockstar-locksmith,ratedpeople,1,
SERGIU NASALEAN,,Door Opening,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
MK 24/7 SERVICES LTD,,Door Opening,Bristol,,5,62,,https://www.ratedpeople.com/profile/timurs-mjagkijs,ratedpeople,1,
Cymraeg Construction,,Door Opening,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
Radek Kruk,,Door Opening,Shepton Mallet,,5,44,,https://www.ratedpeople.com/profile/radek-kruk,ratedpeople,1,
Krzysztof Kruk,,Door Opening,Frome,,5,42,07739096681,https://www.ratedpeople.com/profile/krzysztof-kruk-frome,ratedpeople,1,
Weagan LTD,,Door Opening,Pontypool,,5,35,,https://www.ratedpeople.com/profile/weagan,ratedpeople,1,
Cutting Edge Carpentry,,Door Opening,Ilminster,,5,34,,https://www.ratedpeople.com/profile/cuttingedgecarpentry,ratedpeople,1,
