company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Chameleon Refurbs,,End Of Tenancy Cleaning,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
SUNNY CLEAN,,End Of Tenancy Cleaning,Romford,,4.5,222,,https://www.ratedpeople.com/profile/sunnyclean,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,End Of Tenancy Cleaning,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,End Of Tenancy Cleaning,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
arkadiusz debski,,End Of Tenancy Cleaning,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
The Ruby Team,,End Of Tenancy Cleaning,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Hollywood joinery an maintenance,,End Of Tenancy Cleaning,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,End Of Tenancy Cleaning,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,End Of Tenancy Cleaning,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
G Greaves Carpentry & Building Services,,End Of Tenancy Cleaning,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Plum Building Services LTD,,End Of Tenancy Cleaning,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
Marcio & Jhonys,,End Of Tenancy Cleaning,Watford,,4.5,97,,https://www.ratedpeople.com/profile/marcio-and-joao,ratedpeople,1,
AKONI CONSTRUCTION LTD,,End Of Tenancy Cleaning,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
R & J Quality and Decorating Ltd,,End Of Tenancy Cleaning,Barking,,5,93,,https://www.ratedpeople.com/profile/r-and-j-quality-and-decorating,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,End Of Tenancy Cleaning,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
Greenstone krzysztof Wlodarczyk,,End Of Tenancy Cleaning,London,,5,86,,https://www.ratedpeople.com/profile/greenstone-1,ratedpeople,1,
Property Renovation&Decorating Services,,End Of Tenancy Cleaning,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
All Jobs Essex,,End Of Tenancy Cleaning,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
London BS LTD,,End Of Tenancy Cleaning,Borehamwood,,5,75,,https://www.ratedpeople.com/profile/handyman-service-borehamwood,ratedpeople,1,
Weathertite Constructions,,End Of Tenancy Cleaning,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,End Of Tenancy Cleaning,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
Underwood home improvements an maintenance,,End Of Tenancy Cleaning,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,End Of Tenancy Cleaning,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
B Shakespeare,,End Of Tenancy Cleaning,Bristol,,4.5,68,,https://www.ratedpeople.com/profile/b-shakespeare,ratedpeople,1,
Gudfort fencing,,End Of Tenancy Cleaning,Hengoed,,5,61,07912312992,https://www.ratedpeople.com/profile/gudfort-fencing,ratedpeople,1,
Davies’s Plastering,,End Of Tenancy Cleaning,Newport,,4.5,43,,https://www.ratedpeople.com/profile/daviesplastering,ratedpeople,1,
Krzysztof Kruk,,End Of Tenancy Cleaning,Frome,,5,42,07739096681,https://www.ratedpeople.com/profile/krzysztof-kruk-frome,ratedpeople,1,
Right Fix Home developments,,End Of Tenancy Cleaning,Newport,,5,41,07871137930,https://www.ratedpeople.com/profile/d-and-g-carpentry,ratedpeople,1,
365 Quality Services Limited,,End Of Tenancy Cleaning,Cheltenham,,5,32,,https://www.ratedpeople.com/profile/365-quality-services-limited,ratedpeople,1,
Spick and Span Domestic Cleaning Services,,End Of Tenancy Cleaning,Swindon,,5,29,,https://www.ratedpeople.com/profile/spick-and-span-domestic-cleaning-services,ratedpeople,1,
Ramona's Cleaning,,End Of Tenancy Cleaning,London,,5,29,,https://www.ratedpeople.com/profile/r-and-j-tree-surgeons,ratedpeople,1,
Wojciech Nawrocki,,End Of Tenancy Cleaning,Bristol,,4.5,22,,https://www.ratedpeople.com/profile/wojciech-nawrocki,ratedpeople,1,
