company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Powerpillar Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/powerpillar-ltd-extension-specialists-e9-and-e10,trustatrader,1,
Den Builders Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/den-builders-ltd-extension-specialists-da16-and-se9 | https://www.bark.com/en/gb/company/ibex-builders/n77ga/,"trustatrader, bark",2,
Pure Contractors Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/pure-contractors-ltd-extension-specialists-sw11-,trustatrader,1,
Prime UK Contractors Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/prime-uk-contractors-ltd-extension-specialists-n10-n11-and-n12,trustatrader,1,
Bathkitchen Renovation Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/bathkitchen-renovation-ltd-extension-specialists-n3-nw4-and-nw11,trustatrader,1,
AL-KO Construction Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/al-ko-construction-ltd-extension-specialists-se1-and-se11 | https://www.bark.com/en/gb/company/leog-construction-limited/PERVy/,"trustatrader, bark",2,
GNS Design and Build,,Extension Specialist,,,5,,,https://www.bark.com/en/gb/company/gns-design-and-build/jya8N/ | https://www.trustatrader.com/traders/linx-design-and-build-extension-specialists-south-kensington-and-chelsea | https://www.bark.com/en/gb/company/it-design-build-ltd/aevqp/,"bark, trustatrader",2,
21st Century Design & Build Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/21st-century-design-build-ltd-extension-specialists-se4-se14-and-se16,trustatrader,1,
Nova Design & Build London Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/nova-design-build-london-ltd-extension-specialists-finsbury-bloomsbury-and-city-of-london,trustatrader,1,
East Land & Construction Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/east-land-construction-ltd-extension-specialists-e11-and-e18,trustatrader,1,
"Leadway Developments & Construction Ltd, Sidcup",,Extension Specialist,,,,,,https://www.trustatrader.com/traders/leadway-developments-construction-ltd-builders-sidcup-and-foots-cray,trustatrader,1,
Kbl construction,,Extension Specialist,,,5,,,https://www.bark.com/en/gb/company/kbl-construction/mBGyL/ | https://www.trustatrader.com/traders/kaca-construction-ltd-extension-specialists-ha0-and-w5 | https://www.bark.com/en/gb/company/lvca-construction-ltd/lAOLY/,"bark, trustatrader",2,
Chelebi Builders,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/chelebi-builders-building-contractors---commercial-barnet--,trustatrader,1,
RAS Construction & Design Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/ras-construction-design-ltd-extension-specialists-three-rivers,trustatrader,1,
Bright Builders Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/bright-builders-ltd-extension-specialists-islington,trustatrader,1,
I&G Construction Ltd,,Extension Specialist,,,5,,,https://www.bark.com/en/gb/company/ig-construction-ltd/ozX2D/ | https://www.trustatrader.com/traders/ucs-construction-extension-specialists-haringey- | https://www.bark.com/en/gb/company/hwb-construction-ltd/8XdeR/ | https://www.bark.com/en/gb/company/oeg-construction/787Vb/,"bark, trustatrader",2,
Cromarty Construction Limited,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/cromarty-construction-limited-extension-specialists-br3-se20-and-se26,trustatrader,1,
Brygola Constructions Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/brygola-constructions-ltd-extension-specialists-waltham-forest,trustatrader,1,
AK Builders,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/ak-builders-extension-specialists-n3-nw4-and-nw11,trustatrader,1,
AAplus Building Group Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/aaplus-building-group-ltd-extension-specialists-cr0,trustatrader,1,
The Bleu Group,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/the-bleu-group-extension-specialists-merton,trustatrader,1,
Titan Construction,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/titan-construction-extension-specialists-cr2-cr6-cr8,trustatrader,1,
Westbury Builders,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/westbury-builders-extension-specialists-bexley,trustatrader,1,
Nouvell Decor,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/nouvell-decor-extension-specialists-brentwood-epping-forest,trustatrader,1,
Lukpol Building Services Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/lukpol-building-services-ltd-extension-specialists-borehamwood-and-abbots-langley,trustatrader,1,
Leadway Developments & Construction Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/leadway-developments-construction-ltd-extension-specialists-sidcup-and-foots-cray,trustatrader,1,
BLS Builders,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/bls-builders-extension-specialists-ha5-ha6-and-ub9 | https://www.bark.com/en/gb/company/bush-builders/ZL0yQ/,"trustatrader, bark",2,
AEA1 Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/aea1-ltd-extension-specialists-borehamwood-and-abbots-langley | https://www.bark.com/en/gb/company/resi/R4DAO/ | https://www.bark.com/en/gb/company/lee/KPaOG/,"trustatrader, bark",2,
STL Lofts & Extensions Ltd,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/stl-lofts-extensions-ltd-extension-specialists-ashford,trustatrader,1,
ADS Builders,,Extension Specialist,,,,,,https://www.trustatrader.com/traders/ads-builders-extension-specialists-st-albans,trustatrader,1,
