company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,External Rendering,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Ziyad Construction,,External Rendering,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,External Rendering,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,External Rendering,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,External Rendering,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,External Rendering,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Spraytex Exteriors,,External Rendering,Leeds,,5,199,01134840084,https://www.ratedpeople.com/profile/spraytex,ratedpeople,1,
Aaron Construction,,External Rendering,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Mark Keeley Plastering and Rendering services,,External Rendering,West Malling,,5,171,,https://www.ratedpeople.com/profile/mark-keeley-plastering-and-rendering-services,ratedpeople,1,
Princes Paving and building,,External Rendering,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
Your Property Developers,,External Rendering,Stanmore,,4.5,136,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,External Rendering,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Abigail Construction,,External Rendering,London,,4.5,134,,https://www.ratedpeople.com/profile/abigail-construction,ratedpeople,1,
SF Plastering,,External Rendering,Brentwood,,4.5,131,,https://www.ratedpeople.com/profile/sf-plastering-essex,ratedpeople,1,
Universeal home improvements,,External Rendering,Slough,,5,129,,https://www.ratedpeople.com/profile/universeal-home-improvements,ratedpeople,1,
Jay's Property Maintainance,,External Rendering,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Cristian Improvements,,External Rendering,Watford,,5,121,07721734005,https://www.ratedpeople.com/profile/cris-handyman,ratedpeople,1,
BZ Gardens,,External Rendering,Ash,,5,119,,https://www.ratedpeople.com/profile/bz-gardens,ratedpeople,1,
Clplastering,,External Rendering,Aldershot,,5,119,,https://www.ratedpeople.com/profile/clplastering,ratedpeople,1,
O B Build Group,,External Rendering,30 Torrington park,,5,118,07450050085,https://www.ratedpeople.com/profile/obbuild,ratedpeople,1,
LB plastering,,External Rendering,Aberdare,,5,322,,https://www.ratedpeople.com/profile/lb-plastering-1,ratedpeople,1,
Viktor,,External Rendering,bristol,,5,106,,https://www.ratedpeople.com/profile/viktor,ratedpeople,1,
RSM Building Services,,External Rendering,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Southwest Plastering & Building Services,,External Rendering,Exeter,,5,91,07426524789,https://www.ratedpeople.com/profile/capital-plastering,ratedpeople,1,
Underwood home improvements an maintenance,,External Rendering,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,External Rendering,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,External Rendering,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Apex Plastering & Building Services,,External Rendering,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
blink installation,,External Rendering,City,,5,71,,https://www.ratedpeople.com/profile/blink-installation,ratedpeople,1,
Wayne Parker,,External Rendering,Midsomer Norton,,5,69,,https://www.ratedpeople.com/profile/wayne-parker,ratedpeople,1,
The Wall Doctor,,External Rendering,Otley,,5,159,07702169000,https://www.ratedpeople.com/profile/wall-doctor-uk,ratedpeople,1,
Newman Plastering,,External Rendering,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
P H Plasterers,,External Rendering,Cardiff,,5,67,07811966217,https://www.ratedpeople.com/profile/p-h-plasterers,ratedpeople,1,
