company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Folarinmaintains,,Fire Alarm Installation,United Kingdom,,5,870,07877099631,https://www.ratedpeople.com/profile/folarinmaintains,ratedpeople,1,
Cn Construction&Gardening Ltd,,Fire Alarm Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Electro Flame LTD,,Fire Alarm Installation,Croydon,,5,323,07864393584,https://www.ratedpeople.com/profile/electro-flame,ratedpeople,1,
ElectricFix Science Ltd,,Fire Alarm Installation,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Fire Alarm Installation,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
AM Electrical,,Fire Alarm Installation,London,,5,255,07714188241,https://www.ratedpeople.com/profile/am-electrical-brent,ratedpeople,1,
Core Electrical South LTD,,Fire Alarm Installation,Crawley,,5,218,,https://www.ratedpeople.com/profile/core-electrical-south,ratedpeople,1,
RJ Mullan,,Fire Alarm Installation,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Fire Alarm Installation,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Fire Alarm Installation,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Jack Henry,,Fire Alarm Installation,Glasgow,,4.5,192,,https://www.ratedpeople.com/profile/jack-henry,ratedpeople,1,
Aaron Construction,,Fire Alarm Installation,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
CES Electrical,,Fire Alarm Installation,Fareham,,5,165,07551419190,https://www.ratedpeople.com/profile/christian-walker,ratedpeople,1,
Daniel Panfil,,Fire Alarm Installation,Chadwell St. Mary,,5,158,07471946799,https://www.ratedpeople.com/profile/daniel-panfil,ratedpeople,1,
The Ruby Team,,Fire Alarm Installation,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
ELLIS ELECTRICAL,,Fire Alarm Installation,Ilford,,5,135,,https://www.ratedpeople.com/profile/ellis-electrical,ratedpeople,1,
CERTIFIED GROUP LTD,,Fire Alarm Installation,London,,5,132,,https://www.ratedpeople.com/profile/certified-gas-heating,ratedpeople,1,
Key Electrics,,Fire Alarm Installation,London,,5,116,,https://www.ratedpeople.com/profile/key-electrics-london,ratedpeople,1,
Hambridge Electricals LTD,,Fire Alarm Installation,,,10,116,07590324894,https://www.ratedpeople.com/profile/shelectrical-services,ratedpeople,1,
Badur Electrical & CCTV,,Fire Alarm Installation,,,10,110,07465976236,https://www.ratedpeople.com/profile/badur-electrical-and-cctv,ratedpeople,1,
Fuse Electrical Services,,Fire Alarm Installation,Brecon,,5,159,07966371707,https://www.ratedpeople.com/profile/fuse-electrical-services-brecon,ratedpeople,1,
Neil Corcoran Electrical Contractor,,Fire Alarm Installation,Ferndale,,5,90,,https://www.ratedpeople.com/profile/neil-corcoran-electrical-contractor,ratedpeople,1,
Roof & Electrical Technicians,,Fire Alarm Installation,Bridgend,,4.5,84,,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople,1,
Tsakonas Electrical Services,,Fire Alarm Installation,Potters Bar,,5,80,,https://www.ratedpeople.com/profile/tsakonas-electrical-services,ratedpeople,1,
R&M Electrical LTD,,Fire Alarm Installation,Cardiff,,5,56,,https://www.ratedpeople.com/profile/relectrical,ratedpeople,1,
Excelsior Engineering,,Fire Alarm Installation,Tydfil,,5,43,,https://www.ratedpeople.com/profile/excelsior-engineering,ratedpeople,1,
Krzysztof Kruk,,Fire Alarm Installation,Frome,,5,42,07739096681,https://www.ratedpeople.com/profile/krzysztof-kruk-frome,ratedpeople,1,
Electrical & More,,Fire Alarm Installation,Swansea,,4,67,07301309271,https://www.ratedpeople.com/profile/electrical-and-more,ratedpeople,1,
NES Electrical Solutions,,Fire Alarm Installation,Newport,,5,38,07880354115,https://www.ratedpeople.com/profile/nes-electrical-solutions,ratedpeople,1,
Sparks 4 U LTD,,Fire Alarm Installation,Chelmsford,,5,38,,https://www.ratedpeople.com/profile/sparks-4-u,ratedpeople,1,
AVISEC LTD,,Fire Alarm Installation,Aylesbury,,5,35,07772587906,https://www.ratedpeople.com/profile/avisec-,ratedpeople,1,
Jordan Burns,,Fire Alarm Installation,Cardiff,,5,32,,https://www.ratedpeople.com/profile/jordan-burns,ratedpeople,1,
Quayside Electrical Services,,Fire Alarm Installation,Southampton,,5,33,07359763478,https://www.ratedpeople.com/profile/liam-williams-southampton,ratedpeople,1,
Tilda Design,,Fire Alarm Installation,,,10,22,,https://www.ratedpeople.com/profile/tilda-design,ratedpeople,1,
Uplands Building Services LTD,,Fire Alarm Installation,Bristol,,4.5,20,,https://www.ratedpeople.com/profile/paul-searle,ratedpeople,1,
Rdw Electrical,,Fire Alarm Installation,Pontypridd,,5,18,,https://www.ratedpeople.com/profile/rdw-electrical,ratedpeople,1,
Electroserv Ltd,,Fire Alarm Installation,Bristol,,4.5,18,,https://www.ratedpeople.com/profile/electroserv,ratedpeople,1,
Blueprint construction and maintenance,,Fire Alarm Installation,Aslmondsbury,,5,17,,https://www.ratedpeople.com/profile/blueprint-construction-and-maintenance,ratedpeople,1,
SIMCO SECURITY LIMITED,,Fire Alarm Installation,Bristol,,5,13,07891216346,https://www.ratedpeople.com/profile/simco-security-limited,ratedpeople,1,
TJ Electrical & Property Services,,Fire Alarm Installation,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
ACM Renewable Solutions,,Fire Alarm Installation,Houghton Le Spring,,5,158,,https://www.ratedpeople.com/profile/tm-electrics,ratedpeople,1,
T7 ELECTRICAL & BUILDING LTD,,Fire Alarm Installation,Gateshead,,5,64,07492414410,https://www.ratedpeople.com/profile/t7-electrical-building,ratedpeople,1,
Buster Construction and Renovations,,Fire Alarm Installation,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
North Ace Electrics,,Fire Alarm Installation,,,10,53,07590107118,https://www.ratedpeople.com/profile/sa-electrical-newcastle-upon-tyne,ratedpeople,1,
mc property maintenance,,Fire Alarm Installation,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
Shocked Elec,,Fire Alarm Installation,County Durham,,4.5,42,,https://www.ratedpeople.com/profile/shocked-elec,ratedpeople,1,
ED.SERVICES,,Fire Alarm Installation,County Durham,,5,27,,https://www.ratedpeople.com/profile/eduart-services,ratedpeople,1,
Benwel Builders,,Fire Alarm Installation,Newcastle upon Tyne,,4,22,,https://www.ratedpeople.com/profile/benwel-builders,ratedpeople,1,
"Earth, Wind and Wire Electricals",,Fire Alarm Installation,NEWCASTLE UPON TYNE,,5,19,,https://www.ratedpeople.com/profile/earth-wind-and-wire-electricals,ratedpeople,1,
N D ELECTRICAL SERVICES,,Fire Alarm Installation,Hartlepool,,5,19,,https://www.ratedpeople.com/profile/n-d-electrical-services,ratedpeople,1,
Chorley fire and security,,Fire Alarm Installation,Chorley,,5,19,,https://www.ratedpeople.com/profile/chorley-fire-and-security,ratedpeople,1,
PSJ ELECTRICAL ENGINEERS LTD,,Fire Alarm Installation,Consett,,5,13,,https://www.ratedpeople.com/profile/psj-electrical-engineers,ratedpeople,1,
PWR Property Services,,Fire Alarm Installation,Sunderland,,5,15,07955882612,https://www.ratedpeople.com/profile/pwr-property-services,ratedpeople,1,
M & J Electrical Ltd,,Fire Alarm Installation,Wingate,,5,12,07787408161,https://www.ratedpeople.com/profile/cls-electrical,ratedpeople,1,
Ashe Electrical,,Fire Alarm Installation,Middlesbrough,,5,12,,https://www.ratedpeople.com/profile/ashe-electrical,ratedpeople,1,
