company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Fireplace,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Lockhart Roofing and Brickwork Services,,Fireplace,Bracknell,,5,571,,https://www.ratedpeople.com/profile/lockhart-roofing,ratedpeople,1,
wood doctor,,Fireplace,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Fireplace,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Fireplace,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Fireplace,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Fireplace,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Fireplace,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Fireplace,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
The Ruby Team,,Fireplace,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Aureliu-TopArtCraft.,,Fireplace,London,,5,128,07779783333,https://www.ratedpeople.com/profile/aureliu-peche,ratedpeople,1,
Hollywood joinery an maintenance,,Fireplace,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
Oliver Deyoung,,Fireplace,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
Salisbury Builders,,Fireplace,Hatfield,,5,97,,https://www.ratedpeople.com/profile/salisbury-builders,ratedpeople,1,
C&V Construction,,Fireplace,Ilford,,5,96,07407058625,https://www.ratedpeople.com/profile/c-and-v-construction,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Fireplace,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
