company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
GEF Services,,Flat Pack Assembly,,,5,18,,https://www.myjobquote.co.uk/t/gef-services | https://www.myjobquote.co.uk/t/gef-services,myjobquote,1,
Gergely Gyurka,,Flat Pack Assembly,,,5,12,,https://www.myjobquote.co.uk/t/gergely-gyurka | https://www.myjobquote.co.uk/t/gergely-gyurka,myjobquote,1,
David,,Flat Pack Assembly,,,5,8,,https://www.myjobquote.co.uk/t/david-303 | https://www.myjobquote.co.uk/t/david-303,myjobquote,1,
NEUBUILDs,,Flat Pack Assembly,,,5,5,,https://www.myjobquote.co.uk/t/neubuilds | https://www.myjobquote.co.uk/t/neubuilds,myjobquote,1,
Jorge,,Flat Pack Assembly,,,5,3,,https://www.myjobquote.co.uk/t/jorge-15 | https://www.myjobquote.co.uk/t/jorge-15,myjobquote,1,
Fayz Service,,Flat Pack Assembly,,,5,2,,https://www.myjobquote.co.uk/t/fayz-service-1 | https://www.myjobquote.co.uk/t/fayz-service-1,myjobquote,1,
Salbas ltd,,Flat Pack Assembly,,,5,24,,https://www.myjobquote.co.uk/t/salbas-ltd | https://www.myjobquote.co.uk/t/salbas-ltd,myjobquote,1,
Anadimukt construction,,Flat Pack Assembly,,,5,6,,https://www.myjobquote.co.uk/t/anadimukt-construction | https://www.myjobquote.co.uk/t/anadimukt-construction,myjobquote,1,
Steve & Dean,,Flat Pack Assembly,,,5,3,,https://www.myjobquote.co.uk/t/steve-dean | https://www.myjobquote.co.uk/t/steve-dean,myjobquote,1,
Mavazi builds consultation,,Flat Pack Assembly,,,5,3,,https://www.myjobquote.co.uk/t/mavazi-builds-consultation | https://www.myjobquote.co.uk/t/mavazi-builds-consultation,myjobquote,1,
Rays Reno,,Flat Pack Assembly,,,5,2,,https://www.myjobquote.co.uk/t/rays-reno | https://www.myjobquote.co.uk/t/rays-reno,myjobquote,1,
Janos Hodoroga,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/janos-hodoroga | https://www.myjobquote.co.uk/t/janos-hodoroga,myjobquote,1,
Leadbeater Solutions Ltd,,Flat Pack Assembly,,,5,8,,https://www.myjobquote.co.uk/t/leadbeater-solutions-ltd | https://www.myjobquote.co.uk/t/leadbeater-solutions-ltd,myjobquote,1,
Perfect,,Flat Pack Assembly,,,5,1,07441441596,https://www.myjobquote.co.uk/t/perfect-1 | https://www.myjobquote.co.uk/t/perfect-1,myjobquote,1,
PHMMOT,,Flat Pack Assembly,,,5,21,,https://www.myjobquote.co.uk/t/phmmot | https://www.myjobquote.co.uk/t/phmmot,myjobquote,1,
Matthew John,,Flat Pack Assembly,,,5,14,,https://www.myjobquote.co.uk/t/matthew-john | https://www.myjobquote.co.uk/t/matthew-john,myjobquote,1,
Eraldo,,Flat Pack Assembly,,,5,7,,https://www.myjobquote.co.uk/t/eraldo-2 | https://www.myjobquote.co.uk/t/eraldo-2,myjobquote,1,
Reza.k,,Flat Pack Assembly,,,5,4,,https://www.myjobquote.co.uk/t/rezak | https://www.myjobquote.co.uk/t/rezak,myjobquote,1,
Evaldas Radavicius,,Flat Pack Assembly,,,5,10,,https://www.myjobquote.co.uk/t/evaldas-radavicius | https://www.myjobquote.co.uk/t/evaldas-radavicius,myjobquote,1,
GHK Trade Ltd,,Flat Pack Assembly,,,5,5,,https://www.myjobquote.co.uk/t/ghk-trade-ltd | https://www.myjobquote.co.uk/t/ghk-trade-ltd,myjobquote,1,
Amar Hazzard,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/amar-hazzard,myjobquote,1,
No Terms and Conditions,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/no-terms-and-conditions,myjobquote,1,
coope,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/coope | https://www.myjobquote.co.uk/t/coope,myjobquote,1,
Robert,,Flat Pack Assembly,,,5,26,,https://www.myjobquote.co.uk/t/robert-152 | https://www.myjobquote.co.uk/t/robert-152,myjobquote,1,
KS Furniture Assembly,,Flat Pack Assembly,,,5,23,07451260046,https://www.myjobquote.co.uk/t/ks-furniture-assembly | https://www.myjobquote.co.uk/t/ks-furniture-assembly,myjobquote,1,
Higgins&Coltd,,Flat Pack Assembly,,,5,19,,https://www.myjobquote.co.uk/t/higginscoltd | https://www.myjobquote.co.uk/t/higginscoltd,myjobquote,1,
Manuka construction,,Flat Pack Assembly,,,5,15,07451260273,https://www.myjobquote.co.uk/t/manuka-construction | https://www.myjobquote.co.uk/t/manuka-construction,myjobquote,1,
Amaizing Skills LTD,,Flat Pack Assembly,,,5,7,,https://www.myjobquote.co.uk/t/amaizing-skills-ltd | https://www.myjobquote.co.uk/t/amaizing-skills-ltd,myjobquote,1,
Fast Building 2020,,Flat Pack Assembly,,,5,5,,https://www.myjobquote.co.uk/t/fast-building-2020 | https://www.myjobquote.co.uk/t/fast-building-2020,myjobquote,1,
BETTABUILDERS,,Flat Pack Assembly,,,5,3,,https://www.myjobquote.co.uk/t/bettabuilders | https://www.myjobquote.co.uk/t/bettabuilders,myjobquote,1,
BHS Contractors,,Flat Pack Assembly,,,5,3,,https://www.myjobquote.co.uk/t/bhs-contractors | https://www.myjobquote.co.uk/t/bhs-contractors,myjobquote,1,
GFARRELLLTD,,Flat Pack Assembly,,,5,2,,https://www.myjobquote.co.uk/t/gfarrellltd | https://www.myjobquote.co.uk/t/gfarrellltd,myjobquote,1,
Sam’s Flooring,,Flat Pack Assembly,,,5,2,,https://www.myjobquote.co.uk/t/sams-flooring | https://www.myjobquote.co.uk/t/sams-flooring,myjobquote,1,
Jdrive,,Flat Pack Assembly,,,5,2,,https://www.myjobquote.co.uk/t/jdrive | https://www.myjobquote.co.uk/t/jdrive,myjobquote,1,
Romega handyman service,,Flat Pack Assembly,,,5,1,07441473569,https://www.myjobquote.co.uk/t/romega-handyman-service | https://www.myjobquote.co.uk/t/romega-handyman-service,myjobquote,1,
MrHandyman,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/mrhandyman-1 | https://www.myjobquote.co.uk/t/mrhandyman-1,myjobquote,1,
Handyman,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/handyman-662 | https://www.myjobquote.co.uk/t/handyman-662,myjobquote,1,
FITTINITOUT,,Flat Pack Assembly,,,5,1,,https://www.myjobquote.co.uk/t/fittinitout | https://www.myjobquote.co.uk/t/fittinitout,myjobquote,1,
Teser,,Flat Pack Assembly,,,5,18,,https://www.myjobquote.co.uk/t/teser | https://www.myjobquote.co.uk/t/teser,myjobquote,1,
Elite building facilities LTD,,Flat Pack Assembly,,,5,7,,https://www.myjobquote.co.uk/t/elite-building-facilities-ltd | https://www.myjobquote.co.uk/t/elite-building-facilities-ltd,myjobquote,1,
Reenew Handyman,,Flat Pack Assembly,,,4.3,6,,https://www.myjobquote.co.uk/t/reenew-handyman | https://www.myjobquote.co.uk/t/reenew-handyman,myjobquote,1,
