company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Flat Pack Furniture Assembly,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
J B CARPENTRY,,Flat Pack Furniture Assembly,Chislehurst,,5,495,07904988509,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople,1,
wood doctor,,Flat Pack Furniture Assembly,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
WH Services,,Flat Pack Furniture Assembly,Horsham,,5,351,,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople,1,
Electro Flame LTD,,Flat Pack Furniture Assembly,Croydon,,5,323,07864393584,https://www.ratedpeople.com/profile/electro-flame,ratedpeople,1,
Rushymead General Maintenance,,Flat Pack Furniture Assembly,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
ES Electrical & Building Services,,Flat Pack Furniture Assembly,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
CFC Ltd.,,Flat Pack Furniture Assembly,Bushey,,5,250,,https://www.ratedpeople.com/profile/cfc,ratedpeople,1,
Modern Bathrooms LT,,Flat Pack Furniture Assembly,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
RJ Mullan,,Flat Pack Furniture Assembly,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Flat Pack Furniture Assembly,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Flat Pack Furniture Assembly,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Flat Pack Furniture Assembly,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
HomeSafe Electrical,,Flat Pack Furniture Assembly,Birmingham,,5,188,07838273398,https://www.ratedpeople.com/profile/homesafe-electrical,ratedpeople,1,
Aaron Construction,,Flat Pack Furniture Assembly,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
SMALL STONE MAINTENANCE SERVICES,,Flat Pack Furniture Assembly,London,,5,168,07956840625,https://www.ratedpeople.com/profile/abdul-mumit,ratedpeople,1,
Princes Paving and building,,Flat Pack Furniture Assembly,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
W & M Home Renovations,,Flat Pack Furniture Assembly,Stafford,,5,156,,https://www.ratedpeople.com/profile/wm-homerenovation,ratedpeople,1,
arkadiusz debski,,Flat Pack Furniture Assembly,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
CMS Carpentry,,Flat Pack Furniture Assembly,Olney,,5,149,,https://www.ratedpeople.com/profile/cms-carpentry,ratedpeople,1,
Top Notch Joinery,,Flat Pack Furniture Assembly,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
DB Home Improvements,,Flat Pack Furniture Assembly,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
steve seymour carpentry,,Flat Pack Furniture Assembly,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Integrity Plumbing Heating and Gas,,Flat Pack Furniture Assembly,Swindon,,4.5,128,07944471799,https://www.ratedpeople.com/profile/trc-plumbing-heating-and-gas,ratedpeople,1,
King Fisher Property Services,,Flat Pack Furniture Assembly,Belper,,5,125,,https://www.ratedpeople.com/profile/king-fisher-property-services,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Flat Pack Furniture Assembly,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
DRAGON construction and maintenance servises,,Flat Pack Furniture Assembly,Bristol,,5,117,,https://www.ratedpeople.com/profile/dragon-construction-and-maintenance-servises,ratedpeople,1,
