company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Stone carpets,,Flooring Specialist,,,5,13,,https://www.myjobquote.co.uk/t/stone-carpets | https://www.myjobquote.co.uk/t/stone-carpets,myjobquote,1,
Km carpet and flooring limited,,Flooring Specialist,,,5,7,,https://www.myjobquote.co.uk/t/km-carpet-and-flooring-limited | https://www.myjobquote.co.uk/t/km-carpet-and-flooring-limited,myjobquote,1,
Professional flooring,,Flooring Specialist,,,5,6,,https://www.myjobquote.co.uk/t/professional-flooring | https://www.myjobquote.co.uk/t/professional-flooring,myjobquote,1,
Jago Randles,,Flooring Specialist,,,4,3,,https://www.myjobquote.co.uk/t/jago-randles | https://www.myjobquote.co.uk/t/jago-randles,myjobquote,1,
Kaz Ahmad,,Flooring Specialist,,,5,2,,https://www.myjobquote.co.uk/t/kaz-ahmad | https://www.myjobquote.co.uk/t/kaz-ahmad,myjobquote,1,
Mills Hamilton flooring Ltd,,Flooring Specialist,,,5,1,,https://www.myjobquote.co.uk/t/mills-hamilton-flooring-ltd | https://www.myjobquote.co.uk/t/mills-hamilton-flooring-ltd,myjobquote,1,
Flooring by Errol,,Flooring Specialist,,,5,14,,https://www.myjobquote.co.uk/t/flooring-by-errol | https://www.myjobquote.co.uk/t/flooring-by-errol,myjobquote,1,
Eugen Stramaturaru,,Flooring Specialist,,,5,12,,https://www.myjobquote.co.uk/t/eugen-stramaturaru | https://www.myjobquote.co.uk/t/eugen-stramaturaru,myjobquote,1,
Floors you like,,Flooring Specialist,,,5,10,,https://www.myjobquote.co.uk/t/floors-you-like | https://www.myjobquote.co.uk/t/floors-you-like,myjobquote,1,
PGFlooring,,Flooring Specialist,,,5,4,,https://www.myjobquote.co.uk/t/pgflooring-1 | https://www.myjobquote.co.uk/t/pgflooring-1,myjobquote,1,
Klajdi Muca,,Flooring Specialist,,,5,2,07418367611,https://www.myjobquote.co.uk/t/klajdi-muca | https://www.myjobquote.co.uk/t/klajdi-muca,myjobquote,1,
Nazarii,,Flooring Specialist,,,5,1,,https://www.myjobquote.co.uk/t/nazarii-8 | https://www.myjobquote.co.uk/t/nazarii-8,myjobquote,1,
Hnl refurbishments,,Flooring Specialist,,,5,44,,https://www.myjobquote.co.uk/t/hnl-refurbishments | https://www.myjobquote.co.uk/t/hnl-refurbishments,myjobquote,1,
UAK flooring Ltd,,Flooring Specialist,,,5,4,,https://www.myjobquote.co.uk/t/uak-flooring-ltd | https://www.myjobquote.co.uk/t/uak-flooring-ltd,myjobquote,1,
Sam’s Flooring,,Flooring Specialist,,,5,2,,https://www.myjobquote.co.uk/t/sams-flooring | https://www.myjobquote.co.uk/t/sams-flooring,myjobquote,1,
Sunny flooring,,Flooring Specialist,,,5,1,,https://www.myjobquote.co.uk/t/sunny-flooring | https://www.myjobquote.co.uk/t/sunny-flooring,myjobquote,1,
Lifestyle Trade Flooring,,Flooring Specialist,,,5,9,,https://www.myjobquote.co.uk/t/lifestyle-trade-flooring | https://www.myjobquote.co.uk/t/lifestyle-trade-flooring,myjobquote,1,
1066 Flooring & Building,,Flooring Specialist,,,5,8,,https://www.myjobquote.co.uk/t/1066-flooring-building-1 | https://www.myjobquote.co.uk/t/1066-flooring-building-1,myjobquote,1,
SM FLOORING,,Flooring Specialist,,,5,2,,https://www.myjobquote.co.uk/t/sm-flooring-1 | https://www.myjobquote.co.uk/t/sm-flooring-1,myjobquote,1,
Greenwich Marine Solution,,Flooring Specialist,,,5,1,,https://www.myjobquote.co.uk/t/greenwich-marine-solution | https://www.myjobquote.co.uk/t/greenwich-marine-solution,myjobquote,1,
Koldashi Construction LND,,Flooring Specialist,,,4.8,50,,https://www.myjobquote.co.uk/t/koldashi-construction-lnd | https://www.myjobquote.co.uk/t/koldashi-construction-lnd,myjobquote,1,
Andrei buzdugan,,Flooring Specialist,,,5,14,,https://www.myjobquote.co.uk/t/andrei-buzdugan | https://www.myjobquote.co.uk/t/andrei-buzdugan,myjobquote,1,
