company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Plumb GP,,Gas Boiler Repair,2 Union Road,,4.5,1484,07788597250,https://www.ratedpeople.com/profile/plumb-gp,ratedpeople,1,
D&S Plumbing and Heating Services,,Gas Boiler Repair,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Gas Boiler Repair,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Bc Plumbing Services,,Gas Boiler Repair,Oxted,,5,627,07821194571,https://www.ratedpeople.com/profile/bc-plumbing-services,ratedpeople,1,
A & K Contractor Services,,Gas Boiler Repair,London,,4.5,594,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Gas Boiler Repair,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
J.J MURPHY plumbing & heating,,Gas Boiler Repair,berkhampsted,,5,335,07496568368,https://www.ratedpeople.com/profile/jj-murphy-plumbing-and-heating,ratedpeople,1,
Nick Plumbing,,Gas Boiler Repair,Morden,,5,317,,https://www.ratedpeople.com/profile/nick-plumbing,ratedpeople,1,
S&A Plumbing Services,,Gas Boiler Repair,LONDON,,5,311,07960660506,https://www.ratedpeople.com/profile/s-and-a,ratedpeople,1,
Ziyad Construction,,Gas Boiler Repair,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
MF Plumbing and Heating,,Gas Boiler Repair,Barnet,,5,280,,https://www.ratedpeople.com/profile/mfplumbingandheating,ratedpeople,1,
ElectricFix Science Ltd,,Gas Boiler Repair,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Gas Boiler Repair,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
London Gas,,Gas Boiler Repair,London,,5,260,07909903256,https://www.ratedpeople.com/profile/london-gas,ratedpeople,1,
R&D Construction,,Gas Boiler Repair,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
Modern Bathrooms LT,,Gas Boiler Repair,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
Plumb London,,Gas Boiler Repair,Pinner,,4.5,209,,https://www.ratedpeople.com/profile/heating-engineers-london-limited,ratedpeople,1,
