company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Piotr Trojszczak,,Gas Fire,,,4.8,10,,https://www.myjobquote.co.uk/t/piotr-trojszczak | https://www.myjobquote.co.uk/t/piotr-trojszczak,myjobquote,1,
Princefix Solutions LTD,,Gas Fire,,,5,38,,https://www.myjobquote.co.uk/t/princefix-solutions-ltd | https://www.myjobquote.co.uk/t/princefix-solutions-ltd,myjobquote,1,
Pierce Project Ltd,,Gas Fire,,,5,9,,https://www.myjobquote.co.uk/t/pierce-project-ltd | https://www.myjobquote.co.uk/t/pierce-project-ltd,myjobquote,1,
Briand Jukaj,,Gas Fire,,,5,2,,https://www.myjobquote.co.uk/t/briand-jukaj | https://www.myjobquote.co.uk/t/briand-jukaj,myjobquote,1,
Gsafe Plumbing&Heating Exclusive Limited,,Gas Fire,,,5,20,,https://www.myjobquote.co.uk/t/gsafe-plumbingheating-exclusive-limited | https://www.myjobquote.co.uk/t/gsafe-plumbingheating-exclusive-limited,myjobquote,1,
Prostar Plumbing Services,,Gas Fire,,,5,20,07451260949,https://www.myjobquote.co.uk/t/prostar-plumbing-services | https://www.myjobquote.co.uk/t/prostar-plumbing-services,myjobquote,1,
Ayoubi&#039;s Dream Bathroom,,Gas Fire,,,5,17,,https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom | https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom,myjobquote,1,
Heat+,,Gas Fire,,,5,11,07451260899,https://www.myjobquote.co.uk/t/heat | https://www.myjobquote.co.uk/t/heat,myjobquote,1,
Paceheating&plumbing,,Gas Fire,,,5,8,,https://www.myjobquote.co.uk/t/paceheatingplumbing | https://www.myjobquote.co.uk/t/paceheatingplumbing,myjobquote,1,
HPlumbingandGas,,Gas Fire,,,4,7,,https://www.myjobquote.co.uk/t/hplumbingandgas | https://www.myjobquote.co.uk/t/hplumbingandgas,myjobquote,1,
