company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Clark Gas Services,,Gas Ovens Hob,,,4.9,36,,https://www.myjobquote.co.uk/t/clark-gas-services | https://www.myjobquote.co.uk/t/clark-gas-services,myjobquote,1,
Ayoubi&#039;s Dream Bathroom,,Gas Ovens Hob,,,5,17,,https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom | https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom,myjobquote,1,
Austin Ehibochie,,Gas Ovens Hob,,,5,6,,https://www.myjobquote.co.uk/t/austin-ehibochie | https://www.myjobquote.co.uk/t/austin-ehibochie,myjobquote,1,
inFinnerty Gas Limited,,Gas Ovens Hob,,,5,6,,https://www.myjobquote.co.uk/t/infinnerty-gas-limited | https://www.myjobquote.co.uk/t/infinnerty-gas-limited,myjobquote,1,
Platinum Gas Solutions Ltd,,Gas Ovens Hob,,,5,2,,https://www.myjobquote.co.uk/t/platinum-gas-solutions-ltd | https://www.myjobquote.co.uk/t/platinum-gas-solutions-ltd,myjobquote,1,
Gas Heat Flow,,Gas Ovens Hob,,,5,122,,https://www.myjobquote.co.uk/t/gas-heat-flow | https://www.myjobquote.co.uk/t/gas-heat-flow,myjobquote,1,
AC Heating services,,Gas Ovens Hob,,,5,67,,https://www.myjobquote.co.uk/t/ac-heating-services | https://www.myjobquote.co.uk/t/ac-heating-services,myjobquote,1,
RekaPlumbing,,Gas Ovens Hob,,,5,40,,https://www.myjobquote.co.uk/t/rekaplumbing | https://www.myjobquote.co.uk/t/rekaplumbing,myjobquote,1,
Saulius Raudys,,Gas Ovens Hob,,,4,2,,https://www.myjobquote.co.uk/t/saulius-raudys | https://www.myjobquote.co.uk/t/saulius-raudys,myjobquote,1,
Princefix Solutions LTD,,Gas Ovens Hob,,,5,38,,https://www.myjobquote.co.uk/t/princefix-solutions-ltd | https://www.myjobquote.co.uk/t/princefix-solutions-ltd,myjobquote,1,
Morfleet Construction & Heating Ltd,,Gas Ovens Hob,,,5,33,07418319696,https://www.myjobquote.co.uk/t/morfleet-construction-heating-ltd | https://www.myjobquote.co.uk/t/morfleet-construction-heating-ltd,myjobquote,1,
"JS Plumbing, Heating and Gas Services",,Gas Ovens Hob,,,4,7,,https://www.myjobquote.co.uk/t/js-plumbing-heating-and-gas-services | https://www.myjobquote.co.uk/t/js-plumbing-heating-and-gas-services,myjobquote,1,
Gas Tech Plumbing Ltd,,Gas Ovens Hob,,,5,2,,https://www.myjobquote.co.uk/t/gas-tech-plumbing-ltd | https://www.myjobquote.co.uk/t/gas-tech-plumbing-ltd,myjobquote,1,
BB Brick & Beam Construction Ltd,,Gas Ovens Hob,,,5,43,,https://www.myjobquote.co.uk/t/bb-brick-beam-construction-ltd | https://www.myjobquote.co.uk/t/bb-brick-beam-construction-ltd,myjobquote,1,
Silver Cloud Services,,Gas Ovens Hob,,,5,28,07418365726,https://www.myjobquote.co.uk/t/silver-cloud-services | https://www.myjobquote.co.uk/t/silver-cloud-services,myjobquote,1,
DnT Heating Solutions Ltd,,Gas Ovens Hob,,,5,10,07418371493,https://www.myjobquote.co.uk/t/dnt-heating-solutions-ltd | https://www.myjobquote.co.uk/t/dnt-heating-solutions-ltd,myjobquote,1,
Steady Flow Plumbing & Heating Ltd,,Gas Ovens Hob,,,5,3,,https://www.myjobquote.co.uk/t/steady-flow-plumbing-heating-ltd | https://www.myjobquote.co.uk/t/steady-flow-plumbing-heating-ltd,myjobquote,1,
PT Plumbing & Gas,,Gas Ovens Hob,,,5,161,,https://www.myjobquote.co.uk/t/pt-plumbing-gas | https://www.myjobquote.co.uk/t/pt-plumbing-gas,myjobquote,1,
NW Services,,Gas Ovens Hob,,,5,11,,https://www.myjobquote.co.uk/t/nw-services | https://www.myjobquote.co.uk/t/nw-services,myjobquote,1,
Euforia Plumbing & Heating Service,,Gas Ovens Hob,,,5,5,,https://www.myjobquote.co.uk/t/euforia-plumbing-heating-service | https://www.myjobquote.co.uk/t/euforia-plumbing-heating-service,myjobquote,1,
Pressure Point P&H,,Gas Ovens Hob,,,4.3,14,,https://www.myjobquote.co.uk/t/pressure-point-ph | https://www.myjobquote.co.uk/t/pressure-point-ph,myjobquote,1,
24hr plumbing,,Gas Ovens Hob,,,5,6,,https://www.myjobquote.co.uk/t/24hr-plumbing-1 | https://www.myjobquote.co.uk/t/24hr-plumbing-1,myjobquote,1,
758 Heating Solutions Ltd,,Gas Ovens Hob,,,5,2,,https://www.myjobquote.co.uk/t/758-heating-solutions-ltd | https://www.myjobquote.co.uk/t/758-heating-solutions-ltd,myjobquote,1,
J K Love property maintenance,,Gas Ovens Hob,,,5,89,,https://www.myjobquote.co.uk/t/j-k-love-property-maintenance | https://www.myjobquote.co.uk/t/j-k-love-property-maintenance,myjobquote,1,
Chosen Plumbing and Heating,,Gas Ovens Hob,,,5,8,07441440799,https://www.myjobquote.co.uk/t/chosen-plumbing-and-heating | https://www.myjobquote.co.uk/t/chosen-plumbing-and-heating,myjobquote,1,
Aaron Property Care,,Gas Ovens Hob,,,4,5,,https://www.myjobquote.co.uk/t/aaron-property-care | https://www.myjobquote.co.uk/t/aaron-property-care,myjobquote,1,
