company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Groundwork Foundations,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Groundwork Foundations,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Ziyad Construction,,Groundwork Foundations,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Groundwork Foundations,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
CFC Ltd.,,Groundwork Foundations,Bushey,,5,250,,https://www.ratedpeople.com/profile/cfc,ratedpeople,1,
Chameleon Refurbs,,Groundwork Foundations,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
R&D Construction,,Groundwork Foundations,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Groundwork Foundations,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
olliver hanrahan,,Groundwork Foundations,,,10,194,07861192239,https://www.ratedpeople.com/profile/olliehanrahan,ratedpeople,1,
PREMIER ROOFING & GUTTERS LIMITED,,Groundwork Foundations,Ox33 1xw,,5,194,07551880009,https://www.ratedpeople.com/profile/premier-roofing-gutters-and-driveways-limited,ratedpeople,1,
MM Smooth Constructions,,Groundwork Foundations,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Groundwork Foundations,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Cooper & Sons,,Groundwork Foundations,Staines-upon-thames,,5,175,,https://www.ratedpeople.com/profile/cooperandsons,ratedpeople,1,
Aaron Construction,,Groundwork Foundations,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
SMALL STONE MAINTENANCE SERVICES,,Groundwork Foundations,London,,5,168,07956840625,https://www.ratedpeople.com/profile/abdul-mumit,ratedpeople,1,
C Jenkins & Sons limited,,Groundwork Foundations,,,9,165,07799589521,https://www.ratedpeople.com/profile/c-jenkins-and-sons-limited,ratedpeople,1,
Kaspars Dzenis,,Groundwork Foundations,Ashford,,5,163,,https://www.ratedpeople.com/profile/kaspars-dzenis,ratedpeople,1,
Morley Gardens,,Groundwork Foundations,Westerham,,5,174,07415754167,https://www.ratedpeople.com/profile/morleys-lawns,ratedpeople,1,
Princes Paving and building,,Groundwork Foundations,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
W & M Home Renovations,,Groundwork Foundations,Stafford,,5,156,,https://www.ratedpeople.com/profile/wm-homerenovation,ratedpeople,1,
Top Notch Joinery,,Groundwork Foundations,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
FlowTeck Roofing,,Groundwork Foundations,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Groundwork Foundations,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
steve seymour carpentry,,Groundwork Foundations,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Jay's Property Maintainance,,Groundwork Foundations,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Newman & Sons,,Groundwork Foundations,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Groundwork Foundations,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
RSM Building Services,,Groundwork Foundations,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Skyline roofers,,Groundwork Foundations,Street,,4,96,,https://www.ratedpeople.com/profile/skyline-roofers,ratedpeople,1,
Southwest Plastering & Building Services,,Groundwork Foundations,Exeter,,5,91,07426524789,https://www.ratedpeople.com/profile/capital-plastering,ratedpeople,1,
Underwood home improvements an maintenance,,Groundwork Foundations,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
d lee & sons property maintenance,,Groundwork Foundations,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Groundwork Foundations,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,Groundwork Foundations,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Apex Plastering & Building Services,,Groundwork Foundations,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Groundwork Foundations,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Groundwork Foundations,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
Cardiff Extensions,,Groundwork Foundations,Cardiff,,5,70,,https://www.ratedpeople.com/profile/instbuild,ratedpeople,1,
MB bricklaying services,,Groundwork Foundations,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
KA Roofing,,Groundwork Foundations,Auchinleck,,5,386,,https://www.ratedpeople.com/profile/ka-roofing,ratedpeople,1,
TC Property Renovations,,Groundwork Foundations,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Groundwork Foundations,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
root2roof property maintenance,,Groundwork Foundations,Houghton le Spring,,5,122,07849383853,https://www.ratedpeople.com/profile/root2roof-property-maintenance,ratedpeople,1,
Can Construction,,Groundwork Foundations,Bolton,,5,119,,https://www.ratedpeople.com/profile/can-construction,ratedpeople,1,
SJ Building and Plastering Services,,Groundwork Foundations,Jarrow,,5,105,07794146812,https://www.ratedpeople.com/profile/sj-plastering-serives,ratedpeople,1,
DC Joinery,,Groundwork Foundations,wallsend,,5,93,07986104373,https://www.ratedpeople.com/profile/dc-roofline-and-joinery,ratedpeople,1,
Capital Roofing & Landscaping,,Groundwork Foundations,County Durham,,5,87,,https://www.ratedpeople.com/profile/kj-roofing-and-gardening-maintenance,ratedpeople,1,
SB Construction,,Groundwork Foundations,Sunderland,,5,85,,https://www.ratedpeople.com/profile/sb-construction-sunderland,ratedpeople,1,
DMH Contracts,,Groundwork Foundations,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
midland builders,,Groundwork Foundations,Notts,,5,76,,https://www.ratedpeople.com/profile/midland-builders-mansfield,ratedpeople,1,
Roofguard,,Groundwork Foundations,Harrogate,,5,74,,https://www.ratedpeople.com/profile/roofguard-harrogate,ratedpeople,1,
Weardale Construction,,Groundwork Foundations,Tyne&wear,,4.5,74,07968966369,https://www.ratedpeople.com/profile/weardale-construction,ratedpeople,1,
JLT Building and Landscapes,,Groundwork Foundations,Durham,,5,68,,https://www.ratedpeople.com/profile/jlt-builders,ratedpeople,1,
Rafal Siemiaszko,,Groundwork Foundations,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
Drake and Sons,,Groundwork Foundations,Queensbury,,5,63,,https://www.ratedpeople.com/profile/drake-and-sons,ratedpeople,1,
Buster Construction and Renovations,,Groundwork Foundations,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
luxury spaces,,Groundwork Foundations,Dunfermline,,5,136,07763510006,https://www.ratedpeople.com/profile/aaron-montgomery,ratedpeople,1,
J & L WELCH ROOFING & PAVING SERVICES LTD,,Groundwork Foundations,Durham,,5,53,,https://www.ratedpeople.com/profile/j-w-flat-roofing-specialists,ratedpeople,1,
Miller Property Maintenance,,Groundwork Foundations,Falkirk,,5,120,,https://www.ratedpeople.com/profile/miller-property-maintenance,ratedpeople,1,
Fraser Scott Roofing and Roughcasting,,Groundwork Foundations,Kirkcaldy,,5,73,07979885236,https://www.ratedpeople.com/profile/fraser-scott-roofing-and-roughcasting,ratedpeople,1,
FIFE ROOFING,,Groundwork Foundations,Glenrothes,,5,77,07468418952,https://www.ratedpeople.com/profile/fife-roofing,ratedpeople,1,
Budex Developments,,Groundwork Foundations,Perth,,4.5,47,,https://www.ratedpeople.com/profile/budex-developments,ratedpeople,1,
Richardson Roofing,,Groundwork Foundations,Kirkcaldy,,5,44,,https://www.ratedpeople.com/profile/richardson-roofing,ratedpeople,1,
Alfs property maintenance,,Groundwork Foundations,Montrose,,4.5,43,,https://www.ratedpeople.com/profile/alfs-property-maintenance,ratedpeople,1,
C Malcolm,,Groundwork Foundations,Buckie,,5,39,,https://www.ratedpeople.com/profile/c-malcolm,ratedpeople,1,
ARB Roofing and building,,Groundwork Foundations,Perth,,5,34,,https://www.ratedpeople.com/profile/arb-roofing-and-building-perth,ratedpeople,1,
M Grubb Soundproofing & Joinery Services,,Groundwork Foundations,Street,,4.5,32,,https://www.ratedpeople.com/profile/m-grubb-soundproofing,ratedpeople,1,
Hammerfield Contractors,,Groundwork Foundations,Stonehaven,,5,31,,https://www.ratedpeople.com/profile/hammerfield-contractors,ratedpeople,1,
Moss & Mortar Solutions,,Groundwork Foundations,Musselburgh,,5,32,07519746747,https://www.ratedpeople.com/profile/mossandmortarsolutions,ratedpeople,1,
Js roofing and painting,,Groundwork Foundations,Kelty,,4.5,26,,https://www.ratedpeople.com/profile/js-roofing-and-painting,ratedpeople,1,
Your roofer,,Groundwork Foundations,,,10,25,,https://www.ratedpeople.com/profile/your-roofer-kirkcaldy,ratedpeople,1,
ASM Contracts,,Groundwork Foundations,Galston East AYRSHIRE,,5,24,,https://www.ratedpeople.com/profile/s-mcgee-home-improvements,ratedpeople,1,
Oak Contracts LTD,,Groundwork Foundations,Coatbridge,,4.5,22,07415127374,https://www.ratedpeople.com/profile/oak-contracts-,ratedpeople,1,
Neil Middleton,,Groundwork Foundations,Banchory,,4.5,22,,https://www.ratedpeople.com/profile/neil-middleton,ratedpeople,1,
JJ Walker Property Development,,Groundwork Foundations,Lochgelly,,5,34,07944753688,https://www.ratedpeople.com/profile/jj-property-development,ratedpeople,1,
