company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Regent roofing services Limited,,Guttering,,,4.6,35,,https://www.myjobquote.co.uk/t/regent-roofing-services-limited | https://www.myjobquote.co.uk/t/regent-roofing-services-limited,myjobquote,1,
Marius,,Guttering,,,5,13,,https://www.myjobquote.co.uk/t/marius-9 | https://www.myjobquote.co.uk/t/marius-9,myjobquote,1,
London Town Roofing,,Guttering,,,5,8,,https://www.myjobquote.co.uk/t/london-town-roofing | https://www.myjobquote.co.uk/t/london-town-roofing,myjobquote,1,
Executive roofing and building services,,Guttering,,,5,7,,https://www.myjobquote.co.uk/t/executive-roofing-and-building-services | https://www.myjobquote.co.uk/t/executive-roofing-and-building-services,myjobquote,1,
to repair and installation,,Guttering,,,5,6,07418367597,https://www.myjobquote.co.uk/t/to-repair-and-installation | https://www.myjobquote.co.uk/t/to-repair-and-installation,myjobquote,1,
Goldstar roofing uk Ltd,,Guttering,,,4,3,,https://www.myjobquote.co.uk/t/goldstar-roofing-uk-ltd | https://www.myjobquote.co.uk/t/goldstar-roofing-uk-ltd,myjobquote,1,
Nuaj construction,,Guttering,,,5,38,07418341696,https://www.myjobquote.co.uk/t/nuaj-construction | https://www.myjobquote.co.uk/t/nuaj-construction,myjobquote,1,
Berkeley Roofing and Building,,Guttering,,,5,8,,https://www.myjobquote.co.uk/t/berkeley-roofing-and-building-1 | https://www.myjobquote.co.uk/t/berkeley-roofing-and-building-1,myjobquote,1,
DC Roofing and Property Maintenance,,Guttering,,,5,2,,https://www.myjobquote.co.uk/t/dc-roofing-and-property-maintenance-2 | https://www.myjobquote.co.uk/t/dc-roofing-and-property-maintenance-2,myjobquote,1,
London Architectural roofing ltd,,Guttering,,,5,84,,https://www.myjobquote.co.uk/t/london-architectural-roofing-ltd | https://www.myjobquote.co.uk/t/london-architectural-roofing-ltd,myjobquote,1,
Havering Roofing and Building Ltd,,Guttering,,,5,44,,https://www.myjobquote.co.uk/t/havering-roofing-and-building-ltd | https://www.myjobquote.co.uk/t/havering-roofing-and-building-ltd,myjobquote,1,
Truetop Roofing Ltd,,Guttering,,,5,8,,https://www.myjobquote.co.uk/t/truetop-roofing-ltd | https://www.myjobquote.co.uk/t/truetop-roofing-ltd,myjobquote,1,
Roof surge group Ltd,,Guttering,,,4,1,,https://www.myjobquote.co.uk/t/roof-surge-group-ltd | https://www.myjobquote.co.uk/t/roof-surge-group-ltd,myjobquote,1,
Bright Day Services,,Guttering,,,5,33,07441473219,https://www.myjobquote.co.uk/t/bright-day-services | https://www.myjobquote.co.uk/t/bright-day-services,myjobquote,1,
Homebase roofing Ltd,,Guttering,,,5,23,,https://www.myjobquote.co.uk/t/homebase-roofing-ltd | https://www.myjobquote.co.uk/t/homebase-roofing-ltd,myjobquote,1,
Roofco home improvements,,Guttering,,,5,9,,https://www.myjobquote.co.uk/t/roofco-home-improvements | https://www.myjobquote.co.uk/t/roofco-home-improvements,myjobquote,1,
Roofing solutions,,Guttering,,,5,4,,https://www.myjobquote.co.uk/t/roofing-solutions-8 | https://www.myjobquote.co.uk/t/roofing-solutions-8,myjobquote,1,
North London roofing,,Guttering,,,5,3,07418373788,https://www.myjobquote.co.uk/t/north-london-roofing | https://www.myjobquote.co.uk/t/north-london-roofing,myjobquote,1,
Titan roofing,,Guttering,,,5,2,,https://www.myjobquote.co.uk/t/titan-roofing-5 | https://www.myjobquote.co.uk/t/titan-roofing-5,myjobquote,1,
BROMLEY ROOFER LTD,,Guttering,,,5,2,07418360547,https://www.myjobquote.co.uk/t/bromley-roofer-ltd | https://www.myjobquote.co.uk/t/bromley-roofer-ltd,myjobquote,1,
