company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Clark Gas Services,,Heating Engineer,,,4.9,36,,https://www.myjobquote.co.uk/t/clark-gas-services | https://www.myjobquote.co.uk/t/clark-gas-services,myjobquote,1,
Prestige Plumbers,,Heating Engineer,,,5,31,,https://www.myjobquote.co.uk/t/prestige-plumbers | https://www.myjobquote.co.uk/t/prestige-plumbers,myjobquote,1,
Silver Cloud Services,,Heating Engineer,,,4,28,07418365726,https://www.myjobquote.co.uk/t/silver-cloud-services | https://www.myjobquote.co.uk/t/silver-cloud-services,myjobquote,1,
Prostar Plumbing Services,,Heating Engineer,,,5,20,07451260949,https://www.myjobquote.co.uk/t/prostar-plumbing-services | https://www.myjobquote.co.uk/t/prostar-plumbing-services,myjobquote,1,
Gsafe Plumbing&Heating Exclusive Limited,,Heating Engineer,,,5,20,,https://www.myjobquote.co.uk/t/gsafe-plumbingheating-exclusive-limited | https://www.myjobquote.co.uk/t/gsafe-plumbingheating-exclusive-limited,myjobquote,1,
Ayoubi&#039;s Dream Bathroom,,Heating Engineer,,,5,17,,https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom | https://www.myjobquote.co.uk/t/ayoubis-dream-bathroom,myjobquote,1,
Heat+,,Heating Engineer,,,5,11,07451260899,https://www.myjobquote.co.uk/t/heat | https://www.myjobquote.co.uk/t/heat,myjobquote,1,
Piotr Trojszczak,,Heating Engineer,,,5,10,,https://www.myjobquote.co.uk/t/piotr-trojszczak | https://www.myjobquote.co.uk/t/piotr-trojszczak,myjobquote,1,
Pierce Project Ltd,,Heating Engineer,,,5,9,,https://www.myjobquote.co.uk/t/pierce-project-ltd | https://www.myjobquote.co.uk/t/pierce-project-ltd,myjobquote,1,
Paceheating&plumbing,,Heating Engineer,,,5,8,,https://www.myjobquote.co.uk/t/paceheatingplumbing | https://www.myjobquote.co.uk/t/paceheatingplumbing,myjobquote,1,
HPlumbingandGas,,Heating Engineer,,,4,7,,https://www.myjobquote.co.uk/t/hplumbingandgas | https://www.myjobquote.co.uk/t/hplumbingandgas,myjobquote,1,
Austin Ehibochie,,Heating Engineer,,,5,6,,https://www.myjobquote.co.uk/t/austin-ehibochie | https://www.myjobquote.co.uk/t/austin-ehibochie,myjobquote,1,
Brit x plumber,,Heating Engineer,,,5,6,,https://www.myjobquote.co.uk/t/brit-x-plumber | https://www.myjobquote.co.uk/t/brit-x-plumber,myjobquote,1,
inFinnerty Gas Limited,,Heating Engineer,,,5,5,,https://www.myjobquote.co.uk/t/infinnerty-gas-limited | https://www.myjobquote.co.uk/t/infinnerty-gas-limited,myjobquote,1,
D Burgess Domestic Gas & Htg,,Heating Engineer,,,5,4,,https://www.myjobquote.co.uk/t/d-burgess-domestic-gas-htg | https://www.myjobquote.co.uk/t/d-burgess-domestic-gas-htg,myjobquote,1,
Blue flame cms ltd,,Heating Engineer,,,5,4,,https://www.myjobquote.co.uk/t/blue-flame-cms-ltd | https://www.myjobquote.co.uk/t/blue-flame-cms-ltd,myjobquote,1,
