company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Pink Hippo Tree Surgery,,House Clearance,Bracknell,,5,317,07854393617,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople,1,
ES Electrical & Building Services,,House Clearance,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,House Clearance,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Crystal Home Improvement & Gardening Services,,House Clearance,London,,5,207,07894249212,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople,1,
RJ Mullan,,House Clearance,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,House Clearance,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,House Clearance,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,House Clearance,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Swiftz Removals,,House Clearance,London,,5,140,,https://www.ratedpeople.com/profile/swiftzremovals,ratedpeople,1,
Cristian Improvements,,House Clearance,Watford,,5,121,07721734005,https://www.ratedpeople.com/profile/cris-handyman,ratedpeople,1,
Correct Window and Door Repairs Ltd,,House Clearance,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
Riverside Property Services,,House Clearance,Morden,,5,118,,https://www.ratedpeople.com/profile/riverside-property-services-morden,ratedpeople,1,
KO Logistics Ltd,,House Clearance,Mitcham,,5,113,,https://www.ratedpeople.com/profile/ko-logistics,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,House Clearance,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
J MCMAHON LIMITED,,House Clearance,Luton,,5,147,07340294129,https://www.ratedpeople.com/profile/am-carpentryjfkjkf,ratedpeople,1,
Kingpin Groundworks & Gardens,,House Clearance,Nottinghamshire,,5,102,07480833868,https://www.ratedpeople.com/profile/home-improvements-swadlincote,ratedpeople,1,
Plum Building Services LTD,,House Clearance,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
mcginleys services,,House Clearance,Reading,,5,93,07919250504,https://www.ratedpeople.com/profile/mcginleys-services,ratedpeople,1,
KINGZ LANDSCAPES LTD,,House Clearance,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,House Clearance,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,House Clearance,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
DB Home Improvements,,House Clearance,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
Smiths & Sons,,House Clearance,Taunton,,5,103,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
axis property services,,House Clearance,Mitcheldean,,5,76,,https://www.ratedpeople.com/profile/axis-property-services-mitcheldean,ratedpeople,1,
Apex Plastering & Building Services,,House Clearance,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,House Clearance,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,House Clearance,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
Newman Plastering,,House Clearance,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
R and R services,,House Clearance,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Williams landscapes,,House Clearance,Bristol,,5,55,,https://www.ratedpeople.com/profile/williams-landscapes,ratedpeople,1,
GSR Construction,,House Clearance,Bridgend,,5,32,07521665093,https://www.ratedpeople.com/profile/gareth-ampm,ratedpeople,1,
Spick and Span Domestic Cleaning Services,,House Clearance,Swindon,,5,29,,https://www.ratedpeople.com/profile/spick-and-span-domestic-cleaning-services,ratedpeople,1,
JK Builders & Plant Hire LTD,,House Clearance,Trowbridge,,5,29,,https://www.ratedpeople.com/profile/youngs-general-building,ratedpeople,1,
Leo Removals,,House Clearance,Spalding,,5,29,07307083919,https://www.ratedpeople.com/profile/leo-removals,ratedpeople,1,
pr home improvements roofing &building,,House Clearance,Witney,,5,25,,https://www.ratedpeople.com/profile/pr-home-improvements-roofing-and-building,ratedpeople,1,
SMITHS LANDSCAPE GARDENING SERVICE,,House Clearance,Bridgwater,,5,23,,https://www.ratedpeople.com/profile/ergjnrgg-genetgnetg,ratedpeople,1,
TJ Electrical & Property Services,,House Clearance,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
A-Z Movers and Couriers,,House Clearance,Bolton,,5,101,,https://www.ratedpeople.com/profile/a-z-movers-and-couriers,ratedpeople,1,
SB Construction,,House Clearance,Sunderland,,5,85,,https://www.ratedpeople.com/profile/sb-construction-sunderland,ratedpeople,1,
Buster Construction and Renovations,,House Clearance,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
Main Builder,,House Clearance,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
M&T Garden cleaners,,House Clearance,Newcastle upon Tyne,,5,40,,https://www.ratedpeople.com/profile/m-and-t-garden-cleaners,ratedpeople,1,
CLAD K SHEETING SERVICES LTD,,House Clearance,Shildon,,4.5,32,,https://www.ratedpeople.com/profile/clad-k-sheeting-services,ratedpeople,1,
StapleCarpets,,House Clearance,City,,5,29,07543538404,https://www.ratedpeople.com/profile/staplecarpets,ratedpeople,1,
Greenlands Tree Care Ltd,,House Clearance,Preston,,5,16,,https://www.ratedpeople.com/profile/greenlands-tree-care,ratedpeople,1,
Yad Painting & Decorating Services,,House Clearance,Coventry,,5,15,,https://www.ratedpeople.com/profile/yadgar-painting-and-decorating,ratedpeople,1,
SCAN A DRAIN,,House Clearance,Mexborough,,5,14,,https://www.ratedpeople.com/profile/scan-a-drain-mexborough,ratedpeople,1,
MPM McNeil Property Maintenance,,House Clearance,Carlisle,,5,14,07956339084,https://www.ratedpeople.com/profile/tony-mcneil,ratedpeople,1,
Ando Plaster,,House Clearance,Manchester,,4.5,17,,https://www.ratedpeople.com/profile/ando-plaster,ratedpeople,1,
OG - Make a Move LTD,,House Clearance,Newcastle Upon Tyne,,4.5,7,,https://www.ratedpeople.com/profile/make-a-move-north-east,ratedpeople,1,
LSB Plastering Services,,House Clearance,Halifax,,4.5,7,,https://www.ratedpeople.com/profile/lewis-bray,ratedpeople,1,
AW Roofing & Property Services,,House Clearance,Ushaw Moor,,4.5,6,,https://www.ratedpeople.com/profile/jamie-west,ratedpeople,1,
AB Building and Maintenance,,House Clearance,Whitley Bay,,5,5,,https://www.ratedpeople.com/profile/ab-building-and-maintenance,ratedpeople,1,
Cas92,,House Clearance,,,10,3,07423178544,https://www.ratedpeople.com/profile/cas92,ratedpeople,1,
General Logistics Services LTD,,House Clearance,Bridgwater,,5,3,,https://www.ratedpeople.com/profile/general-logistics-services,ratedpeople,1,
FIFE ROOFING,,House Clearance,Glenrothes,,5,77,07468418952,https://www.ratedpeople.com/profile/fife-roofing,ratedpeople,1,
Neil Middleton,,House Clearance,Banchory,,4.5,22,,https://www.ratedpeople.com/profile/neil-middleton,ratedpeople,1,
JJ Walker Property Development,,House Clearance,Lochgelly,,5,34,07944753688,https://www.ratedpeople.com/profile/jj-property-development,ratedpeople,1,
GDM ROOFING,,House Clearance,,,10,9,,https://www.ratedpeople.com/profile/gdm-roofing-1,ratedpeople,1,
A & H Home Improvements,,House Clearance,Wishaw,,4,5,,https://www.ratedpeople.com/profile/a-and-h-home-improvements-wishaw,ratedpeople,1,
Mckinlay Contracts LTD,,House Clearance,Perth,,5,2,,https://www.ratedpeople.com/profile/mckinlay-contracts,ratedpeople,1,
Duncan Keir,,House Clearance,Alford,,3,2,,https://www.ratedpeople.com/profile/duncan-keir,ratedpeople,1,
Van Dad & Van Sons,,House Clearance,Livingston,,5,1,,https://www.ratedpeople.com/profile/van-dad-and-van-sons,ratedpeople,1,
Rated People,,House Clearance,London,,0,0,,https://www.ratedpeople.com/profile/rated-people-2647620491143,ratedpeople,1,
Go Pro Roofing,,House Clearance,Spean Bridge,,0,0,,https://www.ratedpeople.com/profile/william-mcphee,ratedpeople,1,
A&N Home Improvements,,House Clearance,Motherwell,,0,0,,https://www.ratedpeople.com/profile/a-and-n-home-improvements,ratedpeople,1,
