company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Jet Power Washing,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Jet Power Washing,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Jet Power Washing,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
J B CARPENTRY,,Jet Power Washing,Chislehurst,,5,495,07904988509,https://www.ratedpeople.com/profile/j-b-carpentry-south-east,ratedpeople,1,
WH Services,,Jet Power Washing,Horsham,,5,351,,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople,1,
Rushymead General Maintenance,,Jet Power Washing,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
RM Drainage & Plumbing,,Jet Power Washing,Rainham,,5,275,,https://www.ratedpeople.com/profile/rmdrainageandplumbing,ratedpeople,1,
ES Electrical & Building Services,,Jet Power Washing,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Jet Power Washing,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
SUNNY CLEAN,,Jet Power Washing,Romford,,4.5,222,,https://www.ratedpeople.com/profile/sunnyclean,ratedpeople,1,
Crystal Home Improvement & Gardening Services,,Jet Power Washing,London,,5,207,07894249212,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople,1,
RJ Mullan,,Jet Power Washing,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Jet Power Washing,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Jet Power Washing,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
All Time Heating and Plumbing,,Jet Power Washing,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Jet Power Washing,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Cooper & Sons,,Jet Power Washing,Staines-upon-thames,,5,175,,https://www.ratedpeople.com/profile/cooperandsons,ratedpeople,1,
Aaron Construction,,Jet Power Washing,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Princes Paving and building,,Jet Power Washing,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
County Roofing & Building LLP,,Jet Power Washing,Bracknell,,5,157,,https://www.ratedpeople.com/profile/county-roofing-and-building-llp,ratedpeople,1,
