company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Kitchen Specialist,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Kitchen Specialist,London,,4.5,593,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Resolve Plumbing Services Ltd,,Kitchen Specialist,London/kent,,5,428,07878178205,https://www.ratedpeople.com/profile/resolve-plumbing-and-heating,ratedpeople,1,
wood doctor,,Kitchen Specialist,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
Rushymead General Maintenance,,Kitchen Specialist,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
Ziyad Construction,,Kitchen Specialist,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ElectricFix Science Ltd,,Kitchen Specialist,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
ES Electrical & Building Services,,Kitchen Specialist,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
R&D Construction,,Kitchen Specialist,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
Modern Bathrooms LT,,Kitchen Specialist,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
SDL PKB,,Kitchen Specialist,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
RJ Mullan,,Kitchen Specialist,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Kitchen Specialist,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Kitchen Specialist,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
