company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Kitchen Worktops Stone,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Ziyad Construction,,Kitchen Worktops Stone,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Kitchen Worktops Stone,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
SDL PKB,,Kitchen Worktops Stone,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
RJ Mullan,,Kitchen Worktops Stone,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Kitchen Worktops Stone,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Kitchen Worktops Stone,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Kitchen Worktops Stone,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Kitchen Worktops Stone,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Cross Kitchens,,Kitchen Worktops Stone,Southampton,,5,157,,https://www.ratedpeople.com/profile/cross-kitchens,ratedpeople,1,
The Ruby Team,,Kitchen Worktops Stone,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
DDS DEVELOPMENT LTD,,Kitchen Worktops Stone,Hornchurch,,5,136,,https://www.ratedpeople.com/profile/dds-development,ratedpeople,1,
JGWoodworking,,Kitchen Worktops Stone,,,10,123,,https://www.ratedpeople.com/profile/jgwoodworking,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Kitchen Worktops Stone,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
sky kitchens and bedrooms limited,,Kitchen Worktops Stone,Uxbridge,,5,101,07957685695,https://www.ratedpeople.com/profile/sky-kitchens-and-bedrooms-limited,ratedpeople,1,
Apex Carpentry & Property Maintenance Ltd,,Kitchen Worktops Stone,Maresfield,,5,100,07538950125,https://www.ratedpeople.com/profile/apex-carpentry-and-property-maintenance,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Kitchen Worktops Stone,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
R & J Quality and Decorating Ltd,,Kitchen Worktops Stone,Barking,,5,93,,https://www.ratedpeople.com/profile/r-and-j-quality-and-decorating,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Kitchen Worktops Stone,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
Greenstone krzysztof Wlodarczyk,,Kitchen Worktops Stone,London,,5,86,,https://www.ratedpeople.com/profile/greenstone-1,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Kitchen Worktops Stone,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
steve seymour carpentry,,Kitchen Worktops Stone,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
