company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
INNOSCOPE BUILDING SERVICES LTD,Mrs Susan,Kitchens,London and,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.96,16,,https://www.checkatrade.com/trades/innoscopebuildingservicesltd,checkatrade,1,
Glam Kitchens Limited,Mr. Asad Choudhry,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.96,48,,https://www.checkatrade.com/trades/glamkitchens,checkatrade,1,
Light House Design,,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.98,91,,https://www.checkatrade.com/trades/lighthousedesignlimited934115,checkatrade,1,
J.R.LUX LIMITED,Mr Juswann,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.9,99,,https://www.checkatrade.com/trades/jrlux,checkatrade,1,
Forest wood Joinery ltd,Mr Taghi,Kitchens,all aspects,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.97,34,,https://www.checkatrade.com/trades/forestwoodjoineryltd,checkatrade,1,
Elest Group Ltd,Mr Liridon,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.88,22,,https://www.checkatrade.com/trades/elestgroup,checkatrade,1,
OCTAGON IMPACT LTD,Mr Alexandru,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.97,17,,https://www.checkatrade.com/trades/octagonimpactltd,checkatrade,1,
Chris Renovation Ltd,Mr. Krzysztof Kopyt,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.73,45,,https://www.checkatrade.com/trades/chrisrenovation990857,checkatrade,1,
Semoorg Building & Maintenance Limited,Mr Azamat,Kitchens,residential,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.67,17,,https://www.checkatrade.com/trades/semoorgbuildingmaintenancelimited,checkatrade,1,
FIT & FAB KITCHEN LTD,Mr Sohrab,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.89,26,,https://www.checkatrade.com/trades/fitfabkitchenltd,checkatrade,1,
J&jplumbingservices Ltd,Mr Santiago,Kitchens,London and,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.78,21,,https://www.checkatrade.com/trades/jandjplumbingservices,checkatrade,1,
Meeia London LTD,Ms Meshane,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.78,6,,https://www.checkatrade.com/trades/meeialondonltd,checkatrade,1,
London Mile Ltd,Mr Vugar,Kitchens,London,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.97,83,,https://www.checkatrade.com/trades/londonmileltd,checkatrade,1,
DCD,Mr Daniel,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,10,120,,https://www.checkatrade.com/trades/dcd806815,checkatrade,1,
KSJ PROPERTY MAINTENANCE LTD,Mr Kenson,Kitchens,all aspects,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,,,,https://www.checkatrade.com/trades/ksjpropertymaintenanceltd,checkatrade,1,
BR CREATIONS LTD,Mr Blerton,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.93,44,,https://www.checkatrade.com/trades/brcreationsltd,checkatrade,1,
LEGACY RENOVATION GROUP LTD,Mr Yiltan,Kitchens,North London,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,10,39,,https://www.checkatrade.com/trades/legacyrenovationgroupltd,checkatrade,1,
Hathor Construction Limited,Mr Mitchell,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.72,15,,https://www.checkatrade.com/trades/hathorconstructionlimited,checkatrade,1,
Ovi Construction Ltd,Mr Mariana,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.81,7,,https://www.checkatrade.com/trades/oviconstructionltd,checkatrade,1,
Ash Construction,Sole Trader,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,8.94,42,,https://www.checkatrade.com/trades/ashconstruction,checkatrade,1,
EVConstructing Limited,Mr Vugar,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.52,199,,https://www.checkatrade.com/trades/evconstructing,checkatrade,1,
Diako Interiors,Mr Diako,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,10,1,,https://www.checkatrade.com/trades/diakointeriors,checkatrade,1,
Lsh Property Services Ltd,Mr Sin,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,10,2,,https://www.checkatrade.com/trades/lshpropertyservicesltd,checkatrade,1,
W10 Builders,Mr Lukasz,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.89,28,,https://www.checkatrade.com/trades/w10builders,checkatrade,1,
A&D Construction Works LTD,Mr Rasoul,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,8.72,6,,https://www.checkatrade.com/trades/adconstructionworksltd,checkatrade,1,
Kane Contractors LTD,Mr. Kani Hakki,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.89,35,,https://www.checkatrade.com/trades/kaneinteriorsltd,checkatrade,1,
HQ Home Improvements LTD,Mr Karol,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.9,94,,https://www.checkatrade.com/trades/hqhomeimprovements,checkatrade,1,
E2 Prime Construction,Mr Edison,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,,,,https://www.checkatrade.com/trades/e2primeconstruction,checkatrade,1,
WK Refurbished and Fittings Ltd,Mr Wilson,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.67,29,,https://www.checkatrade.com/trades/wkrefurbishedandfittings,checkatrade,1,
Paulfrancis,Mr. Paul Cullen,Kitchens,,https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=7b57c267-1c19-4cf6-b3e2-0a6beae563ca&cat_web_session_id=7bbf66ce-e177-4a00-a781-2e0e15041a2f&banner_location=header,9.89,17,,https://www.checkatrade.com/trades/paulfrancis1024426,checkatrade,1,
