company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Landscaping,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Pink Hippo Tree Surgery,,Landscaping,Bracknell,,5,317,07854393617,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople,1,
ES Electrical & Building Services,,Landscaping,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
CFC Ltd.,,Landscaping,Bushey,,5,250,,https://www.ratedpeople.com/profile/cfc,ratedpeople,1,
Chameleon Refurbs,,Landscaping,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Crystal Home Improvement & Gardening Services,,Landscaping,London,,5,207,07894249212,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople,1,
RJ Mullan,,Landscaping,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Landscaping,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
olliver hanrahan,,Landscaping,,,10,194,07861192239,https://www.ratedpeople.com/profile/olliehanrahan,ratedpeople,1,
ER SERVICES (LONDON) LTD,,Landscaping,Ashford,,5,178,,https://www.ratedpeople.com/profile/er-services-london,ratedpeople,1,
Cooper & Sons,,Landscaping,Staines-upon-thames,,5,175,,https://www.ratedpeople.com/profile/cooperandsons,ratedpeople,1,
Aaron Construction,,Landscaping,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
C Jenkins & Sons limited,,Landscaping,,,9,165,07799589521,https://www.ratedpeople.com/profile/c-jenkins-and-sons-limited,ratedpeople,1,
Kaspars Dzenis,,Landscaping,Ashford,,5,163,,https://www.ratedpeople.com/profile/kaspars-dzenis,ratedpeople,1,
Morley Gardens,,Landscaping,Westerham,,5,174,07415754167,https://www.ratedpeople.com/profile/morleys-lawns,ratedpeople,1,
Princes Paving and building,,Landscaping,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
County Roofing & Building LLP,,Landscaping,Bracknell,,5,157,,https://www.ratedpeople.com/profile/county-roofing-and-building-llp,ratedpeople,1,
Your Property Developers,,Landscaping,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Landscaping,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Four Seasons Garden Care Services,,Landscaping,,,9,123,,https://www.ratedpeople.com/profile/four-seasons-garden-care-services,ratedpeople,1,
G&G property services,,Landscaping,Cardiff,,5,269,,https://www.ratedpeople.com/profile/evergreen-property-services,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Landscaping,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Landscaping,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
Derek Comer,,Landscaping,Bridgwater,,5,114,07976831501,https://www.ratedpeople.com/profile/derek-comer,ratedpeople,1,
JD services,,Landscaping,Berkshire,,5,107,,https://www.ratedpeople.com/profile/jd-services-bracknell,ratedpeople,1,
Viktor,,Landscaping,bristol,,5,106,,https://www.ratedpeople.com/profile/viktor,ratedpeople,1,
Greenway Gardens,,Landscaping,Bristol,,5,95,,https://www.ratedpeople.com/profile/greenway-gardens,ratedpeople,1,
Oakleaf Landscapes & Driveway Specialist,,Landscaping,Evesham,,4.5,94,07956080160,https://www.ratedpeople.com/profile/oakleaf-landscapes-and-driveway-specialist,ratedpeople,1,
Smiths & Sons,,Landscaping,Taunton,,5,103,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
Underwood home improvements an maintenance,,Landscaping,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
New Dawn Gardenlife Ltd,,Landscaping,Virginia Water,,5,82,,https://www.ratedpeople.com/profile/new-dawn-gardenlife,ratedpeople,1,
