company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
A & K Contractor Services,,Linoleum Flooring,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
MM Smooth Constructions,,Linoleum Flooring,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
BMC PLUMBING & BUILDING SERVICES LTD,,Linoleum Flooring,Tongham,,5,183,,https://www.ratedpeople.com/profile/bmc-plumbing-building-services,ratedpeople,1,
Black Pearl Flooring,,Linoleum Flooring,Glastonbury,,4.5,179,,https://www.ratedpeople.com/profile/christians-carpets,ratedpeople,1,
Aaron Construction,,Linoleum Flooring,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Bespoke Flooring Solutions,,Linoleum Flooring,London,,5,145,,https://www.ratedpeople.com/profile/bespoke-flooring-solutions,ratedpeople,1,
The Ruby Team,,Linoleum Flooring,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
CAPITAL FLOORING,,Linoleum Flooring,,,10,124,,https://www.ratedpeople.com/profile/capital-flooring,ratedpeople,1,
Strong Wood Carpentry,,Linoleum Flooring,Romsey,,5,115,,https://www.ratedpeople.com/profile/balint-bora-carpentry,ratedpeople,1,
Property Maintenance,,Linoleum Flooring,London,,5,109,07306334177,https://www.ratedpeople.com/profile/filip-golisz,ratedpeople,1,
Cris,,Linoleum Flooring,CROYDON,,5,109,07703759915,https://www.ratedpeople.com/profile/cris-saffron-walden,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Linoleum Flooring,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Oliver Deyoung,,Linoleum Flooring,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
Miyard Ltd,,Linoleum Flooring,Bromley,,5,105,,https://www.ratedpeople.com/profile/miyard,ratedpeople,1,
