company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Pink Hippo Tree Surgery,,Man Woman With A Van,Bracknell,,5,317,07854393617,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople,1,
ES Electrical & Building Services,,Man Woman With A Van,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Man Woman With A Van,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Rubbertech,,Man Woman With A Van,Penycae,,5,221,,https://www.ratedpeople.com/profile/rubbertech,ratedpeople,1,
RJ Mullan,,Man Woman With A Van,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Man Woman With A Van,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Man Woman With A Van,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Man Woman With A Van,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Black Pearl Flooring,,Man Woman With A Van,Glastonbury,,4.5,179,,https://www.ratedpeople.com/profile/christians-carpets,ratedpeople,1,
Swiftz Removals,,Man Woman With A Van,London,,5,140,,https://www.ratedpeople.com/profile/swiftzremovals,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Man Woman With A Van,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
Riverside Property Services,,Man Woman With A Van,Morden,,5,118,,https://www.ratedpeople.com/profile/riverside-property-services-morden,ratedpeople,1,
KO Logistics Ltd,,Man Woman With A Van,Mitcham,,5,113,,https://www.ratedpeople.com/profile/ko-logistics,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Man Woman With A Van,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
All counties contractors,,Man Woman With A Van,Yateley,,5,111,,https://www.ratedpeople.com/profile/all-counties-contractors,ratedpeople,1,
Plum Building Services LTD,,Man Woman With A Van,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
mcginleys services,,Man Woman With A Van,Reading,,5,93,07919250504,https://www.ratedpeople.com/profile/mcginleys-services,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Man Woman With A Van,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,Man Woman With A Van,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
Greenstone krzysztof Wlodarczyk,,Man Woman With A Van,London,,5,86,,https://www.ratedpeople.com/profile/greenstone-1,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Man Woman With A Van,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
DB Home Improvements,,Man Woman With A Van,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
Smiths & Sons,,Man Woman With A Van,Taunton,,5,103,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
Apex Plastering & Building Services,,Man Woman With A Van,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Man Woman With A Van,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Man Woman With A Van,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
Newman Plastering,,Man Woman With A Van,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
R and R services,,Man Woman With A Van,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Williams landscapes,,Man Woman With A Van,Bristol,,5,55,,https://www.ratedpeople.com/profile/williams-landscapes,ratedpeople,1,
GSR Construction,,Man Woman With A Van,Bridgend,,5,32,07521665093,https://www.ratedpeople.com/profile/gareth-ampm,ratedpeople,1,
Spick and Span Domestic Cleaning Services,,Man Woman With A Van,Swindon,,5,29,,https://www.ratedpeople.com/profile/spick-and-span-domestic-cleaning-services,ratedpeople,1,
Leo Removals,,Man Woman With A Van,Spalding,,5,29,07307083919,https://www.ratedpeople.com/profile/leo-removals,ratedpeople,1,
MC Roofing & Landscapes,,Man Woman With A Van,Bristol,,5,18,07454697359,https://www.ratedpeople.com/profile/michael-oconnor,ratedpeople,1,
Edward Margai,,Man Woman With A Van,London,,4.5,16,,https://www.ratedpeople.com/profile/edward-margai,ratedpeople,1,
TJ Electrical & Property Services,,Man Woman With A Van,York,,5,186,,https://www.ratedpeople.com/profile/tracey-deprise,ratedpeople,1,
A-Z Movers and Couriers,,Man Woman With A Van,Bolton,,5,101,,https://www.ratedpeople.com/profile/a-z-movers-and-couriers,ratedpeople,1,
KLR DESIGN,,Man Woman With A Van,Blairgowrie,,5,79,,https://www.ratedpeople.com/profile/mark-richardson-blairgowrie,ratedpeople,1,
Buster Construction and Renovations,,Man Woman With A Van,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
Main Builder,,Man Woman With A Van,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
M&T Garden cleaners,,Man Woman With A Van,Newcastle upon Tyne,,5,40,,https://www.ratedpeople.com/profile/m-and-t-garden-cleaners,ratedpeople,1,
CLAD K SHEETING SERVICES LTD,,Man Woman With A Van,Shildon,,4.5,32,,https://www.ratedpeople.com/profile/clad-k-sheeting-services,ratedpeople,1,
Prestige Painting and Decorating,,Man Woman With A Van,Darwen,,5,28,,https://www.ratedpeople.com/profile/prestige-painting-and-decorating-darwen,ratedpeople,1,
StapleCarpets,,Man Woman With A Van,City,,5,29,07543538404,https://www.ratedpeople.com/profile/staplecarpets,ratedpeople,1,
Greenlands Tree Care Ltd,,Man Woman With A Van,Preston,,5,16,,https://www.ratedpeople.com/profile/greenlands-tree-care,ratedpeople,1,
Yad Painting & Decorating Services,,Man Woman With A Van,Coventry,,5,15,,https://www.ratedpeople.com/profile/yadgar-painting-and-decorating,ratedpeople,1,
MPM McNeil Property Maintenance,,Man Woman With A Van,Carlisle,,5,14,07956339084,https://www.ratedpeople.com/profile/tony-mcneil,ratedpeople,1,
AJ Plastering & Total Renovation,,Man Woman With A Van,Sunderland,,4,9,,https://www.ratedpeople.com/profile/aj-plastering-and-total-renovation,ratedpeople,1,
OG - Make a Move LTD,,Man Woman With A Van,Newcastle Upon Tyne,,4.5,7,,https://www.ratedpeople.com/profile/make-a-move-north-east,ratedpeople,1,
LSB Plastering Services,,Man Woman With A Van,Halifax,,4.5,7,,https://www.ratedpeople.com/profile/lewis-bray,ratedpeople,1,
AW Roofing & Property Services,,Man Woman With A Van,Ushaw Moor,,4.5,6,,https://www.ratedpeople.com/profile/jamie-west,ratedpeople,1,
AB Building and Maintenance,,Man Woman With A Van,Whitley Bay,,5,5,,https://www.ratedpeople.com/profile/ab-building-and-maintenance,ratedpeople,1,
Cas92,,Man Woman With A Van,,,10,3,07423178544,https://www.ratedpeople.com/profile/cas92,ratedpeople,1,
General Logistics Services LTD,,Man Woman With A Van,Bridgwater,,5,3,,https://www.ratedpeople.com/profile/general-logistics-services,ratedpeople,1,
FIFE ROOFING,,Man Woman With A Van,Glenrothes,,5,77,07468418952,https://www.ratedpeople.com/profile/fife-roofing,ratedpeople,1,
Richardson Roofing,,Man Woman With A Van,Kirkcaldy,,5,44,,https://www.ratedpeople.com/profile/richardson-roofing,ratedpeople,1,
Neil Middleton,,Man Woman With A Van,Banchory,,4.5,22,,https://www.ratedpeople.com/profile/neil-middleton,ratedpeople,1,
JJ Walker Property Development,,Man Woman With A Van,Lochgelly,,5,34,07944753688,https://www.ratedpeople.com/profile/jj-property-development,ratedpeople,1,
GDM ROOFING,,Man Woman With A Van,,,10,9,,https://www.ratedpeople.com/profile/gdm-roofing-1,ratedpeople,1,
A & H Home Improvements,,Man Woman With A Van,Wishaw,,4,5,,https://www.ratedpeople.com/profile/a-and-h-home-improvements-wishaw,ratedpeople,1,
Duncan Keir,,Man Woman With A Van,Alford,,3,2,,https://www.ratedpeople.com/profile/duncan-keir,ratedpeople,1,
Van Dad & Van Sons,,Man Woman With A Van,Livingston,,5,1,,https://www.ratedpeople.com/profile/van-dad-and-van-sons,ratedpeople,1,
Rated People,,Man Woman With A Van,London,,0,0,,https://www.ratedpeople.com/profile/rated-people-2647620491143,ratedpeople,1,
Go Pro Roofing,,Man Woman With A Van,Spean Bridge,,0,0,,https://www.ratedpeople.com/profile/william-mcphee,ratedpeople,1,
A&N Home Improvements,,Man Woman With A Van,Motherwell,,0,0,,https://www.ratedpeople.com/profile/a-and-n-home-improvements,ratedpeople,1,
