company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Metal Kitchen Worktops,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Metal Kitchen Worktops,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Metal Kitchen Worktops,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Metal Kitchen Worktops,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Metal Kitchen Worktops,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Cross Kitchens,,Metal Kitchen Worktops,Southampton,,5,157,,https://www.ratedpeople.com/profile/cross-kitchens,ratedpeople,1,
The Ruby Team,,Metal Kitchen Worktops,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
DDS DEVELOPMENT LTD,,Metal Kitchen Worktops,Hornchurch,,5,136,,https://www.ratedpeople.com/profile/dds-development,ratedpeople,1,
Hollywood joinery an maintenance,,Metal Kitchen Worktops,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
Apex Carpentry & Property Maintenance Ltd,,Metal Kitchen Worktops,Maresfield,,5,100,07538950125,https://www.ratedpeople.com/profile/apex-carpentry-and-property-maintenance,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Metal Kitchen Worktops,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
All Jobs Essex,,Metal Kitchen Worktops,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
V.T. BUILDERS,,Metal Kitchen Worktops,Folkestone,,5,79,07800903630,https://www.ratedpeople.com/profile/vt-builders,ratedpeople,1,
midland builders,,Metal Kitchen Worktops,Notts,,5,76,,https://www.ratedpeople.com/profile/midland-builders-mansfield,ratedpeople,1,
Dynos Design,,Metal Kitchen Worktops,High Wycombe,,5,75,,https://www.ratedpeople.com/profile/dynos-design,ratedpeople,1,
Weathertite Constructions,,Metal Kitchen Worktops,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
Alexander Kulpo Projects,,Metal Kitchen Worktops,Esher,,5,73,,https://www.ratedpeople.com/profile/alexander-kulpo-projects,ratedpeople,1,
AA METAL FABRICATION LTD,,Metal Kitchen Worktops,,,10,67,07727656816,https://www.ratedpeople.com/profile/ark7,ratedpeople,1,
