company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Diamonds Cleaning Services Limited,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/diamonds-cleaning-services-limited/0gAq4/,bark,1,
NW Cleaning and Maintenance LTD,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/nw-cleaning-and-maintenance-ltd/Mk3gY/,bark,1,
EasyCleaning&Cia Services,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/easycleaningcia-services/L9kg8/,bark,1,
Phamphy Projects Ltd,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/phamphy-projects-ltd/8LE3R/,bark,1,
Super Made Cleaning Services LTD,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/super-made-cleaning-services-ltd/E66Gl/,bark,1,
Prodigious Cleaners Ltd,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/prodigious-cleaners-ltd/2yodg/,bark,1,
Cosyclean,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/cosyclean/e292Q/,bark,1,
Eco Clean & Fresh,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/eco-clean--fresh/Y9YK9/,bark,1,
Ovens SOS / Oven Master,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/ovens-sos--oven-master/eaO0Q/,bark,1,
Danny's Cleaning Services,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/dannys-cleaning-services/DRDq6/,bark,1,
Cleaning Brokers Services,,Oven Cleaner,,,5,,,https://www.bark.com/en/gb/company/cleaning-brokers-services/Ek8Da/,bark,1,
Lime-Tree cleaners LTD,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/lime-tree-cleaners-ltd/Mk480/,bark,1,
Bonjour Cleaners,,Oven Cleaner,,,5,,,https://www.bark.com/en/gb/company/bonjour-cleaners/adGvG/,bark,1,
Magic Hands Cleaners,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/magic-hands-cleaners/yb1D8/,bark,1,
Leah's Partners in Grime,,Oven Cleaner,,,5,,,https://www.bark.com/en/gb/company/leahs-partners-in-grime/lJBRv/,bark,1,
S&K Cleaning Services,,Oven Cleaner,,,5,,,https://www.bark.com/en/gb/company/sk-cleaning-services/qvY3M/,bark,1,
Blue crystal cleaning solutions,,Oven Cleaner,,,5,,,https://www.bark.com/en/gb/company/blue-crystal-cleaning-solutions/npbE1/,bark,1,
Premium quality cleaning service,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/premium-quality-cleaning-service/1KX4y/,bark,1,
Hither Green Oven Clean,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/hither-green-oven-clean/3Rpm/,bark,1,
Completed Solutions LTD,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/completed-solutions-ltd/BmGl7/,bark,1,
Clean Giant,,Oven Cleaner,,,5,,,https://www.bark.com/en/gb/company/clean-giant/jnVaN/,bark,1,
Teebollz Consulting Limited,,Oven Cleaner,,,,,,https://www.bark.com/en/gb/company/teebollz-consulting-limited/wQklo/,bark,1,
