company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Harrow Plumbing & Harrow Homes maintenance,,Painter Decorator,,,4.8,41,,https://www.myjobquote.co.uk/t/harrow-plumbing-harrow-homes-maintenance | https://www.myjobquote.co.uk/t/harrow-plumbing-harrow-homes-maintenance,myjobquote,1,
Iulian,,Painter Decorator,,,5,33,,https://www.myjobquote.co.uk/t/iulian-11 | https://www.myjobquote.co.uk/t/iulian-11,myjobquote,1,
Blue rose developments ltd,,Painter Decorator,,,5,30,,https://www.myjobquote.co.uk/t/blue-rose-developments-ltd-1 | https://www.myjobquote.co.uk/t/blue-rose-developments-ltd-1,myjobquote,1,
Marry Sunshining Ltd,,Painter Decorator,,,5,25,,https://www.myjobquote.co.uk/t/marry-sunshining-ltd | https://www.myjobquote.co.uk/t/marry-sunshining-ltd,myjobquote,1,
AA PAINTING AND  PLUMBING MAINTENANCE SERVICE,,Painter Decorator,,,5,25,,https://www.myjobquote.co.uk/t/aa-painting-and-plumbing-maintenance-service | https://www.myjobquote.co.uk/t/aa-painting-and-plumbing-maintenance-service,myjobquote,1,
Painter Decorator Services,,Painter Decorator,,,4,23,,https://www.myjobquote.co.uk/t/painter-decorator-services-1 | https://www.myjobquote.co.uk/t/painter-decorator-services-1,myjobquote,1,
HeArtHouse,,Painter Decorator,,,5,22,,https://www.myjobquote.co.uk/t/hearthouse | https://www.myjobquote.co.uk/t/hearthouse,myjobquote,1,
Final Finish,,Painter Decorator,,,5,18,,https://www.myjobquote.co.uk/t/final-finish-1 | https://www.myjobquote.co.uk/t/final-finish-1,myjobquote,1,
Joe The Painter,,Painter Decorator,,,5,17,,https://www.myjobquote.co.uk/t/joe-the-painter-1 | https://www.myjobquote.co.uk/t/joe-the-painter-1,myjobquote,1,
Valentin Painting & Decorating,,Painter Decorator,,,5,17,07418360145,https://www.myjobquote.co.uk/t/valentin-painting-decorating-1 | https://www.myjobquote.co.uk/t/valentin-painting-decorating-1,myjobquote,1,
Winston,,Painter Decorator,,,5,13,,https://www.myjobquote.co.uk/t/winston-3 | https://www.myjobquote.co.uk/t/winston-3,myjobquote,1,
Thusi painting,,Painter Decorator,,,4,9,,https://www.myjobquote.co.uk/t/thusi-painting | https://www.myjobquote.co.uk/t/thusi-painting,myjobquote,1,
Alket’s Colour Drops,,Painter Decorator,,,5,8,,https://www.myjobquote.co.uk/t/alkets-colour-drops | https://www.myjobquote.co.uk/t/alkets-colour-drops,myjobquote,1,
Nicholas Johnson,,Painter Decorator,,,5,6,,https://www.myjobquote.co.uk/t/nicholas-johnson | https://www.myjobquote.co.uk/t/nicholas-johnson,myjobquote,1,
CleverhandsbyPd,,Painter Decorator,,,5,6,07418361115,https://www.myjobquote.co.uk/t/cleverhandsbypd | https://www.myjobquote.co.uk/t/cleverhandsbypd,myjobquote,1,
Future Express,,Painter Decorator,,,5,6,,https://www.myjobquote.co.uk/t/future-express | https://www.myjobquote.co.uk/t/future-express,myjobquote,1,
Apex Decorating,,Painter Decorator,,,5,6,,https://www.myjobquote.co.uk/t/apex-decorating-1 | https://www.myjobquote.co.uk/t/apex-decorating-1,myjobquote,1,
Julianmeza,,Painter Decorator,,,5,5,,https://www.myjobquote.co.uk/t/julianmeza | https://www.myjobquote.co.uk/t/julianmeza,myjobquote,1,
STK Decorating Ltd,,Painter Decorator,,,5,5,07418318581,https://www.myjobquote.co.uk/t/stk-decorating-ltd | https://www.myjobquote.co.uk/t/stk-decorating-ltd,myjobquote,1,
Robin’s painting & decorating services,,Painter Decorator,,,5,5,,https://www.myjobquote.co.uk/t/robins-painting-decorating-services | https://www.myjobquote.co.uk/t/robins-painting-decorating-services,myjobquote,1,
JD Services,,Painter Decorator,,,5,4,,https://www.myjobquote.co.uk/t/jd-services-7 | https://www.myjobquote.co.uk/t/jd-services-7,myjobquote,1,
Painter and Handyman Services,,Painter Decorator,,,5,3,,https://www.myjobquote.co.uk/t/painter-and-handyman-services | https://www.myjobquote.co.uk/t/painter-and-handyman-services,myjobquote,1,
Haka Decorators Ltd,,Painter Decorator,,,5,3,,https://www.myjobquote.co.uk/t/haka-decorators-ltd | https://www.myjobquote.co.uk/t/haka-decorators-ltd,myjobquote,1,
Renova,,Painter Decorator,,,5,3,,https://www.myjobquote.co.uk/t/renova | https://www.myjobquote.co.uk/t/renova,myjobquote,1,
Painter,,Painter Decorator,,,5,2,,https://www.myjobquote.co.uk/t/painter-238 | https://www.myjobquote.co.uk/t/painter-238,myjobquote,1,
Wall Ace Decorators,,Painter Decorator,,,4,2,,https://www.myjobquote.co.uk/t/wall-ace-decorators | https://www.myjobquote.co.uk/t/wall-ace-decorators,myjobquote,1,
AA Decorating,,Painter Decorator,,,5,2,,https://www.myjobquote.co.uk/t/aa-decorating-1 | https://www.myjobquote.co.uk/t/aa-decorating-1,myjobquote,1,
Mario,,Painter Decorator,,,5,2,,https://www.myjobquote.co.uk/t/mario-92 | https://www.myjobquote.co.uk/t/mario-92,myjobquote,1,
Richard the decorator,,Painter Decorator,,,5,2,,https://www.myjobquote.co.uk/t/richard-the-decorator | https://www.myjobquote.co.uk/t/richard-the-decorator,myjobquote,1,
Mks decor,,Painter Decorator,,,5,2,,https://www.myjobquote.co.uk/t/mks-decor | https://www.myjobquote.co.uk/t/mks-decor,myjobquote,1,
Row London Construction LTD,,Painter Decorator,,,5,1,,https://www.myjobquote.co.uk/t/row-london-construction-ltd | https://www.myjobquote.co.uk/t/row-london-construction-ltd,myjobquote,1,
North Decoration,,Painter Decorator,,,5,1,,https://www.myjobquote.co.uk/t/north-decoration-1 | https://www.myjobquote.co.uk/t/north-decoration-1,myjobquote,1,
Piter Painter,,Painter Decorator,,,5,1,,https://www.myjobquote.co.uk/t/piter-painter | https://www.myjobquote.co.uk/t/piter-painter,myjobquote,1,
Gabriel&#039;s art paint,,Painter Decorator,,,5,1,,https://www.myjobquote.co.uk/t/gabriels-art-paint | https://www.myjobquote.co.uk/t/gabriels-art-paint,myjobquote,1,
Steve’s,,Painter Decorator,,,5,1,,https://www.myjobquote.co.uk/t/steves | https://www.myjobquote.co.uk/t/steves,myjobquote,1,
