company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Perspex Protective Screens,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Perspex Protective Screens,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Perspex Protective Screens,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
WH Services,,Perspex Protective Screens,Horsham,,5,351,,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople,1,
Rushymead General Maintenance,,Perspex Protective Screens,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
CFC Ltd.,,Perspex Protective Screens,Bushey,,5,250,,https://www.ratedpeople.com/profile/cfc,ratedpeople,1,
EPRLocksmith,,Perspex Protective Screens,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
RJ Mullan,,Perspex Protective Screens,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Perspex Protective Screens,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Perspex Protective Screens,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
All Time Heating and Plumbing,,Perspex Protective Screens,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Perspex Protective Screens,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Perspex Protective Screens,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Princes Paving and building,,Perspex Protective Screens,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
County Roofing & Building LLP,,Perspex Protective Screens,Bracknell,,5,157,,https://www.ratedpeople.com/profile/county-roofing-and-building-llp,ratedpeople,1,
W & M Home Renovations,,Perspex Protective Screens,Stafford,,5,156,,https://www.ratedpeople.com/profile/wm-homerenovation,ratedpeople,1,
arkadiusz debski,,Perspex Protective Screens,Croydon,,5,155,,https://www.ratedpeople.com/profile/arkadiusz-debski,ratedpeople,1,
Your Property Developers,,Perspex Protective Screens,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Perspex Protective Screens,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Abigail Construction,,Perspex Protective Screens,London,,4.5,134,,https://www.ratedpeople.com/profile/abigail-construction,ratedpeople,1,
Clive Adams,,Perspex Protective Screens,Bristol,,5,387,,https://www.ratedpeople.com/profile/clive-adams,ratedpeople,1,
Top Notch Joinery,,Perspex Protective Screens,Pontypool,,5,369,07561197281,https://www.ratedpeople.com/profile/adam-unwin-carpentry,ratedpeople,1,
LB plastering,,Perspex Protective Screens,Aberdare,,5,322,,https://www.ratedpeople.com/profile/lb-plastering-1,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Perspex Protective Screens,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
DB Home Improvements,,Perspex Protective Screens,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
steve seymour carpentry,,Perspex Protective Screens,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Integrity Plumbing Heating and Gas,,Perspex Protective Screens,Swindon,,4.5,128,07944471799,https://www.ratedpeople.com/profile/trc-plumbing-heating-and-gas,ratedpeople,1,
Jay's Property Maintainance,,Perspex Protective Screens,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Newman & Sons,,Perspex Protective Screens,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Perspex Protective Screens,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
RSM Building Services,,Perspex Protective Screens,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Skyline roofers,,Perspex Protective Screens,Street,,4,96,,https://www.ratedpeople.com/profile/skyline-roofers,ratedpeople,1,
Underwood home improvements an maintenance,,Perspex Protective Screens,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
Chris' Home Services,,Perspex Protective Screens,Chippenham,,5,83,,https://www.ratedpeople.com/profile/chris-home-services,ratedpeople,1,
d lee & sons property maintenance,,Perspex Protective Screens,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
