company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Pizza Oven,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Lockhart Roofing and Brickwork Services,,Pizza Oven,Bracknell,,5,571,,https://www.ratedpeople.com/profile/lockhart-roofing,ratedpeople,1,
Ziyad Construction,,Pizza Oven,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Pizza Oven,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
R&D Construction,,Pizza Oven,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Pizza Oven,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Pizza Oven,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Pizza Oven,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Pizza Oven,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Kaspars Dzenis,,Pizza Oven,Ashford,,5,163,,https://www.ratedpeople.com/profile/kaspars-dzenis,ratedpeople,1,
Morley Gardens,,Pizza Oven,Westerham,,5,174,07415754167,https://www.ratedpeople.com/profile/morleys-lawns,ratedpeople,1,
Princes Paving and building,,Pizza Oven,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
W & M Home Renovations,,Pizza Oven,Stafford,,5,156,,https://www.ratedpeople.com/profile/wm-homerenovation,ratedpeople,1,
JNM CONSTRUCTION SERVICES,,Pizza Oven,Ilford,,5,145,,https://www.ratedpeople.com/profile/jnm-construction-services,ratedpeople,1,
Your Property Developers,,Pizza Oven,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Pizza Oven,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Abigail Construction,,Pizza Oven,London,,4.5,134,,https://www.ratedpeople.com/profile/abigail-construction,ratedpeople,1,
DP Roofing Services,,Pizza Oven,Beckenham,,5,133,,https://www.ratedpeople.com/profile/dp-roofing-services,ratedpeople,1,
DDS DEVELOPMENT LTD,,Pizza Oven,Hornchurch,,5,136,,https://www.ratedpeople.com/profile/dds-development,ratedpeople,1,
Universeal home improvements,,Pizza Oven,Slough,,5,129,,https://www.ratedpeople.com/profile/universeal-home-improvements,ratedpeople,1,
FlowTeck Roofing,,Pizza Oven,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Pizza Oven,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
steve seymour carpentry,,Pizza Oven,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Jay's Property Maintainance,,Pizza Oven,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Pizza Oven,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
RSM Building Services,,Pizza Oven,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Underwood home improvements an maintenance,,Pizza Oven,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
d lee & sons property maintenance,,Pizza Oven,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
Property Renovation&Decorating Services,,Pizza Oven,Watford,,5,199,07448421376,https://www.ratedpeople.com/profile/renovations-painting-watford,ratedpeople,1,
Bristol House Extensions,,Pizza Oven,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Apex Plastering & Building Services,,Pizza Oven,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Pizza Oven,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
MB bricklaying services,,Pizza Oven,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
Newman Plastering,,Pizza Oven,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
P H Plasterers,,Pizza Oven,Cardiff,,5,67,07811966217,https://www.ratedpeople.com/profile/p-h-plasterers,ratedpeople,1,
SERGIU NASALEAN,,Pizza Oven,Cheltenham,,5,65,,https://www.ratedpeople.com/profile/sergiu-nasalean,ratedpeople,1,
Wise E.P.R LTD,,Pizza Oven,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
DW HOME IMPROVEMENTS,,Pizza Oven,Newport,,5,60,07891965802,https://www.ratedpeople.com/profile/dw-carpentry-newport,ratedpeople,1,
R and R services,,Pizza Oven,Bristol,,5,58,,https://www.ratedpeople.com/profile/r-and-r-services-bristol,ratedpeople,1,
Total Building & Maintenance,,Pizza Oven,Chippenham,,5,57,07506730349,https://www.ratedpeople.com/profile/total-building-and-maintenance,ratedpeople,1,
KA Roofing,,Pizza Oven,Auchinleck,,5,386,,https://www.ratedpeople.com/profile/ka-roofing,ratedpeople,1,
TC Property Renovations,,Pizza Oven,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Pizza Oven,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
root2roof property maintenance,,Pizza Oven,Houghton le Spring,,5,122,07849383853,https://www.ratedpeople.com/profile/root2roof-property-maintenance,ratedpeople,1,
Can Construction,,Pizza Oven,Bolton,,5,119,,https://www.ratedpeople.com/profile/can-construction,ratedpeople,1,
SJ Building and Plastering Services,,Pizza Oven,Jarrow,,5,105,07794146812,https://www.ratedpeople.com/profile/sj-plastering-serives,ratedpeople,1,
Ground up Maintenance,,Pizza Oven,Durham,,5,81,07811147249,https://www.ratedpeople.com/profile/ground-up-maintenance,ratedpeople,1,
DMH Contracts,,Pizza Oven,,,10,77,07831214581,https://www.ratedpeople.com/profile/think-heating,ratedpeople,1,
midland builders,,Pizza Oven,Notts,,5,76,,https://www.ratedpeople.com/profile/midland-builders-mansfield,ratedpeople,1,
Roofguard,,Pizza Oven,Harrogate,,5,74,,https://www.ratedpeople.com/profile/roofguard-harrogate,ratedpeople,1,
Weardale Construction,,Pizza Oven,Tyne&wear,,4.5,74,07968966369,https://www.ratedpeople.com/profile/weardale-construction,ratedpeople,1,
Rafal Siemiaszko,,Pizza Oven,Newcastle Upon Tyne,,5,67,,https://www.ratedpeople.com/profile/rafal-siemiaszko,ratedpeople,1,
Buster Construction and Renovations,,Pizza Oven,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
luxury spaces,,Pizza Oven,Dunfermline,,5,136,07763510006,https://www.ratedpeople.com/profile/aaron-montgomery,ratedpeople,1,
J & L WELCH ROOFING & PAVING SERVICES LTD,,Pizza Oven,Durham,,5,53,,https://www.ratedpeople.com/profile/j-w-flat-roofing-specialists,ratedpeople,1,
Main Builder,,Pizza Oven,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
MCM Gardens,,Pizza Oven,Burnhope Court,,5,40,,https://www.ratedpeople.com/profile/mcm-gardens,ratedpeople,1,
A.m property maintenance,,Pizza Oven,Choppington,,5,40,07971713355,https://www.ratedpeople.com/profile/am-property-maintenance-choppington,ratedpeople,1,
M&T Garden cleaners,,Pizza Oven,Newcastle upon Tyne,,5,40,,https://www.ratedpeople.com/profile/m-and-t-garden-cleaners,ratedpeople,1,
mc property maintenance,,Pizza Oven,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
Fraser Scott Roofing and Roughcasting,,Pizza Oven,Kirkcaldy,,5,73,07979885236,https://www.ratedpeople.com/profile/fraser-scott-roofing-and-roughcasting,ratedpeople,1,
Hammerfield Contractors,,Pizza Oven,Stonehaven,,5,31,,https://www.ratedpeople.com/profile/hammerfield-contractors,ratedpeople,1,
Moss & Mortar Solutions,,Pizza Oven,Musselburgh,,5,32,07519746747,https://www.ratedpeople.com/profile/mossandmortarsolutions,ratedpeople,1,
Js roofing and painting,,Pizza Oven,Kelty,,4.5,26,,https://www.ratedpeople.com/profile/js-roofing-and-painting,ratedpeople,1,
Your roofer,,Pizza Oven,,,10,25,,https://www.ratedpeople.com/profile/your-roofer-kirkcaldy,ratedpeople,1,
Neil Middleton,,Pizza Oven,Banchory,,4.5,22,,https://www.ratedpeople.com/profile/neil-middleton,ratedpeople,1,
JJ Walker Property Development,,Pizza Oven,Lochgelly,,5,34,07944753688,https://www.ratedpeople.com/profile/jj-property-development,ratedpeople,1,
Home Repair UK,,Pizza Oven,Motherwell,,5,18,,https://www.ratedpeople.com/profile/home-repair-uk,ratedpeople,1,
Pearl Contracts,,Pizza Oven,Montrose,,5,14,,https://www.ratedpeople.com/profile/pearl-contracts,ratedpeople,1,
Precision Projects Stirling,,Pizza Oven,Falkirk,,5,14,,https://www.ratedpeople.com/profile/wdjoinery,ratedpeople,1,
freshfield builders ltd,,Pizza Oven,Keith,,5,12,,https://www.ratedpeople.com/profile/freshfield-builders,ratedpeople,1,
