company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Plasterer Renderer,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Plasterer Renderer,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Rushymead General Maintenance,,Plasterer Renderer,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
Ziyad Construction,,Plasterer Renderer,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Plasterer Renderer,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Vio\\'s Property Maintenance LTD,,Plasterer Renderer,Leicester,,5,347,07477502628,https://www.ratedpeople.com/profile/vios-property-maintance,ratedpeople,1,
Chameleon Refurbs,,Plasterer Renderer,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Modern Bathrooms LT,,Plasterer Renderer,Gravesend,,5,209,,https://www.ratedpeople.com/profile/modern-living,ratedpeople,1,
RJ Mullan,,Plasterer Renderer,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Plasterer Renderer,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Plasterer Renderer,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Plasterer Renderer,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Jack Henry,,Plasterer Renderer,Glasgow,,4.5,192,,https://www.ratedpeople.com/profile/jack-henry,ratedpeople,1,
Spraytex Exteriors,,Plasterer Renderer,Leeds,,5,199,01134840084,https://www.ratedpeople.com/profile/spraytex,ratedpeople,1,
Black Pearl Flooring,,Plasterer Renderer,Glastonbury,,4.5,179,,https://www.ratedpeople.com/profile/christians-carpets,ratedpeople,1,
