company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
A & L Ever Ready Cleaning & Building Maintenance LTD,,Polished Concrete,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Polished Concrete,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Aaron Construction,,Polished Concrete,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Bespoke Flooring Solutions,,Polished Concrete,London,,5,145,,https://www.ratedpeople.com/profile/bespoke-flooring-solutions,ratedpeople,1,
The Ruby Team,,Polished Concrete,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Polished Concrete,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Polished Concrete,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
Jemeison Elite,,Polished Concrete,London,,5,89,07908772998,https://www.ratedpeople.com/profile/jemeison-elite,ratedpeople,1,
Weathertite Constructions,,Polished Concrete,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
Alexander Kulpo Projects,,Polished Concrete,Esher,,5,73,,https://www.ratedpeople.com/profile/alexander-kulpo-projects,ratedpeople,1,
Andrey's Roofing and Building Services,,Polished Concrete,Harrow,,5,95,07404303656,https://www.ratedpeople.com/profile/andrey-roofing-services,ratedpeople,1,
Aleksandr,,Polished Concrete,London,,4.5,67,,https://www.ratedpeople.com/profile/aleksandr,ratedpeople,1,
Cornel Ilea,,Polished Concrete,,,10,64,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople,1,
goldsmith building services,,Polished Concrete,London,,5,61,07508898727,https://www.ratedpeople.com/profile/goldsmith-building-services,ratedpeople,1,
Peter Build Design,,Polished Concrete,Watford,,4.5,60,07872185662,https://www.ratedpeople.com/profile/peter-build-design,ratedpeople,1,
Billy VS,,Polished Concrete,Northolt,,5,59,07585590911,https://www.ratedpeople.com/profile/the-londesborough,ratedpeople,1,
IMD&G LTD,,Polished Concrete,Cheltenham,,5,53,,https://www.ratedpeople.com/profile/imd-and-g,ratedpeople,1,
J&M HOME IMPROVEMENTS AND CONSTRUCTION UK LIMITED,,Polished Concrete,Hounslow,,5,53,,https://www.ratedpeople.com/profile/jandmhomeimprovementsandconstructionuklimited,ratedpeople,1,
Edgars Constructions Ltd,,Polished Concrete,Wembley,,5,52,07852523230,https://www.ratedpeople.com/profile/all-in-one-handy-services,ratedpeople,1,
kaloci co,,Polished Concrete,Borehamwood,,4.5,52,,https://www.ratedpeople.com/profile/kaloci-co,ratedpeople,1,
