company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Polished Other Plaster Finish,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
ES Electrical & Building Services,,Polished Other Plaster Finish,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Vio\\'s Property Maintenance LTD,,Polished Other Plaster Finish,Leicester,,5,347,07477502628,https://www.ratedpeople.com/profile/vios-property-maintance,ratedpeople,1,
RJ Mullan,,Polished Other Plaster Finish,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Polished Other Plaster Finish,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
Jack Henry,,Polished Other Plaster Finish,Glasgow,,4.5,192,,https://www.ratedpeople.com/profile/jack-henry,ratedpeople,1,
Aaron Construction,,Polished Other Plaster Finish,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Mark Keeley Plastering and Rendering services,,Polished Other Plaster Finish,West Malling,,5,171,,https://www.ratedpeople.com/profile/mark-keeley-plastering-and-rendering-services,ratedpeople,1,
Dec The Plasterer,,Polished Other Plaster Finish,Ockendon,,5,153,,https://www.ratedpeople.com/profile/dec-the-plasterer,ratedpeople,1,
Your Property Developers,,Polished Other Plaster Finish,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Polished Other Plaster Finish,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
SF Plastering,,Polished Other Plaster Finish,Brentwood,,4.5,131,,https://www.ratedpeople.com/profile/sf-plastering-essex,ratedpeople,1,
Clplastering,,Polished Other Plaster Finish,Aldershot,,5,119,,https://www.ratedpeople.com/profile/clplastering,ratedpeople,1,
Perfect Plastering,,Polished Other Plaster Finish,Rochester,,5,115,,https://www.ratedpeople.com/profile/perfect-plastering-benfleet,ratedpeople,1,
Cris,,Polished Other Plaster Finish,CROYDON,,5,109,07703759915,https://www.ratedpeople.com/profile/cris-saffron-walden,ratedpeople,1,
Colours Decoration,,Polished Other Plaster Finish,Portsmouth,,5,105,07903268944,https://www.ratedpeople.com/profile/colours-decoration,ratedpeople,1,
G Greaves Carpentry & Building Services,,Polished Other Plaster Finish,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Kcplastering,,Polished Other Plaster Finish,Welwyn Garden City,,5,99,07817165425,https://www.ratedpeople.com/profile/kcplastering,ratedpeople,1,
Slam Projects,,Polished Other Plaster Finish,Camberley,,5,99,07541631793,https://www.ratedpeople.com/profile/slam-projects,ratedpeople,1,
Spreadwell Plasterers,,Polished Other Plaster Finish,,,10,94,,https://www.ratedpeople.com/profile/spreadwell-2010,ratedpeople,1,
LB plastering,,Polished Other Plaster Finish,Aberdare,,5,322,,https://www.ratedpeople.com/profile/lb-plastering-1,ratedpeople,1,
