company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Pond Water Feature,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
ES Electrical & Building Services,,Pond Water Feature,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Pond Water Feature,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
RJ Mullan,,Pond Water Feature,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
olliver hanrahan,,Pond Water Feature,,,10,194,07861192239,https://www.ratedpeople.com/profile/olliehanrahan,ratedpeople,1,
Aaron Construction,,Pond Water Feature,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Morley Gardens,,Pond Water Feature,Westerham,,5,174,07415754167,https://www.ratedpeople.com/profile/morleys-lawns,ratedpeople,1,
Your Property Developers,,Pond Water Feature,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
Four Seasons Garden Care Services,,Pond Water Feature,,,9,123,,https://www.ratedpeople.com/profile/four-seasons-garden-care-services,ratedpeople,1,
BZ Gardens,,Pond Water Feature,Ash,,5,119,,https://www.ratedpeople.com/profile/bz-gardens,ratedpeople,1,
Hollywood joinery an maintenance,,Pond Water Feature,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
Executive Paving,,Pond Water Feature,London,,5,113,,https://www.ratedpeople.com/profile/executivepaving,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Pond Water Feature,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Pond Water Feature,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Christopher,,Pond Water Feature,South Ockendon,,5,107,07904781412,https://www.ratedpeople.com/profile/christopher-south-ockendon,ratedpeople,1,
Kingpin Groundworks & Gardens,,Pond Water Feature,Nottinghamshire,,5,102,07480833868,https://www.ratedpeople.com/profile/home-improvements-swadlincote,ratedpeople,1,
Plum Building Services LTD,,Pond Water Feature,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
Marcio & Jhonys,,Pond Water Feature,Watford,,4.5,97,,https://www.ratedpeople.com/profile/marcio-and-joao,ratedpeople,1,
mcginleys services,,Pond Water Feature,Reading,,5,93,07919250504,https://www.ratedpeople.com/profile/mcginleys-services,ratedpeople,1,
Pete Mantle Gardens,,Pond Water Feature,London,,5,92,,https://www.ratedpeople.com/profile/pete-mantle-gardens,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Pond Water Feature,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
Smiths & Sons,,Pond Water Feature,Taunton,,5,103,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
New Dawn Gardenlife Ltd,,Pond Water Feature,Virginia Water,,5,82,,https://www.ratedpeople.com/profile/new-dawn-gardenlife,ratedpeople,1,
d lee & sons property maintenance,,Pond Water Feature,Weston-super-Mare,,5,82,,https://www.ratedpeople.com/profile/d-lee-and-sons-property-maintenance,ratedpeople,1,
Third Generation Electrical,,Pond Water Feature,Bristol,,5,80,,https://www.ratedpeople.com/profile/third-generation-electrical,ratedpeople,1,
Bristol House Extensions,,Pond Water Feature,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Pond Water Feature,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
JH Mapp Fencing and Landscaping,,Pond Water Feature,Ebbw Vale,,5,75,,https://www.ratedpeople.com/profile/jhmappfencing,ratedpeople,1,
MB bricklaying services,,Pond Water Feature,Warwickshire,,4.5,70,,https://www.ratedpeople.com/profile/mb-bricklaying-services,ratedpeople,1,
Gudfort fencing,,Pond Water Feature,Hengoed,,5,61,07912312992,https://www.ratedpeople.com/profile/gudfort-fencing,ratedpeople,1,
Pm builders&landscapers,,Pond Water Feature,Caerphilly,,5,57,,https://www.ratedpeople.com/profile/pm-builders-and-landscapers,ratedpeople,1,
Cymraeg Construction,,Pond Water Feature,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
Williams landscapes,,Pond Water Feature,Bristol,,5,55,,https://www.ratedpeople.com/profile/williams-landscapes,ratedpeople,1,
Weagan LTD,,Pond Water Feature,Pontypool,,5,35,,https://www.ratedpeople.com/profile/weagan,ratedpeople,1,
Rhodes Building,,Pond Water Feature,Shurdington,,5,34,,https://www.ratedpeople.com/profile/rhodes-building-and-roofing,ratedpeople,1,
MK1 Services,,Pond Water Feature,Bristol,,5,26,,https://www.ratedpeople.com/profile/mk1-services,ratedpeople,1,
DH Maintenance,,Pond Water Feature,Frome,,5,25,,https://www.ratedpeople.com/profile/dh-maintenance,ratedpeople,1,
SMITHS LANDSCAPE GARDENING SERVICE,,Pond Water Feature,Bridgwater,,5,23,,https://www.ratedpeople.com/profile/ergjnrgg-genetgnetg,ratedpeople,1,
MC Roofing & Landscapes,,Pond Water Feature,Bristol,,5,18,07454697359,https://www.ratedpeople.com/profile/michael-oconnor,ratedpeople,1,
TC Property Renovations,,Pond Water Feature,Road,,5,253,,https://www.ratedpeople.com/profile/tc-joinery,ratedpeople,1,
Ground up Maintenance,,Pond Water Feature,Durham,,5,81,07811147249,https://www.ratedpeople.com/profile/ground-up-maintenance,ratedpeople,1,
JLT Building and Landscapes,,Pond Water Feature,Durham,,5,68,,https://www.ratedpeople.com/profile/jlt-builders,ratedpeople,1,
Buster Construction and Renovations,,Pond Water Feature,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
Main Builder,,Pond Water Feature,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
DP Home Improvements,,Pond Water Feature,Derby,,4.5,42,,https://www.ratedpeople.com/profile/mr-price,ratedpeople,1,
MCM Gardens,,Pond Water Feature,Burnhope Court,,5,40,,https://www.ratedpeople.com/profile/mcm-gardens,ratedpeople,1,
mc property maintenance,,Pond Water Feature,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
fibreglass roof master ltd,,Pond Water Feature,Boston,,5,29,,https://www.ratedpeople.com/profile/fibreglass-roof-master,ratedpeople,1,
ED.SERVICES,,Pond Water Feature,County Durham,,5,27,,https://www.ratedpeople.com/profile/eduart-services,ratedpeople,1,
Benwel Builders,,Pond Water Feature,Newcastle upon Tyne,,4,22,,https://www.ratedpeople.com/profile/benwel-builders,ratedpeople,1,
Baydale Property & Outdoor Services,,Pond Water Feature,Darlington,,5,17,,https://www.ratedpeople.com/profile/baydale-property-and-outdoor-services,ratedpeople,1,
