company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Issa Services,,Porch Specialist,,,4.9,33,,https://www.myjobquote.co.uk/t/issa-services | https://www.myjobquote.co.uk/t/issa-services,myjobquote,1,
L.G building,,Porch Specialist,,,5,2,,https://www.myjobquote.co.uk/t/lg-building-1 | https://www.myjobquote.co.uk/t/lg-building-1,myjobquote,1,
Silver Prism Construction Ltd,,Porch Specialist,,,5,4,,https://www.myjobquote.co.uk/t/silver-prism-construction-ltd | https://www.myjobquote.co.uk/t/silver-prism-construction-ltd,myjobquote,1,
JK Building Services,,Porch Specialist,,,5,4,,https://www.myjobquote.co.uk/t/jk-building-services-2 | https://www.myjobquote.co.uk/t/jk-building-services-2,myjobquote,1,
EK Building Construction,,Porch Specialist,,,5,8,,https://www.myjobquote.co.uk/t/ek-building-construction | https://www.myjobquote.co.uk/t/ek-building-construction,myjobquote,1,
Brentwood bathrooms ltd,,Porch Specialist,,,5,2,,https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd | https://www.myjobquote.co.uk/t/brentwood-bathrooms-ltd,myjobquote,1,
Komfort builders,,Porch Specialist,,,4,1,,https://www.myjobquote.co.uk/t/komfort-builders | https://www.myjobquote.co.uk/t/komfort-builders,myjobquote,1,
Oresti paving &  construction LTD,,Porch Specialist,,,5,5,,https://www.myjobquote.co.uk/t/oresti-paving-construction-ltd | https://www.myjobquote.co.uk/t/oresti-paving-construction-ltd,myjobquote,1,
NLD.London,,Porch Specialist,,,5,3,,https://www.myjobquote.co.uk/t/nldlondon | https://www.myjobquote.co.uk/t/nldlondon,myjobquote,1,
Allan & Sons Renovations Limited,,Porch Specialist,,,5,2,,https://www.myjobquote.co.uk/t/allan-sons-renovations-limited | https://www.myjobquote.co.uk/t/allan-sons-renovations-limited,myjobquote,1,
DFLCONSTRUCTIONSERVICES,,Porch Specialist,,,5,1,,https://www.myjobquote.co.uk/t/dflconstructionservices | https://www.myjobquote.co.uk/t/dflconstructionservices,myjobquote,1,
Tuti Builders,,Porch Specialist,,,5,6,07418340400,https://www.myjobquote.co.uk/t/tuti-builders | https://www.myjobquote.co.uk/t/tuti-builders,myjobquote,1,
Bob Building,,Porch Specialist,,,5,4,,https://www.myjobquote.co.uk/t/bob-building-1 | https://www.myjobquote.co.uk/t/bob-building-1,myjobquote,1,
AJD prooperty investment LTD,,Porch Specialist,,,5,3,,https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd | https://www.myjobquote.co.uk/t/ajd-prooperty-investment-ltd,myjobquote,1,
EWM Design & Build Ltd,,Porch Specialist,,,5,1,,https://www.myjobquote.co.uk/t/ewm-design-build-ltd | https://www.myjobquote.co.uk/t/ewm-design-build-ltd,myjobquote,1,
Todor Tosev,,Porch Specialist,,,5,1,,https://www.myjobquote.co.uk/t/todor-tosev | https://www.myjobquote.co.uk/t/todor-tosev,myjobquote,1,
Idlcontractors,,Porch Specialist,,,5,2,,https://www.myjobquote.co.uk/t/idlcontractors | https://www.myjobquote.co.uk/t/idlcontractors,myjobquote,1,
Supermarioconstraction1984,,Porch Specialist,,,5,9,,https://www.myjobquote.co.uk/t/supermarioconstraction1984 | https://www.myjobquote.co.uk/t/supermarioconstraction1984,myjobquote,1,
