company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
WH Services,,Residential Pest Control,Horsham,,5,351,,https://www.ratedpeople.com/profile/wh-services-horsham,ratedpeople,1,
RJ Mullan,,Residential Pest Control,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Residential Pest Control,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
MM Smooth Constructions,,Residential Pest Control,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
The Ruby Team,,Residential Pest Control,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Jay's Property Maintainance,,Residential Pest Control,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Newman & Sons,,Residential Pest Control,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Residential Pest Control,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
G Greaves Carpentry & Building Services,,Residential Pest Control,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Residential Pest Control,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
KRB Services,,Residential Pest Control,Addlestone,,4.5,84,,https://www.ratedpeople.com/profile/krb-services,ratedpeople,1,
Pestmaster,,Residential Pest Control,London,,5,81,,https://www.ratedpeople.com/profile/pestmaster,ratedpeople,1,
All Jobs Essex,,Residential Pest Control,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
Absolute Plumbing,,Residential Pest Control,,,9,79,07478275040,https://www.ratedpeople.com/profile/absolute-plumbing-borehamwood,ratedpeople,1,
London BS LTD,,Residential Pest Control,Borehamwood,,5,75,,https://www.ratedpeople.com/profile/handyman-service-borehamwood,ratedpeople,1,
Weathertite Constructions,,Residential Pest Control,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
CGM Services,,Residential Pest Control,London,,5,74,,https://www.ratedpeople.com/profile/charlie-morris-services,ratedpeople,1,
Cornel Ilea,,Residential Pest Control,,,10,64,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople,1,
SQUARE MILE CLEANING LIMITED,,Residential Pest Control,London,,5,63,07940349289,https://www.ratedpeople.com/profile/square-mile-cleaning-limited,ratedpeople,1,
Fullerton Property Maintenance,,Residential Pest Control,London,,5,65,07831684633,https://www.ratedpeople.com/profile/fullertonpropertymaintenance,ratedpeople,1,
axis property services,,Residential Pest Control,Mitcheldean,,5,76,,https://www.ratedpeople.com/profile/axis-property-services-mitcheldean,ratedpeople,1,
Krzysztof Kruk,,Residential Pest Control,Frome,,5,42,07739096681,https://www.ratedpeople.com/profile/krzysztof-kruk-frome,ratedpeople,1,
Mike Colwill Contracting,,Residential Pest Control,146 High Street.,,5,30,,https://www.ratedpeople.com/profile/mike-colwill-contracting,ratedpeople,1,
Roof Top Renewables,,Residential Pest Control,Southampton,,5,27,07496074883,https://www.ratedpeople.com/profile/roof-top-renewables,ratedpeople,1,
SMART DRAINZ LTD,,Residential Pest Control,Fordingbridge,,5,20,,https://www.ratedpeople.com/profile/smart-drainz,ratedpeople,1,
John Dyer,,Residential Pest Control,Crowthorne,,5,12,,https://www.ratedpeople.com/profile/john-dyer,ratedpeople,1,
Callum Pine,,Residential Pest Control,Caerphilly,,4.5,12,,https://www.ratedpeople.com/profile/callum-pine,ratedpeople,1,
Tengu-Service LTD,,Residential Pest Control,Dursley,,5,7,,https://www.ratedpeople.com/profile/tengu-service,ratedpeople,1,
FIVE STAR FENCING & LANDSCAPING,,Residential Pest Control,Southery,,5,13,,https://www.ratedpeople.com/profile/five-star-fencing-and-landscaping,ratedpeople,1,
Exterior Renovations Bristol,,Residential Pest Control,Bristol,,5,31,,https://www.ratedpeople.com/profile/jropermaintenaeadsd,ratedpeople,1,
Platinum Pest Control,,Residential Pest Control,Bristol,,5,5,,https://www.ratedpeople.com/profile/chris-goding,ratedpeople,1,
Plasterwise,,Residential Pest Control,Gloucestershire,,4,5,,https://www.ratedpeople.com/profile/peters-construction,ratedpeople,1,
WESBROOK DESIGN & BUILD,,Residential Pest Control,Bristol,,5,2,,https://www.ratedpeople.com/profile/wesbrook-design-and-build,ratedpeople,1,
Rated People,,Residential Pest Control,London,,0,0,,https://www.ratedpeople.com/profile/rated-people-2647620491143,ratedpeople,1,
Mr Fixit Roofing & Property Maintenance,,Residential Pest Control,Warminster,,5,1,,https://www.ratedpeople.com/profile/charlie-barney,ratedpeople,1,
LD & Sons Roofing LTD,,Residential Pest Control,Worcester Park,,0,0,,https://www.ratedpeople.com/profile/ld-and-sons-roofing,ratedpeople,1,
Martelette & Son's Carpentry & Fencing,,Residential Pest Control,Cardiff,,5,4,,https://www.ratedpeople.com/profile/aaaaaaaasddddfffg,ratedpeople,1,
Ground up Maintenance,,Residential Pest Control,Durham,,5,81,07811147249,https://www.ratedpeople.com/profile/ground-up-maintenance,ratedpeople,1,
Buster Construction and Renovations,,Residential Pest Control,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
mc property maintenance,,Residential Pest Control,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
Home Build,,Residential Pest Control,Worksop,,5,27,,https://www.ratedpeople.com/profile/home-build-worksop,ratedpeople,1,
Benwel Builders,,Residential Pest Control,Newcastle upon Tyne,,4,22,,https://www.ratedpeople.com/profile/benwel-builders,ratedpeople,1,
SCAN A DRAIN,,Residential Pest Control,Mexborough,,5,14,,https://www.ratedpeople.com/profile/scan-a-drain-mexborough,ratedpeople,1,
AW Roofing & Property Services,,Residential Pest Control,Ushaw Moor,,4.5,6,,https://www.ratedpeople.com/profile/jamie-west,ratedpeople,1,
CJ Roofing,,Residential Pest Control,,,10,1,,https://www.ratedpeople.com/profile/cj-roofing-morpeth,ratedpeople,1,
JG Roofing,,Residential Pest Control,Preston,,1,1,,https://www.ratedpeople.com/profile/jg-roofing-preston,ratedpeople,1,
A&N Home Improvements,,Residential Pest Control,Motherwell,,0,0,,https://www.ratedpeople.com/profile/a-and-n-home-improvements,ratedpeople,1,
Neil Middleton,,Residential Pest Control,Banchory,,4.5,22,,https://www.ratedpeople.com/profile/neil-middleton,ratedpeople,1,
