company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Scaffolding,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Scaffolding,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
L Pickard Roofing,,Scaffolding,Enfield,,5,299,07738596941,https://www.ratedpeople.com/profile/l-pickard-roofing,ratedpeople,1,
ES Electrical & Building Services,,Scaffolding,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Scaffolding,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Smith & Sons,,Scaffolding,Ka245jh,,5,231,07479071969,https://www.ratedpeople.com/profile/bill-smith-maintainance,ratedpeople,1,
S&C Cleaning Services,,Scaffolding,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Scaffolding,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Scaffolding,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Scaffolding,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
The Ruby Team,,Scaffolding,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Banks Roofing Solutions,,Scaffolding,,,10,110,,https://www.ratedpeople.com/profile/banks-roofing,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Scaffolding,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Oliver Deyoung,,Scaffolding,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
AKONI CONSTRUCTION LTD,,Scaffolding,Oxford,,5,112,,https://www.ratedpeople.com/profile/akoni-construction,ratedpeople,1,
Home improvements specialist Ltd,,Scaffolding,Ilford,,5,102,07780096111,https://www.ratedpeople.com/profile/a-painter-near-you,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Scaffolding,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
Absolute Plumbing,,Scaffolding,,,9,79,07478275040,https://www.ratedpeople.com/profile/absolute-plumbing-borehamwood,ratedpeople,1,
London BS LTD,,Scaffolding,Borehamwood,,5,75,,https://www.ratedpeople.com/profile/handyman-service-borehamwood,ratedpeople,1,
Weathertite Constructions,,Scaffolding,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Scaffolding,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
Underwood home improvements an maintenance,,Scaffolding,Bristol,,5,90,,https://www.ratedpeople.com/profile/underwood-home-improvements-an-maintenance,ratedpeople,1,
P H Plasterers,,Scaffolding,Cardiff,,5,67,07811966217,https://www.ratedpeople.com/profile/p-h-plasterers,ratedpeople,1,
Wise E.P.R LTD,,Scaffolding,Stroud,,4.5,63,,https://www.ratedpeople.com/profile/plumbwise,ratedpeople,1,
Top Tier Roofing & Maintenance,,Scaffolding,Slough,,5,63,07342380771,https://www.ratedpeople.com/profile/top-tier-roofing-maintenance,ratedpeople,1,
Rafferty Roofing Ltd,,Scaffolding,Cheltenham,,5,58,,https://www.ratedpeople.com/profile/rafferty-roofing-,ratedpeople,1,
Cymraeg Construction,,Scaffolding,Blackwood,,4.5,58,07498190215,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople,1,
Cutting Edge Carpentry,,Scaffolding,Ilminster,,5,34,,https://www.ratedpeople.com/profile/cuttingedgecarpentry,ratedpeople,1,
JMG Roofing,,Scaffolding,Newport,,5,32,,https://www.ratedpeople.com/profile/jmg-roofing,ratedpeople,1,
GSR Construction,,Scaffolding,Bridgend,,5,32,07521665093,https://www.ratedpeople.com/profile/gareth-ampm,ratedpeople,1,
Mike Colwill Contracting,,Scaffolding,146 High Street.,,5,30,,https://www.ratedpeople.com/profile/mike-colwill-contracting,ratedpeople,1,
MARSHALL HEATING SOLUTIONS LTD,,Scaffolding,Cardiff,,4.5,30,,https://www.ratedpeople.com/profile/marshall-heating-solutions-ltd,ratedpeople,1,
Cambrian Roofing LTD,,Scaffolding,Tonypandy,,4.5,26,,https://www.ratedpeople.com/profile/cambrian-roofing,ratedpeople,1,
DH Maintenance,,Scaffolding,Frome,,5,25,,https://www.ratedpeople.com/profile/dh-maintenance,ratedpeople,1,
sos.build,,Scaffolding,Caerphilly,,4.5,18,,https://www.ratedpeople.com/profile/sosbuild,ratedpeople,1,
Rynik Carpentry & Building Ltd,,Scaffolding,Merthyr Tydfil,,4.5,13,,https://www.ratedpeople.com/profile/rynik-carpentry-and-building,ratedpeople,1,
GMS,,Scaffolding,Holywell,,5,11,,https://www.ratedpeople.com/profile/g-mealor-and-son,ratedpeople,1,
youloveyourhome.co.uk,,Scaffolding,Bath,,5,9,,https://www.ratedpeople.com/profile/youloveyourhomecouk,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Scaffolding,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
SB Construction,,Scaffolding,Sunderland,,5,85,,https://www.ratedpeople.com/profile/sb-construction-sunderland,ratedpeople,1,
J & L WELCH ROOFING & PAVING SERVICES LTD,,Scaffolding,Durham,,5,53,,https://www.ratedpeople.com/profile/j-w-flat-roofing-specialists,ratedpeople,1,
Main Builder,,Scaffolding,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
mc property maintenance,,Scaffolding,County Durham,,4.5,41,07762204783,https://www.ratedpeople.com/profile/mc-property-maintenance-durham,ratedpeople,1,
Benwel Builders,,Scaffolding,Newcastle upon Tyne,,4,22,,https://www.ratedpeople.com/profile/benwel-builders,ratedpeople,1,
Michael Cookson Roofing,,Scaffolding,Sunderland,,5,17,,https://www.ratedpeople.com/profile/michael-cookson-roofing,ratedpeople,1,
Home Repair UK,,Scaffolding,Motherwell,,5,18,,https://www.ratedpeople.com/profile/home-repair-uk,ratedpeople,1,
AB Building and Maintenance,,Scaffolding,Whitley Bay,,5,5,,https://www.ratedpeople.com/profile/ab-building-and-maintenance,ratedpeople,1,
Pure Green roofing & Solar limited,,Scaffolding,York,,5,5,,https://www.ratedpeople.com/profile/laura-cowgill,ratedpeople,1,
Alexandra Builders (NE) Limited,,Scaffolding,Houghton le Spring,,4.5,4,,https://www.ratedpeople.com/profile/alexandra-builders-ne-limited,ratedpeople,1,
