company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Security Grill,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
EPRLocksmith,,Security Grill,Ashford,,5,212,07454482395,https://www.ratedpeople.com/profile/eprlocksmith,ratedpeople,1,
RJ Mullan,,Security Grill,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
MM Smooth Constructions,,Security Grill,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Aaron Construction,,Security Grill,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Your Property Developers,,Security Grill,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Security Grill,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
Hollywood joinery an maintenance,,Security Grill,England,,5,113,,https://www.ratedpeople.com/profile/hollywood-joinery-an-maintenance,ratedpeople,1,
G Greaves Carpentry & Building Services,,Security Grill,London,,4.5,101,07445766420,https://www.ratedpeople.com/profile/ggreaves-carpentry,ratedpeople,1,
Jemeison Elite,,Security Grill,London,,5,89,07908772998,https://www.ratedpeople.com/profile/jemeison-elite,ratedpeople,1,
Weathertite Constructions,,Security Grill,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
AA METAL FABRICATION LTD,,Security Grill,,,10,67,07727656816,https://www.ratedpeople.com/profile/ark7,ratedpeople,1,
Andrey's Roofing and Building Services,,Security Grill,Harrow,,5,95,07404303656,https://www.ratedpeople.com/profile/andrey-roofing-services,ratedpeople,1,
Cornel Ilea,,Security Grill,,,10,64,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople,1,
goldsmith building services,,Security Grill,London,,5,61,07508898727,https://www.ratedpeople.com/profile/goldsmith-building-services,ratedpeople,1,
TIMI DECS LTD,,Security Grill,Aylesbury,,5,59,,https://www.ratedpeople.com/profile/constantin-tiberiu-halangescu,ratedpeople,1,
STBS SOLUTIONS LTD,,Security Grill,LONDON,,5,51,,https://www.ratedpeople.com/profile/stbs-solutions,ratedpeople,1,
Urbanfix,,Security Grill,,,10,49,07951113478,https://www.ratedpeople.com/profile/urbanfix,ratedpeople,1,
Your Local Mainteance Team LTd,,Security Grill,Horley,,5,48,,https://www.ratedpeople.com/profile/your-local-mainteance-team,ratedpeople,1,
