company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
RJ Mullan,,Solar Panel Cleaning Repair,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
Aaron Construction,,Solar Panel Cleaning Repair,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Miyard Ltd,,Solar Panel Cleaning Repair,Bromley,,5,105,,https://www.ratedpeople.com/profile/miyard,ratedpeople,1,
Skilled Electrical & IT,,Solar Panel Cleaning Repair,Luton,,5,116,07538864373,https://www.ratedpeople.com/profile/skilled-electrical-and-it,ratedpeople,1,
KRB Services,,Solar Panel Cleaning Repair,Addlestone,,4.5,84,,https://www.ratedpeople.com/profile/krb-services,ratedpeople,1,
Tsakonas Electrical Services,,Solar Panel Cleaning Repair,Potters Bar,,5,80,,https://www.ratedpeople.com/profile/tsakonas-electrical-services,ratedpeople,1,
Andrey's Roofing and Building Services,,Solar Panel Cleaning Repair,Harrow,,5,95,07404303656,https://www.ratedpeople.com/profile/andrey-roofing-services,ratedpeople,1,
Young Gas And Oil LTD,,Solar Panel Cleaning Repair,Nantwich,,4.5,64,,https://www.ratedpeople.com/profile/young-gas-and-oil,ratedpeople,1,
Flow Electrical and Security,,Solar Panel Cleaning Repair,MAIDSTONE,,5,62,07535849935,https://www.ratedpeople.com/profile/flow-electrical-and-security,ratedpeople,1,
We Fix Roofs,,Solar Panel Cleaning Repair,Maldon,,5,52,07931323468,https://www.ratedpeople.com/profile/we-fix-roofs,ratedpeople,1,
IVZ Roofing,,Solar Panel Cleaning Repair,London,,5,51,,https://www.ratedpeople.com/profile/eren-fehim,ratedpeople,1,
City Wide Roofing,,Solar Panel Cleaning Repair,Bromley,,5,41,,https://www.ratedpeople.com/profile/highgrade-roofing-bromley,ratedpeople,1,
J and J Building Construction,,Solar Panel Cleaning Repair,London,,5,34,,https://www.ratedpeople.com/profile/j-and-j-building-construction,ratedpeople,1,
Roof Top Renewables,,Solar Panel Cleaning Repair,Southampton,,5,27,07496074883,https://www.ratedpeople.com/profile/roof-top-renewables,ratedpeople,1,
Trident electrical group LTD,,Solar Panel Cleaning Repair,Uxbridge,,5,26,,https://www.ratedpeople.com/profile/trident-electrical-group-,ratedpeople,1,
Homek LTD,,Solar Panel Cleaning Repair,Bury,,5,26,07549885333,https://www.ratedpeople.com/profile/homek,ratedpeople,1,
Ciprian Construction Ltd,,Solar Panel Cleaning Repair,Watford,,5,30,07721521078,https://www.ratedpeople.com/profile/ciprian-construction,ratedpeople,1,
Roofing Eco Solutions,,Solar Panel Cleaning Repair,Clacton-on-Sea,,4.5,23,07760580371,https://www.ratedpeople.com/profile/wy-and-ty-roofing,ratedpeople,1,
Teodor Services Multi Trade,,Solar Panel Cleaning Repair,,,10,17,07895891679,https://www.ratedpeople.com/profile/teodor-services-multi-trade,ratedpeople,1,
LM Home Maintenance,,Solar Panel Cleaning Repair,London,,5,15,,https://www.ratedpeople.com/profile/levente-marton,ratedpeople,1,
Fuse Electrical Services,,Solar Panel Cleaning Repair,Brecon,,5,159,07966371707,https://www.ratedpeople.com/profile/fuse-electrical-services-brecon,ratedpeople,1,
Roof & Electrical Technicians,,Solar Panel Cleaning Repair,Bridgend,,4.5,84,,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople,1,
Bee Gas Safe,,Solar Panel Cleaning Repair,Chepstow,,5,26,,https://www.ratedpeople.com/profile/bee-gas-safe,ratedpeople,1,
Light Work,,Solar Panel Cleaning Repair,,,10,11,,https://www.ratedpeople.com/profile/jamie-flagg,ratedpeople,1,
I Basden Plumbing and Heating LTD,,Solar Panel Cleaning Repair,Ross-on-wye,,5,11,,https://www.ratedpeople.com/profile/ian-basden,ratedpeople,1,
Emerson Electrical & Building Services,,Solar Panel Cleaning Repair,Weston-super-Mare,,5,9,,https://www.ratedpeople.com/profile/avon-alliance,ratedpeople,1,
Paragon electrical,,Solar Panel Cleaning Repair,Plymouth,,5,4,,https://www.ratedpeople.com/profile/paragon-electrical-plymouth,ratedpeople,1,
S&M Property Maintenance,,Solar Panel Cleaning Repair,Sutton-in-ashfield,,3,3,07770549283,https://www.ratedpeople.com/profile/s-and-m-property-maintenance-irvine,ratedpeople,1,
Immaculate Improvements LTD,,Solar Panel Cleaning Repair,Romford,,5,1,,https://www.ratedpeople.com/profile/immaculate-improvements,ratedpeople,1,
CDL Building & Carpentry Ltd,,Solar Panel Cleaning Repair,Swansea,,5,1,01792447747,https://www.ratedpeople.com/profile/cdl-building-and-carpentry-swansea,ratedpeople,1,
EASY RENEWABLES SERVICES LTD,,Solar Panel Cleaning Repair,Bridgwater,,0,0,,https://www.ratedpeople.com/profile/easy-renewables-services,ratedpeople,1,
Solar Systems,,Solar Panel Cleaning Repair,Poole,,0,0,,https://www.ratedpeople.com/profile/solar-systems,ratedpeople,1,
LD & Sons Roofing LTD,,Solar Panel Cleaning Repair,Worcester Park,,0,0,,https://www.ratedpeople.com/profile/ld-and-sons-roofing,ratedpeople,1,
leos external clean,,Solar Panel Cleaning Repair,Bristol,,0,0,,https://www.ratedpeople.com/profile/leos-external-clean,ratedpeople,1,
All Deck Commercial Contractors,,Solar Panel Cleaning Repair,Caerphilly,,0,0,,https://www.ratedpeople.com/profile/lp-electrical-services-tredegar,ratedpeople,1,
NTRT Electrical and Construction Ltd,,Solar Panel Cleaning Repair,Belmont Business Park,,5,133,07453379223,https://www.ratedpeople.com/profile/nikolaos-tatos,ratedpeople,1,
Home Build,,Solar Panel Cleaning Repair,Worksop,,5,27,,https://www.ratedpeople.com/profile/home-build-worksop,ratedpeople,1,
PurelyPowered Ltd,,Solar Panel Cleaning Repair,Preston,,5,6,,https://www.ratedpeople.com/profile/purelypowered-,ratedpeople,1,
Total Roofing & Solar LTD,,Solar Panel Cleaning Repair,County Durham,,2.5,3,,https://www.ratedpeople.com/profile/total-roofing-and-solar,ratedpeople,1,
Heatio,,Solar Panel Cleaning Repair,Liverpool,,0,0,07738055554,https://www.ratedpeople.com/profile/heatio,ratedpeople,1,
Pristine Roofing & Property Maintenance,,Solar Panel Cleaning Repair,Falkirk,,4.5,8,,https://www.ratedpeople.com/profile/pristine-roofing-and-property-maintenance,ratedpeople,1,
Proline Assembly Services,,Solar Panel Cleaning Repair,Glasgow,,5,4,,https://www.ratedpeople.com/profile/prolinetiling,ratedpeople,1,
