company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
D&S Plumbing and Heating Services,,Solar Panel Installation,Uxbridge,,5,819,07737716360,https://www.ratedpeople.com/profile/d-s-plumbing-and-building,ratedpeople,1,
Cn Construction&Gardening Ltd,,Solar Panel Installation,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Solar Panel Installation,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
K Marsh Plumbing & Heating LTD,,Solar Panel Installation,Mitcham,,4.5,518,07776027235,https://www.ratedpeople.com/profile/k-marsh-plumbing-and-heating,ratedpeople,1,
Nick Plumbing,,Solar Panel Installation,Morden,,5,317,,https://www.ratedpeople.com/profile/nick-plumbing,ratedpeople,1,
ElectricFix Science Ltd,,Solar Panel Installation,London,,5,263,07833231034,https://www.ratedpeople.com/profile/electricfix-science,ratedpeople,1,
Plumb London,,Solar Panel Installation,Pinner,,4.5,209,,https://www.ratedpeople.com/profile/heating-engineers-london-limited,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Solar Panel Installation,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
All Time Heating and Plumbing,,Solar Panel Installation,Uxbridge,,5,193,,https://www.ratedpeople.com/profile/jack-cooper,ratedpeople,1,
Aaron Construction,,Solar Panel Installation,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
DPS Gas Works Plumbing & Heating,,Solar Panel Installation,Bedford,,4.5,168,,https://www.ratedpeople.com/profile/dps-gas-works-plumbing-and-heating,ratedpeople,1,
SMALL STONE MAINTENANCE SERVICES,,Solar Panel Installation,London,,5,168,07956840625,https://www.ratedpeople.com/profile/abdul-mumit,ratedpeople,1,
Hey Plumber,,Solar Panel Installation,Greater London,,5,207,07898417544,https://www.ratedpeople.com/profile/fadi-jameel,ratedpeople,1,
FLETCHERS HEATING SERVICES,,Solar Panel Installation,Braintree,,5,154,,https://www.ratedpeople.com/profile/fletchers-heating-services,ratedpeople,1,
The Ruby Team,,Solar Panel Installation,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
JSF PHD,,Solar Panel Installation,Bourne,,5,133,07548831206,https://www.ratedpeople.com/profile/james-faulker,ratedpeople,1,
D.L. Plumbing Services,,Solar Panel Installation,Colchester,,5,125,,https://www.ratedpeople.com/profile/drl-plumbing-services,ratedpeople,1,
MSM Plumbing Heating and Gas,,Solar Panel Installation,London,,5,118,07931256757,https://www.ratedpeople.com/profile/msm-plumbing-heating-and-gas,ratedpeople,1,
Cris,,Solar Panel Installation,CROYDON,,5,109,07703759915,https://www.ratedpeople.com/profile/cris-saffron-walden,ratedpeople,1,
GUTTER REPAIRS AND PLUMBING SOLUTIONS LTD,,Solar Panel Installation,Bournemouth,,4.5,106,,https://www.ratedpeople.com/profile/gutter-repairs-and-plumbing-solutions,ratedpeople,1,
Fuse Electrical Services,,Solar Panel Installation,Brecon,,5,159,07966371707,https://www.ratedpeople.com/profile/fuse-electrical-services-brecon,ratedpeople,1,
MD Maintenance solutions,,Solar Panel Installation,Bristol,,5,151,07533136592,https://www.ratedpeople.com/profile/md-maintenance-solutions,ratedpeople,1,
Hayes plumbing and Property services,,Solar Panel Installation,Bridgend,,5,144,,https://www.ratedpeople.com/profile/hayes-plumbing-and-property-services,ratedpeople,1,
Integrity Plumbing Heating and Gas,,Solar Panel Installation,Swindon,,4.5,128,07944471799,https://www.ratedpeople.com/profile/trc-plumbing-heating-and-gas,ratedpeople,1,
MMP Gas,,Solar Panel Installation,New Tredegar,,5,106,,https://www.ratedpeople.com/profile/morgan-plant,ratedpeople,1,
Rowland Heating,,Solar Panel Installation,Wolverhampton,,4.5,96,,https://www.ratedpeople.com/profile/rowland-heating,ratedpeople,1,
Webb Heating services,,Solar Panel Installation,Pontypool,,4.5,91,,https://www.ratedpeople.com/profile/webb-heating-services,ratedpeople,1,
Ayres Plumbing Solutions,,Solar Panel Installation,Bristol,,5,85,07701060390,https://www.ratedpeople.com/profile/ayresplumbingsolutions,ratedpeople,1,
Roof & Electrical Technicians,,Solar Panel Installation,Bridgend,,4.5,84,,https://www.ratedpeople.com/profile/advanced-management-services,ratedpeople,1,
Bristol House Extensions,,Solar Panel Installation,Bristol,,5,79,07576561625,https://www.ratedpeople.com/profile/bristol-house-extensions,ratedpeople,1,
Tsakonas Electrical Services,,Solar Panel Installation,Potters Bar,,5,80,,https://www.ratedpeople.com/profile/tsakonas-electrical-services,ratedpeople,1,
HFM Services,,Solar Panel Installation,Llanelli,,5,72,,https://www.ratedpeople.com/profile/hfmservices,ratedpeople,1,
RightFit Redevelopments,,Solar Panel Installation,Hengoed,,5,68,,https://www.ratedpeople.com/profile/jp-plumbing-solutions,ratedpeople,1,
