company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Sound Proofing,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
wood doctor,,Sound Proofing,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
ES Electrical & Building Services,,Sound Proofing,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Sound Proofing,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Sound Proofing,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Sound Proofing,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Sound Proofing,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Sound Proofing,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Sound Proofing,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Your Property Developers,,Sound Proofing,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Sound Proofing,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Oliver Deyoung,,Sound Proofing,Camberley,,5,106,,https://www.ratedpeople.com/profile/lt-construction-ashford,ratedpeople,1,
MH Electrical & Property Services,,Sound Proofing,Clacton-on-sea,,5,95,,https://www.ratedpeople.com/profile/mh-electrical-property-services,ratedpeople,1,
Home improvements specialist Ltd,,Sound Proofing,Ilford,,5,102,07780096111,https://www.ratedpeople.com/profile/a-painter-near-you,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Sound Proofing,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
DW Plastering Services,,Sound Proofing,Houghton Regis,,4.5,89,07711224566,https://www.ratedpeople.com/profile/dw-plastering-services-eastern,ratedpeople,1,
All Jobs Essex,,Sound Proofing,Stebbing  Dunmow Essex,,4.5,80,,https://www.ratedpeople.com/profile/all-jobs-essex,ratedpeople,1,
Absolute Plumbing,,Sound Proofing,,,9,79,07478275040,https://www.ratedpeople.com/profile/absolute-plumbing-borehamwood,ratedpeople,1,
Weathertite Constructions,,Sound Proofing,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
M&P Plastering and Rendering services,,Sound Proofing,Harrow,,5,74,,https://www.ratedpeople.com/profile/m-and-p-builders,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Sound Proofing,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
RSM Building Services,,Sound Proofing,Bristol,,4.5,99,,https://www.ratedpeople.com/profile/rsm-bristol,ratedpeople,1,
Southwest Plastering & Building Services,,Sound Proofing,Exeter,,5,91,07426524789,https://www.ratedpeople.com/profile/capital-plastering,ratedpeople,1,
