company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
ES Electrical & Building Services,,Specialist Removals,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Specialist Removals,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
RJ Mullan,,Specialist Removals,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Specialist Removals,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Specialist Removals,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
MM Smooth Constructions,,Specialist Removals,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
Swiftz Removals,,Specialist Removals,London,,5,140,,https://www.ratedpeople.com/profile/swiftzremovals,ratedpeople,1,
Correct Window and Door Repairs Ltd,,Specialist Removals,,,10,121,,https://www.ratedpeople.com/profile/correct-window-repairs,ratedpeople,1,
Riverside Property Services,,Specialist Removals,Morden,,5,118,,https://www.ratedpeople.com/profile/riverside-property-services-morden,ratedpeople,1,
KO Logistics Ltd,,Specialist Removals,Mitcham,,5,113,,https://www.ratedpeople.com/profile/ko-logistics,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Specialist Removals,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
All counties contractors,,Specialist Removals,Yateley,,5,111,,https://www.ratedpeople.com/profile/all-counties-contractors,ratedpeople,1,
Plum Building Services LTD,,Specialist Removals,Welling,,5,99,07984190655,https://www.ratedpeople.com/profile/plum-property-services-limited,ratedpeople,1,
KINGZ LANDSCAPES LTD,,Specialist Removals,Colchester,,4.5,111,07360075562,https://www.ratedpeople.com/profile/rbs-landscapes,ratedpeople,1,
Sydney Beam Full House Maintenance and Refurbishment,,Specialist Removals,Dartford,,5,91,,https://www.ratedpeople.com/profile/sidney-beam-service-maintenance,ratedpeople,1,
Greenstone krzysztof Wlodarczyk,,Specialist Removals,London,,5,86,,https://www.ratedpeople.com/profile/greenstone-1,ratedpeople,1,
Kent supreme heating ltd,,Specialist Removals,Bexleyheath,,5,79,,https://www.ratedpeople.com/profile/kent-supreme-heating,ratedpeople,1,
Weathertite Constructions,,Specialist Removals,West Molesey,,4.5,77,,https://www.ratedpeople.com/profile/weathertite-constructions,ratedpeople,1,
CGM Services,,Specialist Removals,London,,5,74,,https://www.ratedpeople.com/profile/charlie-morris-services,ratedpeople,1,
Cornel Ilea,,Specialist Removals,,,10,64,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Specialist Removals,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
Smiths & Sons,,Specialist Removals,Taunton,,5,103,07563276132,https://www.ratedpeople.com/profile/b-and-p-landscape-gardening,ratedpeople,1,
Apex Plastering & Building Services,,Specialist Removals,LLANELLI,,5,76,,https://www.ratedpeople.com/profile/apex-plastering-and-building-services,ratedpeople,1,
Father\\'s House Carpentry/Painting & Decorating Services,,Specialist Removals,Bath,,5,76,07504088436,https://www.ratedpeople.com/profile/fathers-house-carpentry,ratedpeople,1,
Newman Plastering,,Specialist Removals,Bristol,,5,68,07588770040,https://www.ratedpeople.com/profile/newman-plastering,ratedpeople,1,
GSR Construction,,Specialist Removals,Bridgend,,5,32,07521665093,https://www.ratedpeople.com/profile/gareth-ampm,ratedpeople,1,
JK Builders & Plant Hire LTD,,Specialist Removals,Trowbridge,,5,29,,https://www.ratedpeople.com/profile/youngs-general-building,ratedpeople,1,
Leo Removals,,Specialist Removals,Spalding,,5,29,07307083919,https://www.ratedpeople.com/profile/leo-removals,ratedpeople,1,
Edward Margai,,Specialist Removals,London,,4.5,16,,https://www.ratedpeople.com/profile/edward-margai,ratedpeople,1,
Yad Painting & Decorating Services,,Specialist Removals,Coventry,,5,15,,https://www.ratedpeople.com/profile/yadgar-painting-and-decorating,ratedpeople,1,
CW Services,,Specialist Removals,Wellington,,5,12,07543443895,https://www.ratedpeople.com/profile/summer-and-winters-gardening,ratedpeople,1,
Callum Pine,,Specialist Removals,Caerphilly,,4.5,12,,https://www.ratedpeople.com/profile/callum-pine,ratedpeople,1,
S C Building & Landscaping Services,,Specialist Removals,Caerphilly,,5,11,07498022387,https://www.ratedpeople.com/profile/swift-home-and-landscape-shayne,ratedpeople,1,
FAST RESPONSE SERVICES LTD,,Specialist Removals,London,,5,9,,https://www.ratedpeople.com/profile/fast-response-services,ratedpeople,1,
youloveyourhome.co.uk,,Specialist Removals,Bath,,5,9,,https://www.ratedpeople.com/profile/youloveyourhomecouk,ratedpeople,1,
Recycle and Restart,,Specialist Removals,Caerphilly,,5,9,,https://www.ratedpeople.com/profile/recycle-and-restart,ratedpeople,1,
A-Z Movers and Couriers,,Specialist Removals,Bolton,,5,101,,https://www.ratedpeople.com/profile/a-z-movers-and-couriers,ratedpeople,1,
Buster Construction and Renovations,,Specialist Removals,Biggar,,5,60,07517633213,https://www.ratedpeople.com/profile/buster-construction-and-renovations,ratedpeople,1,
Main Builder,,Specialist Removals,Dumfries,,5,46,07846279269,https://www.ratedpeople.com/profile/main-builder,ratedpeople,1,
CLAD K SHEETING SERVICES LTD,,Specialist Removals,Shildon,,4.5,32,,https://www.ratedpeople.com/profile/clad-k-sheeting-services,ratedpeople,1,
Prestige Painting and Decorating,,Specialist Removals,Darwen,,5,28,,https://www.ratedpeople.com/profile/prestige-painting-and-decorating-darwen,ratedpeople,1,
StapleCarpets,,Specialist Removals,City,,5,29,07543538404,https://www.ratedpeople.com/profile/staplecarpets,ratedpeople,1,
SCAN A DRAIN,,Specialist Removals,Mexborough,,5,14,,https://www.ratedpeople.com/profile/scan-a-drain-mexborough,ratedpeople,1,
OG - Make a Move LTD,,Specialist Removals,Newcastle Upon Tyne,,4.5,7,,https://www.ratedpeople.com/profile/make-a-move-north-east,ratedpeople,1,
LSB Plastering Services,,Specialist Removals,Halifax,,4.5,7,,https://www.ratedpeople.com/profile/lewis-bray,ratedpeople,1,
Cas92,,Specialist Removals,,,10,3,07423178544,https://www.ratedpeople.com/profile/cas92,ratedpeople,1,
General Logistics Services LTD,,Specialist Removals,Bridgwater,,5,3,,https://www.ratedpeople.com/profile/general-logistics-services,ratedpeople,1,
TW Driveway paving,,Specialist Removals,County Durham,,4.5,2,,https://www.ratedpeople.com/profile/tw-driveway-paving,ratedpeople,1,
Duncan Keir,,Specialist Removals,Alford,,3,2,,https://www.ratedpeople.com/profile/duncan-keir,ratedpeople,1,
