company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Standard Coving,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
Rushymead General Maintenance,,Standard Coving,Amersham,,5,323,,https://www.ratedpeople.com/profile/rushymead-general-maintenance,ratedpeople,1,
ES Electrical & Building Services,,Standard Coving,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
RJ Mullan,,Standard Coving,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Standard Coving,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Standard Coving,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Standard Coving,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Mark Keeley Plastering and Rendering services,,Standard Coving,West Malling,,5,171,,https://www.ratedpeople.com/profile/mark-keeley-plastering-and-rendering-services,ratedpeople,1,
Dec The Plasterer,,Standard Coving,Ockendon,,5,153,,https://www.ratedpeople.com/profile/dec-the-plasterer,ratedpeople,1,
Your Property Developers,,Standard Coving,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Standard Coving,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
SF Plastering,,Standard Coving,Brentwood,,4.5,131,,https://www.ratedpeople.com/profile/sf-plastering-essex,ratedpeople,1,
Clplastering,,Standard Coving,Aldershot,,5,119,,https://www.ratedpeople.com/profile/clplastering,ratedpeople,1,
Perfect Plastering,,Standard Coving,Rochester,,5,115,,https://www.ratedpeople.com/profile/perfect-plastering-benfleet,ratedpeople,1,
CLEAN GREEN TEAM LIMITED,,Standard Coving,,,9,113,07900480364,https://www.ratedpeople.com/profile/cleangreenteam,ratedpeople,1,
Cris,,Standard Coving,CROYDON,,5,109,07703759915,https://www.ratedpeople.com/profile/cris-saffron-walden,ratedpeople,1,
"ALEX AND SONS LANDSCAPING, BUILDING AND GARDENING SERVICES",,Standard Coving,Chinnor,,4.5,143,07388551754,https://www.ratedpeople.com/profile/alex-and-cip,ratedpeople,1,
Colours Decoration,,Standard Coving,Portsmouth,,5,105,07903268944,https://www.ratedpeople.com/profile/colours-decoration,ratedpeople,1,
