company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Steel Fabrication Structural Steelwork,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Steel Fabrication Structural Steelwork,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Ziyad Construction,,Steel Fabrication Structural Steelwork,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Steel Fabrication Structural Steelwork,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
Chameleon Refurbs,,Steel Fabrication Structural Steelwork,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
R&D Construction,,Steel Fabrication Structural Steelwork,London,,5,210,07859888537,https://www.ratedpeople.com/profile/mo-bagheri-plumbing,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Steel Fabrication Structural Steelwork,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Steel Fabrication Structural Steelwork,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
Aaron Construction,,Steel Fabrication Structural Steelwork,Gardens,,5,172,,https://www.ratedpeople.com/profile/aaron-construction,ratedpeople,1,
Princes Paving and building,,Steel Fabrication Structural Steelwork,Princes Risborough,,5,158,,https://www.ratedpeople.com/profile/princes-paving-and-building,ratedpeople,1,
JNM CONSTRUCTION SERVICES,,Steel Fabrication Structural Steelwork,Ilford,,5,145,,https://www.ratedpeople.com/profile/jnm-construction-services,ratedpeople,1,
Your Property Developers,,Steel Fabrication Structural Steelwork,Stanmore,,4.5,137,,https://www.ratedpeople.com/profile/ier-uk-limited,ratedpeople,1,
The Ruby Team,,Steel Fabrication Structural Steelwork,London,,5,135,,https://www.ratedpeople.com/profile/therubyteam,ratedpeople,1,
CERTIFIED GROUP LTD,,Steel Fabrication Structural Steelwork,London,,5,132,,https://www.ratedpeople.com/profile/certified-gas-heating,ratedpeople,1,
