company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Cn Construction&Gardening Ltd,,Stoneworker Stonemason,London,,5,781,07869146538,https://www.ratedpeople.com/profile/cn-constructionandgardening,ratedpeople,1,
A & K Contractor Services,,Stoneworker Stonemason,,,9,591,07939990252,https://www.ratedpeople.com/profile/a-and-k-contractor-services,ratedpeople,1,
Lockhart Roofing and Brickwork Services,,Stoneworker Stonemason,Bracknell,,5,571,,https://www.ratedpeople.com/profile/lockhart-roofing,ratedpeople,1,
wood doctor,,Stoneworker Stonemason,Portsmouth,,5,397,07826527179,https://www.ratedpeople.com/profile/wood-doctor,ratedpeople,1,
Pink Hippo Tree Surgery,,Stoneworker Stonemason,Bracknell,,5,317,07854393617,https://www.ratedpeople.com/profile/pinkhippotreesurgery,ratedpeople,1,
Ziyad Construction,,Stoneworker Stonemason,London,,4.5,300,,https://www.ratedpeople.com/profile/ziyad-construction,ratedpeople,1,
ES Electrical & Building Services,,Stoneworker Stonemason,London,,5,261,07487236174,https://www.ratedpeople.com/profile/es-electrical-building-services,ratedpeople,1,
CFC Ltd.,,Stoneworker Stonemason,Bushey,,5,250,,https://www.ratedpeople.com/profile/cfc,ratedpeople,1,
Chameleon Refurbs,,Stoneworker Stonemason,Cambridge,,5,245,07572886121,https://www.ratedpeople.com/profile/the-green-machine,ratedpeople,1,
Crystal Home Improvement & Gardening Services,,Stoneworker Stonemason,London,,5,207,07894249212,https://www.ratedpeople.com/profile/o-and-t-builders,ratedpeople,1,
SDL PKB,,Stoneworker Stonemason,London,,5,201,,https://www.ratedpeople.com/profile/sdl-pkb-painting-kitchens-bathrooms,ratedpeople,1,
RJ Mullan,,Stoneworker Stonemason,London,,5,199,07939168686,https://www.ratedpeople.com/profile/rjmullan,ratedpeople,1,
A & L Ever Ready Cleaning & Building Maintenance LTD,,Stoneworker Stonemason,Rainham,,5,198,07984262910,https://www.ratedpeople.com/profile/a-and-l-ever-ready-cleaning-and-building-maintenance,ratedpeople,1,
S&C Cleaning Services,,Stoneworker Stonemason,Harrow,,4.5,195,07311867427,https://www.ratedpeople.com/profile/s-and-c-cleaning-services,ratedpeople,1,
olliver hanrahan,,Stoneworker Stonemason,,,10,194,07861192239,https://www.ratedpeople.com/profile/olliehanrahan,ratedpeople,1,
PREMIER ROOFING & GUTTERS LIMITED,,Stoneworker Stonemason,Ox33 1xw,,5,194,07551880009,https://www.ratedpeople.com/profile/premier-roofing-gutters-and-driveways-limited,ratedpeople,1,
MM Smooth Constructions,,Stoneworker Stonemason,,,9,194,07533036734,https://www.ratedpeople.com/profile/mm-design-constructions,ratedpeople,1,
S R DEANE BUILDING SERVICES,,Stoneworker Stonemason,Bishop's Stortford,,5,193,,https://www.ratedpeople.com/profile/s-r-deane,ratedpeople,1,
ER SERVICES (LONDON) LTD,,Stoneworker Stonemason,Ashford,,5,178,,https://www.ratedpeople.com/profile/er-services-london,ratedpeople,1,
TOP RANK roofing and building LTD,,Stoneworker Stonemason,Swanley,,5,178,,https://www.ratedpeople.com/profile/top-rank-roofing-and-building,ratedpeople,1,
FlowTeck Roofing,,Stoneworker Stonemason,Pershore,,5,271,,https://www.ratedpeople.com/profile/flowteck-roofing,ratedpeople,1,
G&G property services,,Stoneworker Stonemason,Cardiff,,5,269,,https://www.ratedpeople.com/profile/evergreen-property-services,ratedpeople,1,
Cross Kitchens,,Stoneworker Stonemason,Southampton,,5,157,,https://www.ratedpeople.com/profile/cross-kitchens,ratedpeople,1,
G R JONES BRICKWORK LIMITED,,Stoneworker Stonemason,Bargoed,,5,152,,https://www.ratedpeople.com/profile/g-r-jones-brickwork-limited,ratedpeople,1,
DB Home Improvements,,Stoneworker Stonemason,Walsall,,4.5,133,,https://www.ratedpeople.com/profile/daniel-bradshaw,ratedpeople,1,
steve seymour carpentry,,Stoneworker Stonemason,Swansea,,5,130,,https://www.ratedpeople.com/profile/steve-seymour-carpentry-plymouth,ratedpeople,1,
Jay's Property Maintainance,,Stoneworker Stonemason,Sandhurst,,5,124,07769792908,https://www.ratedpeople.com/profile/jays-property-maintainance,ratedpeople,1,
Newman & Sons,,Stoneworker Stonemason,Reading,,5,123,,https://www.ratedpeople.com/profile/newman-and-sons,ratedpeople,1,
1st Choice Landscaping and Groundwork,,Stoneworker Stonemason,Caerphilly,,5,118,07811334542,https://www.ratedpeople.com/profile/1st-choice-landscaping-and-groundwork,ratedpeople,1,
Derek Comer,,Stoneworker Stonemason,Bridgwater,,5,114,07976831501,https://www.ratedpeople.com/profile/derek-comer,ratedpeople,1,
